,f_c,root_depth,ET_p,ET_0,Kcb,ET_a,K_s,K_e,avg_h_c
0,0.1,0.1,0.0,0.0,0.5,0.0,1.0,0.5,0.0
1,0.1,0.1,0.0,0.0,0.5,0.0,1.0,0.5,0.0
2,0.1,0.1,5.3016,4.418,0.5,5.3016,1.0,0.7,-0.6835357521017353
3,0.1,0.1,3.758948972970859,3.352,0.5,3.758948972970859,1.0,0.6214048248719749,-1.1151156679126535
4,0.1,0.1,3.9831138600038596,3.434,0.5,3.9831138600038596,1.0,0.6599050262096271,-1.0100509052706967
5,0.1,0.1,3.0004666048930435,2.619,0.5,3.0004666048930435,1.0,0.6456535337506849,-1.0474751639388225
6,0.1,0.1,4.1193657538501345,3.58,0.5,4.1193657538501345,1.0,0.650660825097803,-1.0341394416100422
7,0.1,0.1,4.825600359086549,4.375,0.5,4.790358961214023,0.9838896466868461,0.602994367791211,-1.1701583403388436
8,0.1,0.1,5.002098023656871,4.633,0.5,4.823892150595905,0.9230710671008139,0.5796671754061883,-1.2450530514063498
9,0.1,0.1,4.471079991609083,4.413,0.5,3.918741583773478,0.749676678977745,0.5131611129864228,-1.4976166162690512
10,0.1,0.1,4.347672671237813,3.942,0.5,4.315487508770408,0.9836706430911184,0.6029103681475935,-1.170417348931981
11,0.1,0.1,5.256736519959954,4.422,0.5,5.256736519959954,1.0,0.6887690004432281,-0.9389604284742685
12,0.1,0.1,5.078621080236763,4.34,0.5,5.078621080236763,1.0,0.670189188994646,-0.9840288770124294
13,0.1,0.1,4.276978547738591,3.824,0.5,4.276978547738591,1.0,0.6184567331952385,-1.123705211203016
14,0.1,0.1,4.185637902083136,3.869,0.5,4.047776408353977,0.9287353353687469,0.5818397265658144,-1.2378163016621877
15,0.1,0.1,4.90387218311387,4.3,0.5,4.90387218311387,1.0,0.6404353914218303,-1.0615949292304134
16,0.1,0.1,5.2453630579037265,4.617,0.5,5.2453630579037265,1.0,0.6360976950192174,-1.0735095767548959
17,0.1,0.1,4.800074384861342,4.218,0.5,4.800074384861342,1.0,0.6379977204507686,-1.068270571598479
18,0.1,0.1,4.643052873614385,4.186,0.5,4.643052873614385,1.0,0.6091860663197288,-1.151267792587613
19,0.1,0.1,4.8804,4.067,0.5,4.8804,1.0,0.7,-0.7947917496070249
20,0.1,0.1,5.50147452032408,4.86,0.5,5.50147452032408,1.0,0.6319906420419916,-1.0849426283931516
21,0.1,0.1,4.962724237486758,4.484,0.5,4.9486323686642795,0.9937145990979137,0.6067627648275552,-1.1586141973734134
22,0.1,0.1,3.660159428944618,3.302,0.5,3.6571198997730905,0.998158976879753,0.6084674224544573,-1.1534401737441398
23,0.1,0.1,4.995780038509486,4.679,0.5,4.742825876256179,0.8918768274189748,0.5677025087645836,-1.2859357510711198
24,0.1,0.1,5.213494966636313,5.031,0.5,4.735390904612979,0.8099367672338165,0.5362740939448051,-1.4023940790924265
25,0.1,0.1,4.418808469290809,4.125,0.5,4.214753037101494,0.9010640328779083,0.5712262955856506,-1.2737105878908321
26,0.12102482743381787,0.11333333333333334,4.04604444713681,3.559,0.5216666666666666,4.04604444713681,1.0,0.6151820119331676,-1.077018280746743
27,0.14435816076715122,0.12666666666666668,2.8927097458288094,2.551,0.5433333333333333,2.8927097458288094,1.0,0.5906179586418956,-1.0916874345987047
28,0.16769149410048456,0.14,3.841795155676415,3.263,0.565,3.841795155676415,1.0,0.6123812919633512,-0.9719632962927011
29,0.1910248274338179,0.15333333333333335,5.8769563571306715,5.102,0.5866666666666667,5.8769563571306715,1.0,0.565225994472234,-1.048975851826929
