,Date,dir,temp
17544,2006-01-01 00:00:00,0.0,15.49
17545,2006-01-01 01:00:00,0.0,14.8
17546,2006-01-01 02:00:00,0.0,14.08
17547,2006-01-01 03:00:00,0.0,13.2
17548,2006-01-01 04:00:00,0.0,12.53
17549,2006-01-01 05:00:00,0.0,11.21
17550,2006-01-01 06:00:00,0.0,12.39
17551,2006-01-01 07:00:00,46.52,14.25
17552,2006-01-01 08:00:00,266.22,17.22
17553,2006-01-01 09:00:00,491.89,19.53
17554,2006-01-01 10:00:00,689.95,22.08
17555,2006-01-01 11:00:00,840.07,24.19
17556,2006-01-01 12:00:00,927.38,26.13
17557,2006-01-01 13:00:00,945.42,27.76
17558,2006-01-01 14:00:00,892.71,27.23
17559,2006-01-01 15:00:00,774.17,26.69
17560,2006-01-01 16:00:00,599.87,25.7
17561,2006-01-01 17:00:00,385.92,24.64
17562,2006-01-01 18:00:00,156.65,23.3
17563,2006-01-01 19:00:00,0.0,21.51
17564,2006-01-01 20:00:00,0.0,19.39
17565,2006-01-01 21:00:00,0.0,18.08
17566,2006-01-01 22:00:00,0.0,16.89
17567,2006-01-01 23:00:00,0.0,15.98
17568,2006-01-02 00:00:00,0.0,14.83
17569,2006-01-02 01:00:00,0.0,14.06
17570,2006-01-02 02:00:00,0.0,13.38
17571,2006-01-02 03:00:00,0.0,12.93
17572,2006-01-02 04:00:00,0.0,12.44
17573,2006-01-02 05:00:00,0.0,11.47
17574,2006-01-02 06:00:00,0.0,13.21
17575,2006-01-02 07:00:00,46.29,14.54
17576,2006-01-02 08:00:00,270.97,17.2
17577,2006-01-02 09:00:00,500.04,20.36
17578,2006-01-02 10:00:00,700.3,22.81
17579,2006-01-02 11:00:00,851.51,25.48
17580,2006-01-02 12:00:00,939.19,27.45
17581,2006-01-02 13:00:00,956.93,29.32
17582,2006-01-02 14:00:00,903.38,30.24
17583,2006-01-02 15:00:00,783.46,29.92
17584,2006-01-02 16:00:00,607.37,29.11
17585,2006-01-02 17:00:00,391.61,28.12
17586,2006-01-02 18:00:00,161.12,26.84
17587,2006-01-02 19:00:00,0.0,24.79
17588,2006-01-02 20:00:00,0.0,22.62
17589,2006-01-02 21:00:00,0.0,21.0
17590,2006-01-02 22:00:00,0.0,20.07
17591,2006-01-02 23:00:00,0.0,19.19
17592,2006-01-03 00:00:00,0.0,18.04
17593,2006-01-03 01:00:00,0.0,17.35
17594,2006-01-03 02:00:00,0.0,16.72
17595,2006-01-03 03:00:00,0.0,15.95
17596,2006-01-03 04:00:00,0.0,15.29
17597,2006-01-03 05:00:00,0.0,14.5
17598,2006-01-03 06:00:00,0.0,15.61
17599,2006-01-03 07:00:00,45.47,17.14
17600,2006-01-03 08:00:00,272.74,20.1
17601,2006-01-03 09:00:00,502.68,22.45
17602,2006-01-03 10:00:00,703.0,24.61
17603,2006-01-03 11:00:00,853.61,27.08
17604,2006-01-03 12:00:00,940.26,28.75
17605,2006-01-03 13:00:00,956.93,30.37
17606,2006-01-03 14:00:00,902.49,29.65
17607,2006-01-03 15:00:00,780.89,28.91
17608,2006-01-03 16:00:00,604.11,27.67
17609,2006-01-03 17:00:00,388.81,26.59
17610,2006-01-03 18:00:00,161.79,25.2
17611,2006-01-03 19:00:00,0.0,23.54
17612,2006-01-03 20:00:00,0.0,22.01
17613,2006-01-03 21:00:00,0.0,20.35
17614,2006-01-03 22:00:00,0.0,19.01
17615,2006-01-03 23:00:00,0.0,17.98
17616,2006-01-04 00:00:00,0.0,17.51
17617,2006-01-04 01:00:00,0.0,17.42
17618,2006-01-04 02:00:00,0.0,17.46
17619,2006-01-04 03:00:00,0.0,16.61
17620,2006-01-04 04:00:00,0.0,15.57
17621,2006-01-04 05:00:00,0.0,13.82
17622,2006-01-04 06:00:00,0.0,14.49
17623,2006-01-04 07:00:00,42.11,15.94
17624,2006-01-04 08:00:00,261.15,18.35
17625,2006-01-04 09:00:00,486.23,21.1
17626,2006-01-04 10:00:00,683.62,23.83
17627,2006-01-04 11:00:00,833.02,25.82
17628,2006-01-04 12:00:00,919.93,27.57
17629,2006-01-04 13:00:00,938.05,28.85
17630,2006-01-04 14:00:00,885.96,28.17
17631,2006-01-04 15:00:00,768.36,27.22
17632,2006-01-04 16:00:00,595.67,26.5
17633,2006-01-04 17:00:00,384.28,25.33
17634,2006-01-04 18:00:00,160.53,24.1
17635,2006-01-04 19:00:00,0.0,22.59
17636,2006-01-04 20:00:00,0.0,20.96
17637,2006-01-04 21:00:00,0.0,19.55
17638,2006-01-04 22:00:00,0.0,18.16
17639,2006-01-04 23:00:00,0.0,16.63
17640,2006-01-05 00:00:00,0.0,16.14
17641,2006-01-05 01:00:00,0.0,15.52
17642,2006-01-05 02:00:00,0.0,15.16
17643,2006-01-05 03:00:00,0.0,14.72
17644,2006-01-05 04:00:00,0.0,14.34
17645,2006-01-05 05:00:00,0.0,13.6
17646,2006-01-05 06:00:00,0.0,13.24
17647,2006-01-05 07:00:00,39.88,14.9
17648,2006-01-05 08:00:00,257.14,18.4
17649,2006-01-05 09:00:00,482.36,21.43
17650,2006-01-05 10:00:00,681.31,24.06
17651,2006-01-05 11:00:00,833.13,26.17
17652,2006-01-05 12:00:00,921.27,27.56
17653,2006-01-05 13:00:00,940.66,28.53
17654,2006-01-05 14:00:00,889.36,29.15
17655,2006-01-05 15:00:00,772.57,28.47
17656,2006-01-05 16:00:00,600.03,27.56
17657,2006-01-05 17:00:00,388.31,26.39
17658,2006-01-05 18:00:00,162.15,25.14
17659,2006-01-05 19:00:00,0.0,23.48
17660,2006-01-05 20:00:00,0.0,22.2
17661,2006-01-05 21:00:00,0.0,20.95
17662,2006-01-05 22:00:00,0.0,19.82
17663,2006-01-05 23:00:00,0.0,18.98
17664,2006-01-06 00:00:00,0.0,18.42
17665,2006-01-06 01:00:00,0.0,17.93
17666,2006-01-06 02:00:00,0.0,17.32
17667,2006-01-06 03:00:00,0.0,16.59
17668,2006-01-06 04:00:00,0.0,15.51
17669,2006-01-06 05:00:00,0.0,14.14
17670,2006-01-06 06:00:00,0.0,13.7
17671,2006-01-06 07:00:00,37.68,15.15
17672,2006-01-06 08:00:00,250.66,17.9
17673,2006-01-06 09:00:00,472.3,20.64
17674,2006-01-06 10:00:00,668.34,23.42
17675,2006-01-06 11:00:00,817.74,25.91
17676,2006-01-06 12:00:00,906.37,27.41
17677,2006-01-06 13:00:00,927.12,29.0
17678,2006-01-06 14:00:00,878.09,30.32
17679,2006-01-06 15:00:00,762.83,29.78
17680,2006-01-06 16:00:00,592.53,28.7
17681,2006-01-06 17:00:00,383.46,27.37
17682,2006-01-06 18:00:00,161.37,26.01
17683,2006-01-06 19:00:00,0.0,24.15
17684,2006-01-06 20:00:00,0.0,22.44
17685,2006-01-06 21:00:00,0.0,21.18
17686,2006-01-06 22:00:00,0.0,20.22
17687,2006-01-06 23:00:00,0.0,19.71
17688,2006-01-07 00:00:00,0.0,18.77
17689,2006-01-07 01:00:00,0.0,18.44
17690,2006-01-07 02:00:00,0.0,17.82
17691,2006-01-07 03:00:00,0.0,16.89
17692,2006-01-07 04:00:00,0.0,16.11
17693,2006-01-07 05:00:00,0.0,15.3
17694,2006-01-07 06:00:00,0.0,16.21
17695,2006-01-07 07:00:00,37.01,17.54
17696,2006-01-07 08:00:00,253.59,20.09
17697,2006-01-07 09:00:00,479.77,21.8
17698,2006-01-07 10:00:00,9.27,23.74
17699,2006-01-07 11:00:00,64.47,25.83
17700,2006-01-07 12:00:00,100.28,27.27
17701,2006-01-07 13:00:00,78.83,28.44
17702,2006-01-07 14:00:00,52.76,27.69
17703,2006-01-07 15:00:00,49.81,26.61
17704,2006-01-07 16:00:00,606.6,25.42
17705,2006-01-07 17:00:00,3.93,24.09
17706,2006-01-07 18:00:00,165.19,22.91
17707,2006-01-07 19:00:00,0.0,21.51
17708,2006-01-07 20:00:00,0.0,20.43
17709,2006-01-07 21:00:00,0.0,19.11
17710,2006-01-07 22:00:00,0.0,18.09
17711,2006-01-07 23:00:00,0.0,17.55
