"date","year","5748001"
1891-01-01,1891,0
1892-01-01,1892,0
1893-01-01,1893,0
1894-01-01,1894,0
1895-01-01,1895,0
1896-01-01,1896,0
1897-01-01,1897,0
1898-01-01,1898,0
1899-01-01,1899,0
1900-01-01,1900,0
1901-01-01,1901,0
1902-01-01,1902,0
1903-01-01,1903,0
1904-01-01,1904,0
1905-01-01,1905,0
1906-01-01,1906,0
1907-01-01,1907,0
1908-01-01,1908,0
1909-01-01,1909,0
1910-01-01,1910,0
1911-01-01,1911,28
1912-01-01,1912,28
1913-01-01,1913,28
1914-01-01,1914,28
1915-01-01,1915,28
1916-01-01,1916,28
1917-01-01,1917,28
1918-01-01,1918,28
1919-01-01,1919,28
1920-01-01,1920,28
1921-01-01,1921,28
1922-01-01,1922,28
1923-01-01,1923,28
1924-01-01,1924,28
1925-01-01,1925,28
1926-01-01,1926,28
1927-01-01,1927,28
1928-01-01,1928,28
1929-01-01,1929,28
1930-01-01,1930,28
1931-01-01,1931,28
1932-01-01,1932,28
1933-01-01,1933,28
1934-01-01,1934,28
1935-01-01,1935,28
1936-01-01,1936,28
1937-01-01,1937,28
1938-01-01,1938,28
1939-01-01,1939,28
1940-01-01,1940,28
1941-01-01,1941,28
1942-01-01,1942,28
1943-01-01,1943,28
1944-01-01,1944,28
1945-01-01,1945,28
1946-01-01,1946,28
1947-01-01,1947,28
1948-01-01,1948,28
1949-01-01,1949,28
1950-01-01,1950,28
1951-01-01,1951,28
1952-01-01,1952,28
1953-01-01,1953,28
1954-01-01,1954,28
1955-01-01,1955,28
1956-01-01,1956,28
1957-01-01,1957,28
1958-01-01,1958,28
1959-01-01,1959,28
1960-01-01,1960,28
1961-01-01,1961,28
1962-01-01,1962,28
1963-01-01,1963,28
1964-01-01,1964,28
1965-01-01,1965,28
1966-01-01,1966,28
1967-01-01,1967,28
1968-01-01,1968,28
1969-01-01,1969,43
1970-01-01,1970,83
1971-01-01,1971,83
1972-01-01,1972,85.69
1973-01-01,1973,85.69
1974-01-01,1974,85.69
1975-01-01,1975,85.69
1976-01-01,1976,85.69
1977-01-01,1977,85.69
1978-01-01,1978,85.69
1979-01-01,1979,114.14
1980-01-01,1980,116.3900167
1981-01-01,1981,127.7100334
1982-01-01,1982,1798.8100334
1983-01-01,1983,3684.543366952
1984-01-01,1984,6363.664000452
1985-01-01,1985,8574.352889344
1986-01-01,1986,13568.832889344
1987-01-01,1987,15112.707989344
1988-01-01,1988,16987.297989344
1989-01-01,1989,18466.867989344
1990-01-01,1990,19811.767989344
1991-01-01,1991,21419.767989344
1992-01-01,1992,23801.767989344
1993-01-01,1993,24965.617989344
1994-01-01,1994,27792.294789408
1995-01-01,1995,30820.594789408
1996-01-01,1996,34069.194789408
1997-01-01,1997,36060.11378961
1998-01-01,1998,42352.91178961
1999-01-01,1999,50554.82178961
2000-01-01,2000,57605.62178961
2001-01-01,2001,61531.71178961
2002-01-01,2002,67143.40178961
2003-01-01,2003,70887.57178961
2004-01-01,2004,73268.73678961
2005-01-01,2005,74460.37478961
2006-01-01,2006,76235.82478961
2007-01-01,2007,78231.73478961
2008-01-01,2008,80741.34478961
2009-01-01,2009,81796.46078961
2010-01-01,2010,82700.69078961
2011-01-01,2011,83435.61078961
2012-01-01,2012,83781.20078961
2013-01-01,2013,84008.90078961
2014-01-01,2014,84386.83045628
2015-01-01,2015,84476.51945628
2016-01-01,2016,84759.869717211
2017-01-01,2017,85115.529717211
2018-01-01,2018,85270.331383878
2019-01-01,2019,85700.924717205
2020-01-01,2020,85807.424717205
2021-01-01,2021,85967.224717205
