"date","year","5748001"
1891-01-01,1891,0
1892-01-01,1892,0
1893-01-01,1893,0
1894-01-01,1894,0
1895-01-01,1895,0
1896-01-01,1896,0
1897-01-01,1897,0
1898-01-01,1898,0
1899-01-01,1899,0
1900-01-01,1900,0
1901-01-01,1901,0
1902-01-01,1902,0
1903-01-01,1903,0
1904-01-01,1904,0
1905-01-01,1905,0
1906-01-01,1906,0
1907-01-01,1907,0
1908-01-01,1908,0
1909-01-01,1909,0
1910-01-01,1910,0
1911-01-01,1911,0
1912-01-01,1912,0
1913-01-01,1913,0
1914-01-01,1914,0
1915-01-01,1915,0
1916-01-01,1916,0
1917-01-01,1917,0
1918-01-01,1918,0
1919-01-01,1919,0
1920-01-01,1920,0
1921-01-01,1921,0
1922-01-01,1922,0
1923-01-01,1923,0
1924-01-01,1924,0
1925-01-01,1925,380
1926-01-01,1926,380
1927-01-01,1927,1380
1928-01-01,1928,1380
1929-01-01,1929,1380
1930-01-01,1930,1380
1931-01-01,1931,1380
1932-01-01,1932,1380
1933-01-01,1933,1380
1934-01-01,1934,1380
1935-01-01,1935,1380
1936-01-01,1936,1380
1937-01-01,1937,1380
1938-01-01,1938,1380
1939-01-01,1939,1380
1940-01-01,1940,1380
1941-01-01,1941,1380
1942-01-01,1942,1380
1943-01-01,1943,1380
1944-01-01,1944,1380
1945-01-01,1945,1380
1946-01-01,1946,1380
1947-01-01,1947,1630
1948-01-01,1948,1630
1949-01-01,1949,1630
1950-01-01,1950,1630
1951-01-01,1951,1630
1952-01-01,1952,1630
1953-01-01,1953,1780
1954-01-01,1954,1900
1955-01-01,1955,1900
1956-01-01,1956,1900
1957-01-01,1957,2050
1958-01-01,1958,2400
1959-01-01,1959,2400
1960-01-01,1960,2401
1961-01-01,1961,2401
1962-01-01,1962,2401
1963-01-01,1963,2401
1964-01-01,1964,2401
1965-01-01,1965,2401
1966-01-01,1966,3026
1967-01-01,1967,3026
1968-01-01,1968,3026.0000464
1969-01-01,1969,2718205.4500464
1970-01-01,1970,2718205.4500744
1971-01-01,1971,2718205.4500884
1972-01-01,1972,2718205.4501024
1973-01-01,1973,2718205.4501864
1974-01-01,1974,2718205.4502004
1975-01-01,1975,2718205.4502284
1976-01-01,1976,2718207.4503824
1977-01-01,1977,2718210.5905923
1978-01-01,1978,2718228.8608031
1979-01-01,1979,2740315.41589347
1980-01-01,1980,2741765.44035117
1981-01-01,1981,2744020.04037997
1982-01-01,1982,2746126.96803168
1983-01-01,1983,2747210.52353848
1984-01-01,1984,2747570.81261646
1985-01-01,1985,2751819.15868806
1986-01-01,1986,2752390.72248757
1987-01-01,1987,2752690.74750427
1988-01-01,1988,2756067.50750427
1989-01-01,1989,2756579.38450427
1990-01-01,1990,2758915.28450427
1991-01-01,1991,2759276.71283761
1992-01-01,1992,2760088.22568494
1993-01-01,1993,2762528.59668494
1994-01-01,1994,2765804.89668494
1995-01-01,1995,2765985.66161771
1996-01-01,1996,2772967.80268982
1997-01-01,1997,2774853.73352315
1998-01-01,1998,2784366.79632316
1999-01-01,1999,2784529.47232316
2000-01-01,2000,2784971.33432316
2001-01-01,2001,2785069.46757316
2002-01-01,2002,2785147.92647321
2003-01-01,2003,2785167.05057321
2004-01-01,2004,2785630.17740658
2005-01-01,2005,2786300.28925324
2006-01-01,2006,2791093.55008658
2007-01-01,2007,2791117.572155
2008-01-01,2008,2791251.422155
2009-01-01,2009,2791439.299355
2010-01-01,2010,2791755.33693834
2011-01-01,2011,2792202.87302167
2012-01-01,2012,2792206.4538709
2013-01-01,2013,2792327.62610423
2014-01-01,2014,2792333.92610423
2015-01-01,2015,2792909.5787709
2016-01-01,2016,2793066.49336091
2017-01-01,2017,2794249.96369391
2018-01-01,2018,2794253.5636939
2019-01-01,2019,2794368.1365939
2020-01-01,2020,2794517.3765939
2021-01-01,2021,2794517.3765939
