"date","year","month","day","5748001"
1979-01-01,"1979","01","01",5.018
1979-01-02,"1979","01","02",5.368
1979-01-03,"1979","01","03",5.603
1979-01-04,"1979","01","04",5.543
1979-01-05,"1979","01","05",5.205
1979-01-06,"1979","01","06",5.047
1979-01-07,"1979","01","07",5.03
1979-01-08,"1979","01","08",5.095
1979-01-09,"1979","01","09",5.24
1979-01-10,"1979","01","10",5.19
1979-01-11,"1979","01","11",4.764
1979-01-12,"1979","01","12",3.99
1979-01-13,"1979","01","13",5.081
1979-01-14,"1979","01","14",5.417
1979-01-15,"1979","01","15",5.21
1979-01-16,"1979","01","16",4.985
1979-01-17,"1979","01","17",5.374
1979-01-18,"1979","01","18",5.051
1979-01-19,"1979","01","19",4.937
1979-01-20,"1979","01","20",5.278
1979-01-21,"1979","01","21",4.963
1979-01-22,"1979","01","22",4.946
1979-01-23,"1979","01","23",4.564
1979-01-24,"1979","01","24",4.846
1979-01-25,"1979","01","25",4.947
1979-01-26,"1979","01","26",5.067
1979-01-27,"1979","01","27",5.272
1979-01-28,"1979","01","28",5.343
1979-01-29,"1979","01","29",4.828
1979-01-30,"1979","01","30",4.21
1979-01-31,"1979","01","31",4.653
1979-02-01,"1979","02","01",4.936
1979-02-02,"1979","02","02",4.667
1979-02-03,"1979","02","03",4.38
1979-02-04,"1979","02","04",4.625
1979-02-05,"1979","02","05",4.874
1979-02-06,"1979","02","06",4.467
1979-02-07,"1979","02","07",4.483
1979-02-08,"1979","02","08",3.79
1979-02-09,"1979","02","09",4.226
1979-02-10,"1979","02","10",4.986
1979-02-11,"1979","02","11",4.748
1979-02-12,"1979","02","12",4.64
1979-02-13,"1979","02","13",4.316
1979-02-14,"1979","02","14",3.708
1979-02-15,"1979","02","15",4.566
1979-02-16,"1979","02","16",4.563
1979-02-17,"1979","02","17",4.392
1979-02-18,"1979","02","18",4.579
1979-02-19,"1979","02","19",4.341
1979-02-20,"1979","02","20",5.055
1979-02-21,"1979","02","21",5.309
1979-02-22,"1979","02","22",4.522
1979-02-23,"1979","02","23",4.246
1979-02-24,"1979","02","24",4.327
1979-02-25,"1979","02","25",4.8
1979-02-26,"1979","02","26",4.559
1979-02-27,"1979","02","27",4.404
1979-02-28,"1979","02","28",4.637
1979-03-01,"1979","03","01",4.175
1979-03-02,"1979","03","02",3.655
1979-03-03,"1979","03","03",4.045
1979-03-04,"1979","03","04",3.684
1979-03-05,"1979","03","05",4.046
1979-03-06,"1979","03","06",3.863
1979-03-07,"1979","03","07",4.369
1979-03-08,"1979","03","08",3.671
1979-03-09,"1979","03","09",3.994
1979-03-10,"1979","03","10",3.812
1979-03-11,"1979","03","11",3.628
1979-03-12,"1979","03","12",3.426
1979-03-13,"1979","03","13",4.013
1979-03-14,"1979","03","14",4.094
1979-03-15,"1979","03","15",3.907
1979-03-16,"1979","03","16",3.904
1979-03-17,"1979","03","17",3.736
1979-03-18,"1979","03","18",3.534
1979-03-19,"1979","03","19",3.694
1979-03-20,"1979","03","20",3.723
1979-03-21,"1979","03","21",2.995
1979-03-22,"1979","03","22",3.205
1979-03-23,"1979","03","23",3.658
1979-03-24,"1979","03","24",3.447
1979-03-25,"1979","03","25",3.293
1979-03-26,"1979","03","26",3.119
1979-03-27,"1979","03","27",3.09
1979-03-28,"1979","03","28",3.483
1979-03-29,"1979","03","29",3.512
1979-03-30,"1979","03","30",3.169
1979-03-31,"1979","03","31",3.538
1979-04-01,"1979","04","01",3.325
1979-04-02,"1979","04","02",2.633
1979-04-03,"1979","04","03",2.133
1979-04-04,"1979","04","04",1.995
1979-04-05,"1979","04","05",2.85
1979-04-06,"1979","04","06",3.357
1979-04-07,"1979","04","07",2.935
1979-04-08,"1979","04","08",2.689
1979-04-09,"1979","04","09",2.885
1979-04-10,"1979","04","10",3.021
1979-04-11,"1979","04","11",2.903
1979-04-12,"1979","04","12",2.556
1979-04-13,"1979","04","13",2.66
1979-04-14,"1979","04","14",2.877
1979-04-15,"1979","04","15",2.958
1979-04-16,"1979","04","16",2.526
1979-04-17,"1979","04","17",2.622
1979-04-18,"1979","04","18",2.307
1979-04-19,"1979","04","19",2.54
1979-04-20,"1979","04","20",2.62
1979-04-21,"1979","04","21",2.404
1979-04-22,"1979","04","22",2.455
1979-04-23,"1979","04","23",2.467
1979-04-24,"1979","04","24",2.142
1979-04-25,"1979","04","25",2.257
1979-04-26,"1979","04","26",2.38
1979-04-27,"1979","04","27",1.797
1979-04-28,"1979","04","28",1.579
1979-04-29,"1979","04","29",1.937
1979-04-30,"1979","04","30",2
1979-05-01,"1979","05","01",1.839
1979-05-02,"1979","05","02",1.366
1979-05-03,"1979","05","03",1.747
1979-05-04,"1979","05","04",2.061
1979-05-05,"1979","05","05",1.795
1979-05-06,"1979","05","06",1.839
1979-05-07,"1979","05","07",1.744
1979-05-08,"1979","05","08",1.667
1979-05-09,"1979","05","09",1.842
1979-05-10,"1979","05","10",1.451
1979-05-11,"1979","05","11",1.705
1979-05-12,"1979","05","12",1.733
1979-05-13,"1979","05","13",1.583
1979-05-14,"1979","05","14",1.823
1979-05-15,"1979","05","15",1.436
1979-05-16,"1979","05","16",1.379
1979-05-17,"1979","05","17",1.183
1979-05-18,"1979","05","18",1.406
1979-05-19,"1979","05","19",1.72
1979-05-20,"1979","05","20",1.804
1979-05-21,"1979","05","21",1.376
1979-05-22,"1979","05","22",1.53
1979-05-23,"1979","05","23",1.681
1979-05-24,"1979","05","24",1.632
1979-05-25,"1979","05","25",1.334
1979-05-26,"1979","05","26",1.639
1979-05-27,"1979","05","27",1.45
1979-05-28,"1979","05","28",1.119
1979-05-29,"1979","05","29",1.212
1979-05-30,"1979","05","30",1.636
1979-05-31,"1979","05","31",1.671
1979-06-01,"1979","06","01",1.42
1979-06-02,"1979","06","02",1.215
1979-06-03,"1979","06","03",1.063
1979-06-04,"1979","06","04",1.145
1979-06-05,"1979","06","05",1.202
1979-06-06,"1979","06","06",1.145
1979-06-07,"1979","06","07",1.294
1979-06-08,"1979","06","08",1.469
1979-06-09,"1979","06","09",1.347
1979-06-10,"1979","06","10",1.138
1979-06-11,"1979","06","11",1.16
1979-06-12,"1979","06","12",1.28
1979-06-13,"1979","06","13",1.354
1979-06-14,"1979","06","14",1.32
1979-06-15,"1979","06","15",1.224
1979-06-16,"1979","06","16",1.474
1979-06-17,"1979","06","17",1.234
1979-06-18,"1979","06","18",1.242
1979-06-19,"1979","06","19",1.252
1979-06-20,"1979","06","20",1.283
1979-06-21,"1979","06","21",1.383
1979-06-22,"1979","06","22",1.048
1979-06-23,"1979","06","23",0.977
1979-06-24,"1979","06","24",1.191
1979-06-25,"1979","06","25",1.412
1979-06-26,"1979","06","26",1.474
1979-06-27,"1979","06","27",1.425
1979-06-28,"1979","06","28",1.39
1979-06-29,"1979","06","29",1.194
1979-06-30,"1979","06","30",0.986
1979-07-01,"1979","07","01",1.239
1979-07-02,"1979","07","02",1.379
1979-07-03,"1979","07","03",1.35
1979-07-04,"1979","07","04",1.481
1979-07-05,"1979","07","05",1.402
1979-07-06,"1979","07","06",1.3
1979-07-07,"1979","07","07",1.4
1979-07-08,"1979","07","08",1.659
1979-07-09,"1979","07","09",1.685
1979-07-10,"1979","07","10",1.527
1979-07-11,"1979","07","11",1.474
1979-07-12,"1979","07","12",1.455
1979-07-13,"1979","07","13",1.298
1979-07-14,"1979","07","14",1.238
1979-07-15,"1979","07","15",1.578
1979-07-16,"1979","07","16",1.603
1979-07-17,"1979","07","17",1.24
1979-07-18,"1979","07","18",1.104
1979-07-19,"1979","07","19",1.592
1979-07-20,"1979","07","20",1.612
1979-07-21,"1979","07","21",1.521
1979-07-22,"1979","07","22",1.481
1979-07-23,"1979","07","23",1.155
1979-07-24,"1979","07","24",1.302
1979-07-25,"1979","07","25",1.262
1979-07-26,"1979","07","26",0.974
1979-07-27,"1979","07","27",1.144
1979-07-28,"1979","07","28",1.248
1979-07-29,"1979","07","29",1.35
1979-07-30,"1979","07","30",1.132
1979-07-31,"1979","07","31",1.053
1979-08-01,"1979","08","01",1.03
1979-08-02,"1979","08","02",1.358
1979-08-03,"1979","08","03",1.272
1979-08-04,"1979","08","04",1.385
1979-08-05,"1979","08","05",1.499
1979-08-06,"1979","08","06",1.536
1979-08-07,"1979","08","07",1.856
1979-08-08,"1979","08","08",1.95
1979-08-09,"1979","08","09",2.167
1979-08-10,"1979","08","10",2.034
1979-08-11,"1979","08","11",1.972
1979-08-12,"1979","08","12",1.861
1979-08-13,"1979","08","13",1.845
1979-08-14,"1979","08","14",1.697
1979-08-15,"1979","08","15",1.586
1979-08-16,"1979","08","16",1.796
1979-08-17,"1979","08","17",2.124
1979-08-18,"1979","08","18",2.285
1979-08-19,"1979","08","19",2.15
1979-08-20,"1979","08","20",1.955
1979-08-21,"1979","08","21",1.709
1979-08-22,"1979","08","22",1.975
1979-08-23,"1979","08","23",2.074
1979-08-24,"1979","08","24",1.418
1979-08-25,"1979","08","25",1.446
1979-08-26,"1979","08","26",1.682
1979-08-27,"1979","08","27",1.326
1979-08-28,"1979","08","28",1.669
1979-08-29,"1979","08","29",1.961
1979-08-30,"1979","08","30",1.373
1979-08-31,"1979","08","31",1.437
1979-09-01,"1979","09","01",1.58
1979-09-02,"1979","09","02",2.065
1979-09-03,"1979","09","03",2.366
1979-09-04,"1979","09","04",2.877
1979-09-05,"1979","09","05",2.681
1979-09-06,"1979","09","06",2.317
1979-09-07,"1979","09","07",1.619
1979-09-08,"1979","09","08",2.232
1979-09-09,"1979","09","09",2.633
1979-09-10,"1979","09","10",2.173
1979-09-11,"1979","09","11",1.881
1979-09-12,"1979","09","12",1.646
1979-09-13,"1979","09","13",2.237
1979-09-14,"1979","09","14",1.432
