"date","year","month","day","5748001"
1979-01-01,"1979","01","01",156.065
1979-02-01,"1979","02","01",127.146
1979-03-01,"1979","03","01",113.482
1979-04-01,"1979","04","01",75.81
1979-05-01,"1979","05","01",49.403
1979-06-01,"1979","06","01",37.741
1979-07-01,"1979","07","01",42.238
1979-08-01,"1979","08","01",53.428
1979-09-01,"1979","09","01",67.215
1979-10-01,"1979","10","01",107.794
1979-11-01,"1979","11","01",121.361
1979-12-01,"1979","12","01",143.723
1980-01-01,"1980","01","01",156.551
1980-02-01,"1980","02","01",125.151
1980-03-01,"1980","03","01",118.299
1980-04-01,"1980","04","01",63.518
1980-05-01,"1980","05","01",44.966
1980-06-01,"1980","06","01",34.592
1980-07-01,"1980","07","01",37.569
1980-08-01,"1980","08","01",56.164
1980-09-01,"1980","09","01",76.243
1980-10-01,"1980","10","01",106.479
1980-11-01,"1980","11","01",127.361
1980-12-01,"1980","12","01",152.705
1981-01-01,"1981","01","01",150.752
1981-02-01,"1981","02","01",130.67
1981-03-01,"1981","03","01",115.04
1981-04-01,"1981","04","01",76.855
1981-05-01,"1981","05","01",45.235
1981-06-01,"1981","06","01",35.17
1981-07-01,"1981","07","01",39.943
1981-08-01,"1981","08","01",53.917
1981-09-01,"1981","09","01",76.411
1981-10-01,"1981","10","01",102.268
1981-11-01,"1981","11","01",129.769
1981-12-01,"1981","12","01",158.712
1982-01-01,"1982","01","01",153.536
1982-02-01,"1982","02","01",124.121
1982-03-01,"1982","03","01",112.121
1982-04-01,"1982","04","01",77.37
1982-05-01,"1982","05","01",47.271
1982-06-01,"1982","06","01",28.856
1982-07-01,"1982","07","01",35.047
1982-08-01,"1982","08","01",53.77
1982-09-01,"1982","09","01",66.721
1982-10-01,"1982","10","01",101.369
1982-11-01,"1982","11","01",122.913
1982-12-01,"1982","12","01",154.256
1983-01-01,"1983","01","01",154.008
1983-02-01,"1983","02","01",130.819
1983-03-01,"1983","03","01",112.472
1983-04-01,"1983","04","01",76.465
1983-05-01,"1983","05","01",45.378
1983-06-01,"1983","06","01",29.664
1983-07-01,"1983","07","01",35.407
1983-08-01,"1983","08","01",49.041
1983-09-01,"1983","09","01",68.451
1983-10-01,"1983","10","01",111.153
1983-11-01,"1983","11","01",136.106
1983-12-01,"1983","12","01",155.242
1984-01-01,"1984","01","01",155.252
1984-02-01,"1984","02","01",130
1984-03-01,"1984","03","01",108.097
1984-04-01,"1984","04","01",77.564
1984-05-01,"1984","05","01",41.522
1984-06-01,"1984","06","01",28.263
1984-07-01,"1984","07","01",36.392
1984-08-01,"1984","08","01",51.118
1984-09-01,"1984","09","01",70.295
1984-10-01,"1984","10","01",104.803
1984-11-01,"1984","11","01",122.205
1984-12-01,"1984","12","01",151.958
1985-01-01,"1985","01","01",147.532
1985-02-01,"1985","02","01",130.721
1985-03-01,"1985","03","01",109.656
1985-04-01,"1985","04","01",73.065
1985-05-01,"1985","05","01",50.951
1985-06-01,"1985","06","01",38.392
1985-07-01,"1985","07","01",37.071
1985-08-01,"1985","08","01",53.982
1985-09-01,"1985","09","01",75.604
1985-10-01,"1985","10","01",99.662
1985-11-01,"1985","11","01",132.587
1985-12-01,"1985","12","01",154.76
1986-01-01,"1986","01","01",157.68
1986-02-01,"1986","02","01",124.621
1986-03-01,"1986","03","01",112.486
1986-04-01,"1986","04","01",72.019
1986-05-01,"1986","05","01",45.734
1986-06-01,"1986","06","01",31.998
1986-07-01,"1986","07","01",44.692
1986-08-01,"1986","08","01",50.828
1986-09-01,"1986","09","01",70.866
1986-10-01,"1986","10","01",106.464
1986-11-01,"1986","11","01",120.941
1986-12-01,"1986","12","01",158.832
1987-01-01,"1987","01","01",158.618
1987-02-01,"1987","02","01",129.836
1987-03-01,"1987","03","01",110.293
1987-04-01,"1987","04","01",77.72
1987-05-01,"1987","05","01",42.966
1987-06-01,"1987","06","01",37.248
1987-07-01,"1987","07","01",34.016
1987-08-01,"1987","08","01",48.915
1987-09-01,"1987","09","01",71.448
1987-10-01,"1987","10","01",104.275
1987-11-01,"1987","11","01",135.778
1987-12-01,"1987","12","01",153.961
1988-01-01,"1988","01","01",152.542
1988-02-01,"1988","02","01",131.286
1988-03-01,"1988","03","01",110.868
1988-04-01,"1988","04","01",76.157
1988-05-01,"1988","05","01",50.191
1988-06-01,"1988","06","01",36.075
1988-07-01,"1988","07","01",38.415
1988-08-01,"1988","08","01",49.919
1988-09-01,"1988","09","01",71.492
1988-10-01,"1988","10","01",109.994
1988-11-01,"1988","11","01",135.765
1988-12-01,"1988","12","01",152.371
1989-01-01,"1989","01","01",157.357
1989-02-01,"1989","02","01",130.832
1989-03-01,"1989","03","01",112.6
1989-04-01,"1989","04","01",78.72
1989-05-01,"1989","05","01",50.085
1989-06-01,"1989","06","01",37.984
1989-07-01,"1989","07","01",39.238
1989-08-01,"1989","08","01",50.039
1989-09-01,"1989","09","01",71.7
1989-10-01,"1989","10","01",109.22
1989-11-01,"1989","11","01",134.815
1989-12-01,"1989","12","01",152.396
1990-01-01,"1990","01","01",165.137
1990-02-01,"1990","02","01",125.789
1990-03-01,"1990","03","01",112.743
1990-04-01,"1990","04","01",70.298
1990-05-01,"1990","05","01",48.991
1990-06-01,"1990","06","01",38.877
1990-07-01,"1990","07","01",38.605
1990-08-01,"1990","08","01",58.775
1990-09-01,"1990","09","01",72.976
1990-10-01,"1990","10","01",101.175
1990-11-01,"1990","11","01",135.001
1990-12-01,"1990","12","01",154.97
1991-01-01,"1991","01","01",158.91
1991-02-01,"1991","02","01",133.563
1991-03-01,"1991","03","01",116.955
1991-04-01,"1991","04","01",72.22
1991-05-01,"1991","05","01",48.364
1991-06-01,"1991","06","01",34.045
1991-07-01,"1991","07","01",35.333
1991-08-01,"1991","08","01",53.903
1991-09-01,"1991","09","01",74.737
1991-10-01,"1991","10","01",103.869
1991-11-01,"1991","11","01",128.484
1991-12-01,"1991","12","01",142.521
1992-01-01,"1992","01","01",160.168
1992-02-01,"1992","02","01",127.004
1992-03-01,"1992","03","01",111.296
1992-04-01,"1992","04","01",68.892
1992-05-01,"1992","05","01",41.247
1992-06-01,"1992","06","01",30.029
1992-07-01,"1992","07","01",35.741
1992-08-01,"1992","08","01",54.159
1992-09-01,"1992","09","01",77.224
1992-10-01,"1992","10","01",110.086
1992-11-01,"1992","11","01",127.634
1992-12-01,"1992","12","01",157.392
1993-01-01,"1993","01","01",161.444
1993-02-01,"1993","02","01",126.895
1993-03-01,"1993","03","01",120.157
1993-04-01,"1993","04","01",70.682
1993-05-01,"1993","05","01",42.152
1993-06-01,"1993","06","01",34.149
1993-07-01,"1993","07","01",37.455
1993-08-01,"1993","08","01",55.497
1993-09-01,"1993","09","01",73.395
1993-10-01,"1993","10","01",105.738
1993-11-01,"1993","11","01",132.823
1993-12-01,"1993","12","01",156.971
1994-01-01,"1994","01","01",159.116
1994-02-01,"1994","02","01",125.842
1994-03-01,"1994","03","01",113.364
1994-04-01,"1994","04","01",74.606
1994-05-01,"1994","05","01",49.788
1994-06-01,"1994","06","01",34.764
1994-07-01,"1994","07","01",35.754
1994-08-01,"1994","08","01",54.558
1994-09-01,"1994","09","01",79.257
1994-10-01,"1994","10","01",106.075
1994-11-01,"1994","11","01",138.837
1994-12-01,"1994","12","01",163.275
1995-01-01,"1995","01","01",163.57
1995-02-01,"1995","02","01",125.615
1995-03-01,"1995","03","01",116.35
1995-04-01,"1995","04","01",77.781
1995-05-01,"1995","05","01",55.065
1995-06-01,"1995","06","01",35.295
1995-07-01,"1995","07","01",32.514
1995-08-01,"1995","08","01",49.994
1995-09-01,"1995","09","01",75.265
1995-10-01,"1995","10","01",109.739
1995-11-01,"1995","11","01",135.878
1995-12-01,"1995","12","01",155.711
1996-01-01,"1996","01","01",151.738
1996-02-01,"1996","02","01",133.419
1996-03-01,"1996","03","01",115.407
1996-04-01,"1996","04","01",70.852
1996-05-01,"1996","05","01",53.113
1996-06-01,"1996","06","01",36.078
1996-07-01,"1996","07","01",43.483
1996-08-01,"1996","08","01",53.406
1996-09-01,"1996","09","01",79.563
1996-10-01,"1996","10","01",110.052
1996-11-01,"1996","11","01",142.362
1996-12-01,"1996","12","01",158.376
1997-01-01,"1997","01","01",165.06
1997-02-01,"1997","02","01",136.201
1997-03-01,"1997","03","01",118.853
1997-04-01,"1997","04","01",83.262
1997-05-01,"1997","05","01",52.937
1997-06-01,"1997","06","01",29.371
1997-07-01,"1997","07","01",40.425
1997-08-01,"1997","08","01",55.945
1997-09-01,"1997","09","01",70.38
1997-10-01,"1997","10","01",92.051
1997-11-01,"1997","11","01",123.905
1997-12-01,"1997","12","01",154.007
1998-01-01,"1998","01","01",169.379
1998-02-01,"1998","02","01",121.448
1998-03-01,"1998","03","01",111.144
1998-04-01,"1998","04","01",68.744
1998-05-01,"1998","05","01",50.48
1998-06-01,"1998","06","01",36.211
1998-07-01,"1998","07","01",42.288
1998-08-01,"1998","08","01",55.43
1998-09-01,"1998","09","01",73.194
1998-10-01,"1998","10","01",123.674
1998-11-01,"1998","11","01",138.265
1998-12-01,"1998","12","01",157.416
1999-01-01,"1999","01","01",151.199
1999-02-01,"1999","02","01",128.377
1999-03-01,"1999","03","01",107.767
1999-04-01,"1999","04","01",76.681
1999-05-01,"1999","05","01",51.54
1999-06-01,"1999","06","01",34.279
1999-07-01,"1999","07","01",37.75
1999-08-01,"1999","08","01",51.273
1999-09-01,"1999","09","01",69.12
1999-10-01,"1999","10","01",99.478
1999-11-01,"1999","11","01",129.723
1999-12-01,"1999","12","01",152.847
2000-01-01,"2000","01","01",163.276
2000-02-01,"2000","02","01",127.85
2000-03-01,"2000","03","01",112.37
2000-04-01,"2000","04","01",74.673
2000-05-01,"2000","05","01",46.685
2000-06-01,"2000","06","01",29.605
2000-07-01,"2000","07","01",38.856
2000-08-01,"2000","08","01",53.249
2000-09-01,"2000","09","01",70.198
2000-10-01,"2000","10","01",107.263
2000-11-01,"2000","11","01",124.233
2000-12-01,"2000","12","01",157.21
2001-01-01,"2001","01","01",151.578
2001-02-01,"2001","02","01",128.813
2001-03-01,"2001","03","01",113.853
2001-04-01,"2001","04","01",71.798
2001-05-01,"2001","05","01",44.415
2001-06-01,"2001","06","01",35.589
2001-07-01,"2001","07","01",35.207
2001-08-01,"2001","08","01",51.501
2001-09-01,"2001","09","01",69.294
2001-10-01,"2001","10","01",108.661
2001-11-01,"2001","11","01",125.496
2001-12-01,"2001","12","01",158.118
2002-01-01,"2002","01","01",156.352
2002-02-01,"2002","02","01",127.221
2002-03-01,"2002","03","01",113.31
2002-04-01,"2002","04","01",70.946
2002-05-01,"2002","05","01",47.977
2002-06-01,"2002","06","01",33.525
2002-07-01,"2002","07","01",37.866
2002-08-01,"2002","08","01",49.774
2002-09-01,"2002","09","01",72.529
2002-10-01,"2002","10","01",101.606
2002-11-01,"2002","11","01",125.859
2002-12-01,"2002","12","01",150.004
2003-01-01,"2003","01","01",158.556
2003-02-01,"2003","02","01",126.144
2003-03-01,"2003","03","01",110.874
2003-04-01,"2003","04","01",75.48
2003-05-01,"2003","05","01",51.791
2003-06-01,"2003","06","01",35.46
2003-07-01,"2003","07","01",38.96
2003-08-01,"2003","08","01",56.529
2003-09-01,"2003","09","01",74.964
2003-10-01,"2003","10","01",113.343
2003-11-01,"2003","11","01",130.526
2003-12-01,"2003","12","01",149.803
2004-01-01,"2004","01","01",154.363
2004-02-01,"2004","02","01",129.843
2004-03-01,"2004","03","01",112.913
2004-04-01,"2004","04","01",68.792
2004-05-01,"2004","05","01",48.733
2004-06-01,"2004","06","01",35.636
2004-07-01,"2004","07","01",38.256
2004-08-01,"2004","08","01",53.686
2004-09-01,"2004","09","01",77.563
2004-10-01,"2004","10","01",100.611
2004-11-01,"2004","11","01",118.523
2004-12-01,"2004","12","01",155.327
2005-01-01,"2005","01","01",154.874
2005-02-01,"2005","02","01",129.391
2005-03-01,"2005","03","01",107.913
2005-04-01,"2005","04","01",75.255
2005-05-01,"2005","05","01",41.892
2005-06-01,"2005","06","01",31.999
2005-07-01,"2005","07","01",38.341
2005-08-01,"2005","08","01",49.105
2005-09-01,"2005","09","01",68.26
2005-10-01,"2005","10","01",100.938
2005-11-01,"2005","11","01",129.301
2005-12-01,"2005","12","01",147.819
2006-01-01,"2006","01","01",155.689
2006-02-01,"2006","02","01",123.815
2006-03-01,"2006","03","01",112.231
2006-04-01,"2006","04","01",76.557
2006-05-01,"2006","05","01",52.351
2006-06-01,"2006","06","01",34.3
2006-07-01,"2006","07","01",38.079
2006-08-01,"2006","08","01",51.885
2006-09-01,"2006","09","01",75.833
2006-10-01,"2006","10","01",103.57
2006-11-01,"2006","11","01",128.72
2006-12-01,"2006","12","01",154.739
2007-01-01,"2007","01","01",154.232
2007-02-01,"2007","02","01",117.98
2007-03-01,"2007","03","01",109.308
2007-04-01,"2007","04","01",72.464
2007-05-01,"2007","05","01",46.975
2007-06-01,"2007","06","01",32.182
2007-07-01,"2007","07","01",34.061
2007-08-01,"2007","08","01",46.889
2007-09-01,"2007","09","01",71.937
2007-10-01,"2007","10","01",107.185
2007-11-01,"2007","11","01",134.137
2007-12-01,"2007","12","01",150.466
2008-01-01,"2008","01","01",158.683
2008-02-01,"2008","02","01",129.769
2008-03-01,"2008","03","01",108.262
2008-04-01,"2008","04","01",73.571
2008-05-01,"2008","05","01",46.389
2008-06-01,"2008","06","01",34.2
2008-07-01,"2008","07","01",38.127
2008-08-01,"2008","08","01",49.519
2008-09-01,"2008","09","01",72.657
2008-10-01,"2008","10","01",106.412
2008-11-01,"2008","11","01",137.467
2008-12-01,"2008","12","01",153.617
2009-01-01,"2009","01","01",158.826
2009-02-01,"2009","02","01",125.284
2009-03-01,"2009","03","01",117.613
2009-04-01,"2009","04","01",82.334
2009-05-01,"2009","05","01",51.307
2009-06-01,"2009","06","01",35.951
2009-07-01,"2009","07","01",36.878
2009-08-01,"2009","08","01",51.78
2009-09-01,"2009","09","01",65.738
2009-10-01,"2009","10","01",105.76
2009-11-01,"2009","11","01",116.205
2009-12-01,"2009","12","01",155.469
2010-01-01,"2010","01","01",160.03
2010-02-01,"2010","02","01",126.423
2010-03-01,"2010","03","01",116.217
2010-04-01,"2010","04","01",75.337
2010-05-01,"2010","05","01",49.153
2010-06-01,"2010","06","01",33.377
2010-07-01,"2010","07","01",33.05
2010-08-01,"2010","08","01",50.869
2010-09-01,"2010","09","01",71.87
2010-10-01,"2010","10","01",105.995
2010-11-01,"2010","11","01",128.055
2010-12-01,"2010","12","01",142.055
2011-01-01,"2011","01","01",155.86
2011-02-01,"2011","02","01",124.883
2011-03-01,"2011","03","01",109.197
2011-04-01,"2011","04","01",73.868
2011-05-01,"2011","05","01",54.129
2011-06-01,"2011","06","01",33.699
2011-07-01,"2011","07","01",35.342
2011-08-01,"2011","08","01",46.526
2011-09-01,"2011","09","01",80.647
2011-10-01,"2011","10","01",106.981
2011-11-01,"2011","11","01",134.309
2011-12-01,"2011","12","01",156.582
2012-01-01,"2012","01","01",152.604
2012-02-01,"2012","02","01",131.201
2012-03-01,"2012","03","01",121.557
2012-04-01,"2012","04","01",74.643
2012-05-01,"2012","05","01",50.728
2012-06-01,"2012","06","01",34.762
2012-07-01,"2012","07","01",40.498
2012-08-01,"2012","08","01",52.032
2012-09-01,"2012","09","01",76.846
2012-10-01,"2012","10","01",97.279
2012-11-01,"2012","11","01",131.236
2012-12-01,"2012","12","01",145.035
2013-01-01,"2013","01","01",152.873
2013-02-01,"2013","02","01",125.997
2013-03-01,"2013","03","01",111.579
2013-04-01,"2013","04","01",76.714
2013-05-01,"2013","05","01",48.282
2013-06-01,"2013","06","01",36.856
2013-07-01,"2013","07","01",39.093
2013-08-01,"2013","08","01",54.494
