"date","year","month","day","5748001"
1979-01-01,1979,1,1,2.551480053519
1979-02-01,1979,2,1,3.95260366983
1979-03-01,1979,3,1,0
1979-04-01,1979,4,1,13.7359604576
1979-05-01,1979,5,1,48.37757318314
1979-06-01,1979,6,1,1.600969810467
1979-07-01,1979,7,1,166.66546032227
1979-08-01,1979,8,1,132.612540276
1979-09-01,1979,9,1,75.50516136436
1979-10-01,1979,10,1,11.6238287288
1979-11-01,1979,11,1,42.182287153
1979-12-01,1979,12,1,50.883200716966
1980-01-01,1980,1,1,4.589556127304
1980-02-01,1980,2,1,22.1745311234842
1980-03-01,1980,3,1,0.00739596452
1980-04-01,1980,4,1,227.885227074762
1980-05-01,1980,5,1,169.638470070726
1980-06-01,1980,6,1,124.797037627866
1980-07-01,1980,7,1,151.295305657
1980-08-01,1980,8,1,26.5242251015
1980-09-01,1980,9,1,68.49448253688
1980-10-01,1980,10,1,9.5461838872
1980-11-01,1980,11,1,9.2733045085
1980-12-01,1980,12,1,7.50736781982144
1981-01-01,1981,1,1,3.093569309503
1981-02-01,1981,2,1,9.38746497597
1981-03-01,1981,3,1,2.144706260703
1981-04-01,1981,4,1,26.270797063169
1981-05-01,1981,5,1,256.318174532322
1981-06-01,1981,6,1,34.9190356653026
1981-07-01,1981,7,1,52.49853499847
1981-08-01,1981,8,1,89.87762107132
1981-09-01,1981,9,1,32.30284122283
1981-10-01,1981,10,1,8.49961949998
1981-11-01,1981,11,1,5.0666443152
1981-12-01,1981,12,1,1.134889071399
1982-01-01,1982,1,1,0.582315218282
1982-02-01,1982,2,1,0.9223695519911
1982-03-01,1982,3,1,25.01293300344
1982-04-01,1982,4,1,7.142458353905
1982-05-01,1982,5,1,178.64887394944
1982-06-01,1982,6,1,526.88653852171
1982-07-01,1982,7,1,223.35076847281
1982-08-01,1982,8,1,153.806237856
1982-09-01,1982,9,1,199.93025147
1982-10-01,1982,10,1,56.89650580071
1982-11-01,1982,11,1,6.1139903971
1982-12-01,1982,12,1,4.782745494318
1983-01-01,1983,1,1,15.7308286432
1983-02-01,1983,2,1,6.92212053641
1983-03-01,1983,3,1,1.596206696
1983-04-01,1983,4,1,24.496767097513
1983-05-01,1983,5,1,80.178892368
1983-06-01,1983,6,1,146.5456354516
1983-07-01,1983,7,1,185.91748955633
1983-08-01,1983,8,1,101.432471747
1983-09-01,1983,9,1,50.401068162405
1983-10-01,1983,10,1,8.5487519455
1983-11-01,1983,11,1,0.16038134581
1983-12-01,1983,12,1,0.011513695495
1984-01-01,1984,1,1,4.508940907455
1984-02-01,1984,2,1,0.13678789042735
1984-03-01,1984,3,1,24.254558465106
1984-04-01,1984,4,1,21.915156047725
1984-05-01,1984,5,1,162.22810844687
1984-06-01,1984,6,1,112.513650840351
1984-07-01,1984,7,1,438.646408388
1984-08-01,1984,8,1,68.8995958353
1984-09-01,1984,9,1,107.5426185239
1984-10-01,1984,10,1,32.753844430321
1984-11-01,1984,11,1,23.3914283141
1984-12-01,1984,12,1,0.47386587782
1985-01-01,1985,1,1,11.43398922265
1985-02-01,1985,2,1,0.252090675
1985-03-01,1985,3,1,16.18285640197
1985-04-01,1985,4,1,13.569133193306
1985-05-01,1985,5,1,57.051116429724
1985-06-01,1985,6,1,46.812904448159
1985-07-01,1985,7,1,112.146973035857
1985-08-01,1985,8,1,5.41813280707
1985-09-01,1985,9,1,58.85387252
1985-10-01,1985,10,1,53.2429727272
1985-11-01,1985,11,1,11.3436321024
1985-12-01,1985,12,1,0.611056278834
1986-01-01,1986,1,1,0.95167462823
1986-02-01,1986,2,1,11.48307040478
1986-03-01,1986,3,1,0.57282068806
1986-04-01,1986,4,1,61.6542082343715
1986-05-01,1986,5,1,243.3331169285
1986-06-01,1986,6,1,309.89301687322
1986-07-01,1986,7,1,11.25474873659
1986-08-01,1986,8,1,125.26528952025
1986-09-01,1986,9,1,20.78502473333
1986-10-01,1986,10,1,23.278518191144
1986-11-01,1986,11,1,13.1431619412752
1986-12-01,1986,12,1,3.1635515803648
1987-01-01,1987,1,1,0.668285947912
1987-02-01,1987,2,1,8.3670070164
1987-03-01,1987,3,1,18.74621766833
1987-04-01,1987,4,1,17.1749618399309
1987-05-01,1987,5,1,99.35424085574
1987-06-01,1987,6,1,57.27132135842
1987-07-01,1987,7,1,475.1061614306
1987-08-01,1987,8,1,292.2734383853
1987-09-01,1987,9,1,51.8961863790046
1987-10-01,1987,10,1,53.8093448294
1987-11-01,1987,11,1,1.0799874165
1987-12-01,1987,12,1,6.44296899729
1988-01-01,1988,1,1,0.3037021316286
1988-02-01,1988,2,1,1.1180991931455
1988-03-01,1988,3,1,10.0045728961752
1988-04-01,1988,4,1,6.80663630477
1988-05-01,1988,5,1,11.4588248051831
