"date","year","month","day","5748001"
1979-01-01,1979,1,1,0.214
1979-02-01,1979,2,1,0.448
1979-03-01,1979,3,1,0.566
1979-04-01,1979,4,1,10.038
1979-05-01,1979,5,1,42.328
1979-06-01,1979,6,1,1.858
1979-07-01,1979,7,1,120.163
1979-08-01,1979,8,1,79.139
1979-09-01,1979,9,1,54.367
1979-10-01,1979,10,1,0.29
1979-11-01,1979,11,1,34.786
1979-12-01,1979,12,1,22.048
1980-01-01,1980,1,1,1.08
1980-02-01,1980,2,1,13.634
1980-03-01,1980,3,1,0.466
1980-04-01,1980,4,1,125.695
1980-05-01,1980,5,1,116.357
1980-06-01,1980,6,1,95.811
1980-07-01,1980,7,1,117.965
1980-08-01,1980,8,1,15.009
1980-09-01,1980,9,1,66.944
1980-10-01,1980,10,1,2.572
1980-11-01,1980,11,1,4.56
1980-12-01,1980,12,1,1.178
1981-01-01,1981,1,1,0.009
1981-02-01,1981,2,1,3.945
1981-03-01,1981,3,1,1.824
1981-04-01,1981,4,1,10.146
1981-05-01,1981,5,1,196.923
1981-06-01,1981,6,1,32.291
1981-07-01,1981,7,1,39.76
1981-08-01,1981,8,1,24.532
1981-09-01,1981,9,1,18.794
1981-10-01,1981,10,1,7.881
1981-11-01,1981,11,1,0.985
1981-12-01,1981,12,1,0.004
1982-01-01,1982,1,1,0.101
1982-02-01,1982,2,1,0.023
1982-03-01,1982,3,1,13.595
1982-04-01,1982,4,1,0.685
1982-05-01,1982,5,1,138.207
1982-06-01,1982,6,1,397.556
1982-07-01,1982,7,1,192.727
1982-08-01,1982,8,1,103.111
1982-09-01,1982,9,1,78.007
1982-10-01,1982,10,1,21.547
1982-11-01,1982,11,1,1.732
1982-12-01,1982,12,1,0.215
1983-01-01,1983,1,1,13.739
1983-02-01,1983,2,1,1.167
1983-03-01,1983,3,1,0.004
1983-04-01,1983,4,1,21.495
1983-05-01,1983,5,1,57.371
1983-06-01,1983,6,1,126.813
1983-07-01,1983,7,1,124.335
1983-08-01,1983,8,1,73.708
1983-09-01,1983,9,1,29.276
1983-10-01,1983,10,1,1.526
1983-11-01,1983,11,1,1.002
1983-12-01,1983,12,1,0.549
1984-01-01,1984,1,1,1.564
1984-02-01,1984,2,1,0.009
1984-03-01,1984,3,1,2.574
1984-04-01,1984,4,1,2.756
1984-05-01,1984,5,1,93.264
1984-06-01,1984,6,1,52.232
1984-07-01,1984,7,1,357.055
1984-08-01,1984,8,1,64.768
1984-09-01,1984,9,1,54.996
1984-10-01,1984,10,1,19.974
1984-11-01,1984,11,1,8.725
1984-12-01,1984,12,1,0.043
1985-01-01,1985,1,1,0.333
1985-02-01,1985,2,1,0.012
1985-03-01,1985,3,1,3.412
1985-04-01,1985,4,1,29.013
1985-05-01,1985,5,1,39.303
1985-06-01,1985,6,1,24.707
1985-07-01,1985,7,1,92.515
1985-08-01,1985,8,1,7.846
1985-09-01,1985,9,1,17.617
1985-10-01,1985,10,1,30.419
1985-11-01,1985,11,1,0.326
1985-12-01,1985,12,1,0.022
1986-01-01,1986,1,1,0.007
1986-02-01,1986,2,1,1.64
1986-03-01,1986,3,1,0.768
1986-04-01,1986,4,1,40.947
1986-05-01,1986,5,1,165.839
1986-06-01,1986,6,1,195.405
1986-07-01,1986,7,1,5.489
1986-08-01,1986,8,1,89.959
1986-09-01,1986,9,1,4.757
1986-10-01,1986,10,1,10.455
1986-11-01,1986,11,1,32.554
1986-12-01,1986,12,1,0.028
1987-01-01,1987,1,1,0.123
1987-02-01,1987,2,1,0.872
1987-03-01,1987,3,1,3.624
1987-04-01,1987,4,1,6.433
1987-05-01,1987,5,1,68.796
1987-06-01,1987,6,1,51.969
1987-07-01,1987,7,1,464.758
1987-08-01,1987,8,1,231.262
1987-09-01,1987,9,1,27.89
1987-10-01,1987,10,1,55.012
1987-11-01,1987,11,1,0.235
1987-12-01,1987,12,1,0.06
1988-01-01,1988,1,1,0.008
1988-02-01,1988,2,1,0.681
1988-03-01,1988,3,1,4.809
1988-04-01,1988,4,1,0.2
1988-05-01,1988,5,1,13.499
1988-06-01,1988,6,1,20.506
1988-07-01,1988,7,1,50.246
1988-08-01,1988,8,1,90.597
1988-09-01,1988,9,1,19.016
1988-10-01,1988,10,1,1.099
1988-11-01,1988,11,1,11.348
1988-12-01,1988,12,1,4.137
1989-01-01,1989,1,1,1.718
1989-02-01,1989,2,1,0.01
1989-03-01,1989,3,1,0.119
1989-04-01,1989,4,1,26.094
1989-05-01,1989,5,1,36.755
1989-06-01,1989,6,1,28.841
1989-07-01,1989,7,1,122.531
1989-08-01,1989,8,1,157.075
1989-09-01,1989,9,1,23.755
1989-10-01,1989,10,1,4.083
1989-11-01,1989,11,1,0.459
1989-12-01,1989,12,1,0.439
1990-01-01,1990,1,1,0.277
1990-02-01,1990,2,1,1.397
1990-03-01,1990,3,1,19.214
1990-04-01,1990,4,1,7.443
1990-05-01,1990,5,1,13.801
1990-06-01,1990,6,1,9.81
1990-07-01,1990,7,1,58.285
1990-08-01,1990,8,1,60.211
1990-09-01,1990,9,1,47.322
1990-10-01,1990,10,1,14.258
1990-11-01,1990,11,1,0.95
1990-12-01,1990,12,1,0.414
1991-01-01,1991,1,1,0.016
1991-02-01,1991,2,1,0.036
1991-03-01,1991,3,1,0.003
1991-04-01,1991,4,1,21.26
1991-05-01,1991,5,1,119.461
1991-06-01,1991,6,1,158.51
1991-07-01,1991,7,1,140.844
1991-08-01,1991,8,1,14.189
1991-09-01,1991,9,1,73.29
1991-10-01,1991,10,1,20.266
1991-11-01,1991,11,1,1.208
1991-12-01,1991,12,1,31.024
1992-01-01,1992,1,1,0.832
1992-02-01,1992,2,1,0.183
1992-03-01,1992,3,1,13.726
1992-04-01,1992,4,1,46.153
1992-05-01,1992,5,1,173.638
1992-06-01,1992,6,1,202.303
1992-07-01,1992,7,1,26.656
1992-08-01,1992,8,1,70.753
1992-09-01,1992,9,1,28.271
1992-10-01,1992,10,1,1.91
1992-11-01,1992,11,1,11.181
1992-12-01,1992,12,1,0.001
1993-01-01,1993,1,1,1.633
1993-02-01,1993,2,1,2.777
1993-03-01,1993,3,1,0.001
1993-04-01,1993,4,1,103.922
1993-05-01,1993,5,1,117.182
1993-06-01,1993,6,1,73.072
1993-07-01,1993,7,1,70.019
