"date","year","month","day","5748001"
1979-01-01,"1979","01","01",NA
1979-02-01,"1979","02","01",NA
1979-03-01,"1979","03","01",NA
1979-04-01,"1979","04","01",NA
1979-05-01,"1979","05","01",NA
1979-06-01,"1979","06","01",NA
1979-07-01,"1979","07","01",NA
1979-08-01,"1979","08","01",NA
1979-09-01,"1979","09","01",NA
1979-10-01,"1979","10","01",NA
1979-11-01,"1979","11","01",NA
1979-12-01,"1979","12","01",148.092
1980-01-01,"1980","01","01",162.733
1980-02-01,"1980","02","01",79.017
1980-03-01,"1980","03","01",65.31
1980-04-01,"1980","04","01",167.9
1980-05-01,"1980","05","01",287.194
1980-06-01,"1980","06","01",243.222
1980-07-01,"1980","07","01",347.765
1980-08-01,"1980","08","01",202.806
1980-09-01,"1980","09","01",102.57
1980-10-01,"1980","10","01",132.126
1980-11-01,"1980","11","01",120.297
1980-12-01,"1980","12","01",236.871
1981-01-01,"1981","01","01",138.419
1981-02-01,"1981","02","01",109.271
1981-03-01,"1981","03","01",88.452
1981-04-01,"1981","04","01",68.187
1981-05-01,"1981","05","01",197.352
1981-06-01,"1981","06","01",193.567
1981-07-01,"1981","07","01",133.5
1981-08-01,"1981","08","01",105.737
1981-09-01,"1981","09","01",48.117
1981-10-01,"1981","10","01",35.942
1981-11-01,"1981","11","01",52.743
1981-12-01,"1981","12","01",48.371
1982-01-01,"1982","01","01",44.819
1982-02-01,"1982","02","01",36.954
1982-03-01,"1982","03","01",42.781
1982-04-01,"1982","04","01",60.04
1982-05-01,"1982","05","01",127.584
1982-06-01,"1982","06","01",528.833
1982-07-01,"1982","07","01",516.355
1982-08-01,"1982","08","01",283.742
1982-09-01,"1982","09","01",267.964
1982-10-01,"1982","10","01",214
1982-11-01,"1982","11","01",252.133
1982-12-01,"1982","12","01",417.097
1983-01-01,"1983","01","01",459.194
1983-02-01,"1983","02","01",316.857
1983-03-01,"1983","03","01",211.613
1983-04-01,"1983","04","01",167.267
1983-05-01,"1983","05","01",157.742
1983-06-01,"1983","06","01",190.5
1983-07-01,"1983","07","01",244.097
1983-08-01,"1983","08","01",191.065
1983-09-01,"1983","09","01",140.3
1983-10-01,"1983","10","01",124.4
1983-11-01,"1983","11","01",167.767
1983-12-01,"1983","12","01",204.903
1984-01-01,"1984","01","01",169.385
1984-02-01,"1984","02","01",110.7
1984-03-01,"1984","03","01",80
1984-04-01,"1984","04","01",68.513
1984-05-01,"1984","05","01",123.95
1984-06-01,"1984","06","01",115.467
1984-07-01,"1984","07","01",626.29
1984-08-01,"1984","08","01",229.677
1984-09-01,"1984","09","01",195.967
1984-10-01,"1984","10","01",215.355
1984-11-01,"1984","11","01",223.615
1984-12-01,"1984","12","01",272.097
1985-01-01,"1985","01","01",244.806
1985-02-01,"1985","02","01",144.643
1985-03-01,"1985","03","01",155.323
1985-04-01,"1985","04","01",136.929
1985-05-01,"1985","05","01",NA
1985-06-01,"1985","06","01",132.4
1985-07-01,"1985","07","01",141.355
1985-08-01,"1985","08","01",109.213
1985-09-01,"1985","09","01",61.087
1985-10-01,"1985","10","01",NA
1985-11-01,"1985","11","01",81.504
1985-12-01,"1985","12","01",57.229
1986-01-01,"1986","01","01",62.58
1986-02-01,"1986","02","01",52.836
1986-03-01,"1986","03","01",47.345
1986-04-01,"1986","04","01",73.123
1986-05-01,"1986","05","01",146.168
1986-06-01,"1986","06","01",313.429
1986-07-01,"1986","07","01",171.258
1986-08-01,"1986","08","01",184.748
1986-09-01,"1986","09","01",120.96
1986-10-01,"1986","10","01",NA
1986-11-01,"1986","11","01",129.383
1986-12-01,"1986","12","01",265.677
1987-01-01,"1987","01","01",249.419
1987-02-01,"1987","02","01",171.786
1987-03-01,"1987","03","01",128.323
1987-04-01,"1987","04","01",95.18
1987-05-01,"1987","05","01",134.761
1987-06-01,"1987","06","01",139.633
1987-07-01,"1987","07","01",845.468
1987-08-01,"1987","08","01",754.226
1987-09-01,"1987","09","01",261.933
1987-10-01,"1987","10","01",245.774
1987-11-01,"1987","11","01",355.733
1987-12-01,"1987","12","01",468.097
1988-01-01,"1988","01","01",341.1
1988-02-01,"1988","02","01",217.897
1988-03-01,"1988","03","01",161
1988-04-01,"1988","04","01",126.233
1988-05-01,"1988","05","01",124.484
1988-06-01,"1988","06","01",114.4
1988-07-01,"1988","07","01",104.455
1988-08-01,"1988","08","01",131.019
1988-09-01,"1988","09","01",64.367
1988-10-01,"1988","10","01",40.1
1988-11-01,"1988","11","01",62.643
1988-12-01,"1988","12","01",52.113
1989-01-01,"1989","01","01",51.684
1989-02-01,"1989","02","01",60.304
1989-03-01,"1989","03","01",52.945
1989-04-01,"1989","04","01",55.64
1989-05-01,"1989","05","01",94.683
1989-06-01,"1989","06","01",65.2
1989-07-01,"1989","07","01",100.119
1989-08-01,"1989","08","01",213.213
1989-09-01,"1989","09","01",142.143
1989-10-01,"1989","10","01",83.159
1989-11-01,"1989","11","01",147.88
1989-12-01,"1989","12","01",132.355
1990-01-01,"1990","01","01",76.145
1990-02-01,"1990","02","01",54.689
1990-03-01,"1990","03","01",48.106
1990-04-01,"1990","04","01",64.64
1990-05-01,"1990","05","01",75.842
1990-06-01,"1990","06","01",69.647
1990-07-01,"1990","07","01",104.014
1990-08-01,"1990","08","01",NA
1990-09-01,"1990","09","01",81.283
1990-10-01,"1990","10","01",38.033
1990-11-01,"1990","11","01",44.797
1990-12-01,"1990","12","01",39.865
1991-01-01,"1991","01","01",27.226
1991-02-01,"1991","02","01",24.568
1991-03-01,"1991","03","01",39.052
1991-04-01,"1991","04","01",59.707
1991-05-01,"1991","05","01",149.113
1991-06-01,"1991","06","01",270.067
1991-07-01,"1991","07","01",292.161
1991-08-01,"1991","08","01",168.065
1991-09-01,"1991","09","01",171.367
1991-10-01,"1991","10","01",105.168
1991-11-01,"1991","11","01",165.2
1991-12-01,"1991","12","01",177.226
1992-01-01,"1992","01","01",196.367
1992-02-01,"1992","02","01",137.462
1992-03-01,"1992","03","01",124.852
1992-04-01,"1992","04","01",107.469
1992-05-01,"1992","05","01",207.871
1992-06-01,"1992","06","01",441.833
1992-07-01,"1992","07","01",199.129
1992-08-01,"1992","08","01",163.484
1992-09-01,"1992","09","01",163.433
1992-10-01,"1992","10","01",111.09
1992-11-01,"1992","11","01",152.003
1992-12-01,"1992","12","01",152.129
1993-01-01,"1993","01","01",153.839
1993-02-01,"1993","02","01",105.511
1993-03-01,"1993","03","01",90.171
1993-04-01,"1993","04","01",144.573
1993-05-01,"1993","05","01",306.387
1993-06-01,"1993","06","01",223.967
1993-07-01,"1993","07","01",204.452
1993-08-01,"1993","08","01",139.871
1993-09-01,"1993","09","01",99.313
1993-10-01,"1993","10","01",75.003
1993-11-01,"1993","11","01",96.883
1993-12-01,"1993","12","01",129.381
1994-01-01,"1994","01","01",135.358
1994-02-01,"1994","02","01",73.543
1994-03-01,"1994","03","01",76.752
1994-04-01,"1994","04","01",79.077
