"date","year","month","day","5748001"
1979-01-01,"1979","01","01",NA
1979-02-01,"1979","02","01",NA
1979-03-01,"1979","03","01",NA
1979-04-01,"1979","04","01",NA
1979-05-01,"1979","05","01",NA
1979-06-01,"1979","06","01",NA
1979-07-01,"1979","07","01",NA
1979-08-01,"1979","08","01",NA
1979-09-01,"1979","09","01",NA
1979-10-01,"1979","10","01",NA
1979-11-01,"1979","11","01",NA
1979-12-01,"1979","12","01",26.5943489456244
1980-01-01,"1980","01","01",29.2235784982868
1980-02-01,"1980","02","01",13.2743909950605
1980-03-01,"1980","03","01",11.7283643251406
1980-04-01,"1980","04","01",29.1788399275581
1980-05-01,"1980","05","01",51.5742744448697
1980-06-01,"1980","06","01",42.2688255203129
1980-07-01,"1980","07","01",62.451609547275
1980-08-01,"1980","08","01",36.419884479015
1980-09-01,"1980","09","01",17.8253341951735
1980-10-01,"1980","10","01",23.7271760040351
1980-11-01,"1980","11","01",20.9060566215929
1980-12-01,"1980","12","01",42.5372743233867
1981-01-01,"1981","01","01",24.8572724165004
1981-02-01,"1981","02","01",17.7238889212384
1981-03-01,"1981","03","01",15.8842027451744
1981-04-01,"1981","04","01",11.8500152360953
1981-05-01,"1981","05","01",35.4404556162173
1981-06-01,"1981","06","01",33.6394312582349
1981-07-01,"1981","07","01",23.9739188088543
1981-08-01,"1981","08","01",18.9882415961935
1981-09-01,"1981","09","01",8.36210983200901
1981-10-01,"1981","10","01",6.45446134702503
1981-11-01,"1981","11","01",9.16604856640379
1981-12-01,"1981","12","01",8.68646012511679
1982-01-01,"1982","01","01",8.04859226287672
1982-02-01,"1982","02","01",5.99398368455896
1982-03-01,"1982","03","01",7.68260839371982
1982-04-01,"1982","04","01",10.4341724195985
1982-05-01,"1982","05","01",22.9115240247855
1982-06-01,"1982","06","01",91.9043088469942
1982-07-01,"1982","07","01",92.7269876145765
1982-08-01,"1982","08","01",50.9543645742467
1982-09-01,"1982","09","01",46.5686638615139
1982-10-01,"1982","10","01",38.4301020606354
1982-11-01,"1982","11","01",43.817441616766
1982-12-01,"1982","12","01",74.9022442952562
1983-01-01,"1983","01","01",82.462020026315
1983-02-01,"1983","02","01",51.3945902564891
1983-03-01,"1983","03","01",38.0014448007347
1983-04-01,"1983","04","01",29.0688327466519
1983-05-01,"1983","05","01",28.3272951366764
1983-06-01,"1983","06","01",33.1064264812377
1983-07-01,"1983","07","01",43.8349187976398
1983-08-01,"1983","08","01",34.311436683249
1983-09-01,"1983","09","01",24.3823182956307
1983-10-01,"1983","10","01",22.3397415716965
1983-11-01,"1983","11","01",29.1557262544767
1983-12-01,"1983","12","01",36.796463563226
1984-01-01,"1984","01","01",30.4181441006576
1984-02-01,"1984","02","01",18.5969485446575
1984-03-01,"1984","03","01",14.3663932936955
1984-04-01,"1984","04","01",11.9066698031971
1984-05-01,"1984","05","01",22.2589306094194
1984-06-01,"1984","06","01",20.0666653360057
1984-07-01,"1984","07","01",112.469105698857
1984-08-01,"1984","08","01",41.2453764064512
1984-09-01,"1984","09","01",34.0565200957938
1984-10-01,"1984","10","01",38.6734328470473
1984-11-01,"1984","11","01",38.8613835044723
1984-12-01,"1984","12","01",48.8631564504332
1985-01-01,"1985","01","01",43.9622409582052
1985-02-01,"1985","02","01",23.4612702842902
1985-03-01,"1985","03","01",27.8928913194583
1985-04-01,"1985","04","01",23.7964822658761
1985-05-01,"1985","05","01",NA
1985-06-01,"1985","06","01",23.0094008719994
1985-07-01,"1985","07","01",25.384519050379
1985-08-01,"1985","08","01",19.6124613848045
1985-09-01,"1985","09","01",10.6161274249836
1985-10-01,"1985","10","01",NA
1985-11-01,"1985","11","01",14.1643369235003
1985-12-01,"1985","12","01",10.2771790225612
1986-01-01,"1986","01","01",11.2381111539933
1986-02-01,"1986","02","01",8.57006337493525
1986-03-01,"1986","03","01",8.50221113112515
1986-04-01,"1986","04","01",12.7078279453415
1986-05-01,"1986","05","01",26.248837186911
1986-06-01,"1986","06","01",54.4698905280203
1986-07-01,"1986","07","01",30.7544972836462
1986-08-01,"1986","08","01",33.1770303527956
1986-09-01,"1986","09","01",21.0212774129686
1986-10-01,"1986","10","01",NA
1986-11-01,"1986","11","01",22.4850854457847
1986-12-01,"1986","12","01",47.7102533886141
1987-01-01,"1987","01","01",44.7906431115029
1987-02-01,"1987","02","01",27.8638978523474
1987-03-01,"1987","03","01",23.044233582836
1987-04-01,"1987","04","01",16.5410481495234
1987-05-01,"1987","05","01",24.2003690831462
1987-06-01,"1987","06","01",24.2664023561925
1987-07-01,"1987","07","01",151.829072565426
1987-08-01,"1987","08","01",135.443841854134
1987-09-01,"1987","09","01",45.5205543701315
1987-10-01,"1987","10","01",44.1360743170589
1987-11-01,"1987","11","01",61.8217764380585
1987-12-01,"1987","12","01",84.0608200199871
1988-01-01,"1988","01","01",61.254709405994
1988-02-01,"1988","02","01",36.605413704022
1988-03-01,"1988","03","01",28.9123665035621
1988-04-01,"1988","04","01",21.9376563464886
1988-05-01,"1988","05","01",22.3548262846548
1988-06-01,"1988","06","01",19.8812345903076
1988-07-01,"1988","07","01",18.758020143662
1988-08-01,"1988","08","01",23.5283810368336
1988-09-01,"1988","09","01",11.1861488363141
1988-10-01,"1988","10","01",7.20115463846485
1988-11-01,"1988","11","01",10.8865400213343
1988-12-01,"1988","12","01",9.3584481714294
1989-01-01,"1989","01","01",9.28140838739196
1989-02-01,"1989","02","01",9.78138204561464
1989-03-01,"1989","03","01",9.50785866168383
1989-04-01,"1989","04","01",9.66950955074051
1989-05-01,"1989","05","01",17.0031652028371
1989-06-01,"1989","06","01",11.3309134203501
1989-07-01,"1989","07","01",17.9793616271437
1989-08-01,"1989","08","01",38.2887726666086
1989-09-01,"1989","09","01",24.7026077654728
1989-10-01,"1989","10","01",14.9336862488803
1989-11-01,"1989","11","01",25.6996238742543
1989-12-01,"1989","12","01",23.7682998048383
1990-01-01,"1990","01","01",13.6741127168555
1990-02-01,"1990","02","01",8.87062222560061
1990-03-01,"1990","03","01",8.63887144733143
1990-04-01,"1990","04","01",11.2335926915864
1990-05-01,"1990","05","01",13.6197000022556
1990-06-01,"1990","06","01",12.1037442789436
1990-07-01,"1990","07","01",18.6788254006305
1990-08-01,"1990","08","01",NA
1990-09-01,"1990","09","01",14.1259299930417
1990-10-01,"1990","10","01",6.829962951739
1990-11-01,"1990","11","01",7.78513694005253
1990-12-01,"1990","12","01",7.15895335816462
1991-01-01,"1991","01","01",4.88924279767691
1991-02-01,"1991","02","01",3.98495944044608
1991-03-01,"1991","03","01",7.01295488631744
1991-04-01,"1991","04","01",10.3763013433872
1991-05-01,"1991","05","01",26.7777000400352
1991-06-01,"1991","06","01",46.9341379554248
1991-07-01,"1991","07","01",52.466247888492
1991-08-01,"1991","08","01",30.1810986113116
1991-09-01,"1991","09","01",29.781359510815
1991-10-01,"1991","10","01",18.8860606238921
1991-11-01,"1991","11","01",28.7096149853043
