"date","year","month","day","5748001"
1979-01-01,1979,1,1,23.213645483871
1979-02-01,1979,2,1,22.5325795357143
1979-03-01,1979,3,1,21.2844253870968
1979-04-01,1979,4,1,17.8865195333333
1979-05-01,1979,5,1,13.7029837322581
1979-06-01,1979,6,1,11.2201719633333
1979-07-01,1979,7,1,11.7758452225806
1979-08-01,1979,8,1,11.7864866258065
1979-09-01,1979,9,1,11.3064703766667
1979-10-01,1979,10,1,16.0224030258065
1979-11-01,1979,11,1,17.8615465
1979-12-01,1979,12,1,20.4527573548387
1980-01-01,1980,1,1,23.2458012258065
1980-02-01,1980,2,1,21.6777553793103
1980-03-01,1980,3,1,23.1400854193548
1980-04-01,1980,4,1,15.08877363
1980-05-01,1980,5,1,12.7253824516129
1980-06-01,1980,6,1,10.4982119866667
1980-07-01,1980,7,1,9.35006254193548
1980-08-01,1980,8,1,11.7052293096774
1980-09-01,1980,9,1,13.7101324066667
1980-10-01,1980,10,1,15.5996494903226
1980-11-01,1980,11,1,18.1613429333333
1980-12-01,1980,12,1,21.5020633225806
1981-01-01,1981,1,1,21.8722583548387
1981-02-01,1981,2,1,23.40126725
1981-03-01,1981,3,1,21.6559688709677
1981-04-01,1981,4,1,18.1520951666667
1981-05-01,1981,5,1,12.9738524903226
1981-06-01,1981,6,1,10.3906540466667
1981-07-01,1981,7,1,10.349280816129
1981-08-01,1981,8,1,11.5466272967742
1981-09-01,1981,9,1,13.42570281
1981-10-01,1981,10,1,14.8261597709677
1981-11-01,1981,11,1,18.8215475333333
1981-12-01,1981,12,1,22.1660771935484
1982-01-01,1982,1,1,22.6452617419355
1982-02-01,1982,2,1,21.9972390714286
1982-03-01,1982,3,1,20.9541659032258
1982-04-01,1982,4,1,18.6375960666667
1982-05-01,1982,5,1,13.2750947064516
1982-06-01,1982,6,1,8.72589256333333
1982-07-01,1982,7,1,9.36692989677419
1982-08-01,1982,8,1,11.9692828645161
1982-09-01,1982,9,1,12.5677819766667
1982-10-01,1982,10,1,14.8832827064516
1982-11-01,1982,11,1,17.5507685333333
1982-12-01,1982,12,1,22.1746758064516
1983-01-01,1983,1,1,22.8857870645161
1983-02-01,1983,2,1,23.2076004285714
1983-03-01,1983,3,1,21.2096006774194
1983-04-01,1983,4,1,17.9647855666667
1983-05-01,1983,5,1,11.6792586709677
1983-06-01,1983,6,1,7.5656771
1983-07-01,1983,7,1,8.36987976129032
1983-08-01,1983,8,1,9.91281054516129
1983-09-01,1983,9,1,11.2736282833333
1983-10-01,1983,10,1,16.9667969354839
1983-11-01,1983,11,1,20.2403578333333
1983-12-01,1983,12,1,22.3354462903226
1984-01-01,1984,1,1,23.1235150645161
1984-02-01,1984,2,1,22.397049862069
1984-03-01,1984,3,1,20.6424906129032
1984-04-01,1984,4,1,18.1864442
1984-05-01,1984,5,1,10.5300725870968
1984-06-01,1984,6,1,7.2047357
1984-07-01,1984,7,1,9.10593853870968
1984-08-01,1984,8,1,9.7191013483871
1984-09-01,1984,9,1,12.3026079633333
1984-10-01,1984,10,1,15.7507429193548
1984-11-01,1984,11,1,17.5329789333333
1984-12-01,1984,12,1,21.0935496129032
1985-01-01,1985,1,1,21.7694234516129
1985-02-01,1985,2,1,23.2247896428571
1985-03-01,1985,3,1,20.7605702903226
1985-04-01,1985,4,1,17.0025721666667
1985-05-01,1985,5,1,14.1542875580645
1985-06-01,1985,6,1,12.57559546
1985-07-01,1985,7,1,9.29099723225806
1985-08-01,1985,8,1,10.864925116129
1985-09-01,1985,9,1,13.54709518
1985-10-01,1985,10,1,14.9410934064516
1985-11-01,1985,11,1,19.5064307333333
1985-12-01,1985,12,1,21.8451024193548
1986-01-01,1986,1,1,23.1355240322581
1986-02-01,1986,2,1,22.4043563928571
1986-03-01,1986,3,1,21.1024422580645
1986-04-01,1986,4,1,16.9464320333333
1986-05-01,1986,5,1,12.6102370580645
1986-06-01,1986,6,1,9.88971641666667
1986-07-01,1986,7,1,12.7780703064516
1986-08-01,1986,8,1,10.8279231032258
1986-09-01,1986,9,1,12.54102896
1986-10-01,1986,10,1,16.407312
1986-11-01,1986,11,1,17.6210500333333
1986-12-01,1986,12,1,22.7668008064516
1987-01-01,1987,1,1,23.4552739032258
1987-02-01,1987,2,1,23.6083429285714
1987-03-01,1987,3,1,21.2377670322581
1987-04-01,1987,4,1,18.4228241
1987-05-01,1987,5,1,10.9862278290323
1987-06-01,1987,6,1,11.9246085266667
1987-07-01,1987,7,1,8.4990736483871
1987-08-01,1987,8,1,9.86512636451613
1987-09-01,1987,9,1,12.4260462766667
1987-10-01,1987,10,1,15.7150596870968
1987-11-01,1987,11,1,20.0695452
1987-12-01,1987,12,1,21.5882245806452
1988-01-01,1988,1,1,22.154042516129
1988-02-01,1988,2,1,22.8191355172414
1988-03-01,1988,3,1,21.4741335806452
1988-04-01,1988,4,1,18.1379344333333
1988-05-01,1988,5,1,13.5854732
1988-06-01,1988,6,1,10.51494294
1988-07-01,1988,7,1,9.37948438709677
1988-08-01,1988,8,1,9.7278458516129
1988-09-01,1988,9,1,11.8359447566667
1988-10-01,1988,10,1,16.1873639612903
1988-11-01,1988,11,1,20.01646933
1988-12-01,1988,12,1,21.6095752258065
1989-01-01,1989,1,1,23.5209028709677
1989-02-01,1989,2,1,23.7786206785714
1989-03-01,1989,3,1,21.0443677741935
1989-04-01,1989,4,1,18.8174453633333
1989-05-01,1989,5,1,13.8739079516129
1989-06-01,1989,6,1,11.9130479133333
1989-07-01,1989,7,1,10.1835663677419
1989-08-01,1989,8,1,10.3344748322581
1989-09-01,1989,9,1,12.2732899733333
1989-10-01,1989,10,1,16.6204213451613
1989-11-01,1989,11,1,20.0012386666667
1989-12-01,1989,12,1,21.6097460967742
1990-01-01,1990,1,1,23.8878347419355
1990-02-01,1990,2,1,22.5068353928571
1990-03-01,1990,3,1,20.9248361290323
1990-04-01,1990,4,1,16.0592090666667
1990-05-01,1990,5,1,13.2334809645161
1990-06-01,1990,6,1,12.4287377233333
1990-07-01,1990,7,1,9.53973297741936
1990-08-01,1990,8,1,13.2127528354839
1990-09-01,1990,9,1,12.88230781
1990-10-01,1990,10,1,15.1517103483871
1990-11-01,1990,11,1,19.7920547
1990-12-01,1990,12,1,22.1025735483871
1991-01-01,1991,1,1,23.1453433548387
1991-02-01,1991,2,1,23.75154825
1991-03-01,1991,3,1,22.2083990322581
1991-04-01,1991,4,1,17.2901867666667
1991-05-01,1991,5,1,13.9304512774194
1991-06-01,1991,6,1,10.4112246366667
1991-07-01,1991,7,1,8.87026510645161
1991-08-01,1991,8,1,10.8281012548387
1991-09-01,1991,9,1,13.9860286166667
1991-10-01,1991,10,1,15.0558383774194
1991-11-01,1991,11,1,18.8720959666667
1991-12-01,1991,12,1,20.0748404193548
1992-01-01,1992,1,1,23.9600625806452
1992-02-01,1992,2,1,22.0118496896552
1992-03-01,1992,3,1,21.5232101935484
1992-04-01,1992,4,1,16.0340467533333
1992-05-01,1992,5,1,10.9606483354839
1992-06-01,1992,6,1,8.61477249666667
1992-07-01,1992,7,1,8.36821055483871
1992-08-01,1992,8,1,11.2290812451613
1992-09-01,1992,9,1,13.8568971233333
1992-10-01,1992,10,1,16.4761352258065
1992-11-01,1992,11,1,18.8157149333333
1992-12-01,1992,12,1,22.0331646451613
1993-01-01,1993,1,1,24.1051806451613
1993-02-01,1993,2,1,23.1040559642857
1993-03-01,1993,3,1,22.9375433225806
1993-04-01,1993,4,1,16.9826662333333
1993-05-01,1993,5,1,10.816910216129
1993-06-01,1993,6,1,10.6981276566667
1993-07-01,1993,7,1,9.07288371612903
1993-08-01,1993,8,1,11.8993903774194
1993-09-01,1993,9,1,12.64276377
1993-10-01,1993,10,1,15.9906945387097
1993-11-01,1993,11,1,19.1139055666667
1993-12-01,1993,12,1,22.1081122903226
1994-01-01,1994,1,1,23.5510090645161
1994-02-01,1994,2,1,22.3169715357143
1994-03-01,1994,3,1,21.7019377419355
1994-04-01,1994,4,1,17.8608663
1994-05-01,1994,5,1,13.9216521225806
1994-06-01,1994,6,1,10.64019484
1994-07-01,1994,7,1,8.8922627483871
1994-08-01,1994,8,1,11.3822563064516
1994-09-01,1994,9,1,15.1336067233333
1994-10-01,1994,10,1,15.8005673225806
1994-11-01,1994,11,1,20.3065937
1994-12-01,1994,12,1,23.3624735483871
1995-01-01,1995,1,1,24.0148709032258
1995-02-01,1995,2,1,22.2283443928571
1995-03-01,1995,3,1,21.7082717419355
1995-04-01,1995,4,1,18.6159646666667
1995-05-01,1995,5,1,15.7628137096774
1995-06-01,1995,6,1,11.16079501
1995-07-01,1995,7,1,6.97815870967742
1995-08-01,1995,8,1,9.42217868709677
1995-09-01,1995,9,1,13.5769941733333
1995-10-01,1995,10,1,16.2016208548387
1995-11-01,1995,11,1,19.9736075666667
1995-12-01,1995,12,1,22.7479328387097
1996-01-01,1996,1,1,22.1548627741935
1996-02-01,1996,2,1,22.8177225517241
1996-03-01,1996,3,1,21.9973839032258
1996-04-01,1996,4,1,16.58102221
1996-05-01,1996,5,1,14.9117993451613
1996-06-01,1996,6,1,10.6517064
1996-07-01,1996,7,1,11.7420286870968
1996-08-01,1996,8,1,10.8605106387097
1996-09-01,1996,9,1,14.14663597
1996-10-01,1996,10,1,16.3874050258065
1996-11-01,1996,11,1,21.0178858
1996-12-01,1996,12,1,22.0704715806452
1997-01-01,1997,1,1,24.2382217096774
1997-02-01,1997,2,1,24.1786695357143
1997-03-01,1997,3,1,22.5640954516129
1997-04-01,1997,4,1,20.2689293
1997-05-01,1997,5,1,15.2278102548387
1997-06-01,1997,6,1,8.34543758666667
1997-07-01,1997,7,1,10.936222216129
1997-08-01,1997,8,1,12.1277650548387
1997-09-01,1997,9,1,12.5756378433333
1997-10-01,1997,10,1,12.8981426451613
1997-11-01,1997,11,1,17.8711245333333
1997-12-01,1997,12,1,21.6314652258065
1998-01-01,1998,1,1,24.9155010967742
1998-02-01,1998,2,1,21.8868668571429
1998-03-01,1998,3,1,21.1508595806452
1998-04-01,1998,4,1,15.8567207666667
1998-05-01,1998,5,1,13.9183740516129
1998-06-01,1998,6,1,11.0000576333333
1998-07-01,1998,7,1,11.2564735806452
1998-08-01,1998,8,1,11.3960604387097
1998-09-01,1998,9,1,12.5378632366667
1998-10-01,1998,10,1,19.2177482258065
1998-11-01,1998,11,1,20.1016027
1998-12-01,1998,12,1,22.4648681935484
1999-01-01,1999,1,1,22.3732779032258
1999-02-01,1999,2,1,23.26053525
1999-03-01,1999,3,1,20.2599492258065
1999-04-01,1999,4,1,18.1358636666667
1999-05-01,1999,5,1,14.839865683871
1999-06-01,1999,6,1,10.3066100866667
1999-07-01,1999,7,1,8.96231628064516
1999-08-01,1999,8,1,10.9136413064516
