"date","year","month","day","5748001"
1979-01-01,1979,1,1,8.6835189
1979-01-02,1979,1,2,9.1305473
1979-01-03,1979,1,3,10.580482
1979-01-04,1979,1,4,10.768568
1979-01-05,1979,1,5,10.802252
1979-01-06,1979,1,6,11.11503
1979-01-07,1979,1,7,11.023575
1979-01-08,1979,1,8,11.15754
1979-01-09,1979,1,9,10.522517
1979-01-10,1979,1,10,10.001841
1979-01-11,1979,1,11,9.824236
1979-01-12,1979,1,12,8.9682413
1979-01-13,1979,1,13,8.1817079
1979-01-14,1979,1,14,9.6722791
1979-01-15,1979,1,15,9.7775613
1979-01-16,1979,1,16,9.4156709
1979-01-17,1979,1,17,10.392116
1979-01-18,1979,1,18,11.802762
1979-01-19,1979,1,19,11.197077
1979-01-20,1979,1,20,10.365145
1979-01-21,1979,1,21,11.262796
1979-01-22,1979,1,22,10.744903
1979-01-23,1979,1,23,9.6849468
1979-01-24,1979,1,24,9.1737602
1979-01-25,1979,1,25,10.134267
1979-01-26,1979,1,26,10.767554
1979-01-27,1979,1,27,10.503646
1979-01-28,1979,1,28,10.648327
1979-01-29,1979,1,29,10.574879
1979-01-30,1979,1,30,11.161268
1979-01-31,1979,1,31,10.179769
1979-02-01,1979,2,1,9.7275754
1979-02-02,1979,2,2,10.351887
1979-02-03,1979,2,3,9.8318284
1979-02-04,1979,2,4,8.6391766
1979-02-05,1979,2,5,9.4750165
1979-02-06,1979,2,6,9.1225531
1979-02-07,1979,2,7,9.207584
1979-02-08,1979,2,8,8.3406149
1979-02-09,1979,2,9,7.2023169
1979-02-10,1979,2,10,8.2044469
1979-02-11,1979,2,11,9.553292
1979-02-12,1979,2,12,8.6233421
1979-02-13,1979,2,13,8.4355861
1979-02-14,1979,2,14,8.3441414
1979-02-15,1979,2,15,7.5745722
1979-02-16,1979,2,16,8.4882921
1979-02-17,1979,2,17,8.9400539
1979-02-18,1979,2,18,9.3670134
1979-02-19,1979,2,19,8.8735737
1979-02-20,1979,2,20,9.7887913
1979-02-21,1979,2,21,12.003403
1979-02-22,1979,2,22,11.38725
1979-02-23,1979,2,23,10.533185
1979-02-24,1979,2,24,9.9609332
1979-02-25,1979,2,25,9.3501277
1979-02-26,1979,2,26,9.3050194
1979-02-27,1979,2,27,8.6465125
1979-02-28,1979,2,28,9.0685289
1979-03-01,1979,3,1,9.9915292
1979-03-02,1979,3,2,8.2736886
1979-03-03,1979,3,3,7.6623234
1979-03-04,1979,3,4,8.4653062
1979-03-05,1979,3,5,7.8373383
1979-03-06,1979,3,6,7.7279497
1979-03-07,1979,3,7,7.4107514
1979-03-08,1979,3,8,6.7339015
1979-03-09,1979,3,9,6.8936262
1979-03-10,1979,3,10,7.8784716
1979-03-11,1979,3,11,7.7974086
1979-03-12,1979,3,12,7.4417159
1979-03-13,1979,3,13,6.8672986
1979-03-14,1979,3,14,8.4353583
1979-03-15,1979,3,15,8.8973275
1979-03-16,1979,3,16,8.800557
1979-03-17,1979,3,17,9.0943374
1979-03-18,1979,3,18,8.6281159
1979-03-19,1979,3,19,8.9192287
1979-03-20,1979,3,20,8.8118641
1979-03-21,1979,3,21,8.2367965
1979-03-22,1979,3,22,6.8960088
1979-03-23,1979,3,23,7.9783037
1979-03-24,1979,3,24,8.4734834
1979-03-25,1979,3,25,8.1843228
1979-03-26,1979,3,26,6.9879061
1979-03-27,1979,3,27,6.333031
1979-03-28,1979,3,28,6.6740588
1979-03-29,1979,3,29,8.0431451
1979-03-30,1979,3,30,8.750082
1979-03-31,1979,3,31,9.1109672
1979-04-01,1979,4,1,7.2126673
1979-04-02,1979,4,2,6.9735772
1979-04-03,1979,4,3,3.6570442
1979-04-04,1979,4,4,0.81246033
1979-04-05,1979,4,5,1.1100083
1979-04-06,1979,4,6,3.8125385
1979-04-07,1979,4,7,5.5512129
1979-04-08,1979,4,8,5.7759211
1979-04-09,1979,4,9,5.2648114
1979-04-10,1979,4,10,6.2752228
1979-04-11,1979,4,11,6.345193
1979-04-12,1979,4,12,5.1652825
1979-04-13,1979,4,13,5.4047549
1979-04-14,1979,4,14,4.8815781
1979-04-15,1979,4,15,5.5603176
1979-04-16,1979,4,16,5.7030781
1979-04-17,1979,4,17,6.485047
1979-04-18,1979,4,18,6.4404518
1979-04-19,1979,4,19,5.4834839
1979-04-20,1979,4,20,5.8635505
1979-04-21,1979,4,21,5.8139261
1979-04-22,1979,4,22,6.1562502
1979-04-23,1979,4,23,5.8113076
1979-04-24,1979,4,24,6.1840477
1979-04-25,1979,4,25,6.0938332
1979-04-26,1979,4,26,4.9273433
1979-04-27,1979,4,27,5.6667474
1979-04-28,1979,4,28,3.3865994
1979-04-29,1979,4,29,0.924509
1979-04-30,1979,4,30,2.429262
1979-05-01,1979,5,1,5.0265611
1979-05-02,1979,5,2,4.3604748
1979-05-03,1979,5,3,1.6502559
1979-05-04,1979,5,4,1.2300985
1979-05-05,1979,5,5,4.0434154
1979-05-06,1979,5,6,2.7517257
1979-05-07,1979,5,7,2.0468335
1979-05-08,1979,5,8,2.322507
1979-05-09,1979,5,9,3.379033
1979-05-10,1979,5,10,4.4103207
1979-05-11,1979,5,11,1.9909485
1979-05-12,1979,5,12,1.5271152
1979-05-13,1979,5,13,1.4392406
1979-05-14,1979,5,14,2.0743971
1979-05-15,1979,5,15,3.427444
1979-05-16,1979,5,16,3.8675425
1979-05-17,1979,5,17,3.4382377
1979-05-18,1979,5,18,1.8330803
1979-05-19,1979,5,19,3.3122786
1979-05-20,1979,5,20,4.0343501
1979-05-21,1979,5,21,3.1643906
1979-05-22,1979,5,22,3.1950111
1979-05-23,1979,5,23,4.0757413
1979-05-24,1979,5,24,4.6370051
1979-05-25,1979,5,25,2.7286936
1979-05-26,1979,5,26,0.61696699
1979-05-27,1979,5,27,3.2223217
1979-05-28,1979,5,28,1.2132297
1979-05-29,1979,5,29,-1.9030045
1979-05-30,1979,5,30,0.38281061
1979-05-31,1979,5,31,2.9235958
1979-06-01,1979,6,1,2.6366592
1979-06-02,1979,6,2,1.332602
1979-06-03,1979,6,3,0.14277397
1979-06-04,1979,6,4,-2.098903
1979-06-05,1979,6,5,-2.3410827
1979-06-06,1979,6,6,-3.8160561
1979-06-07,1979,6,7,-2.8703713
1979-06-08,1979,6,8,-0.50342121
1979-06-09,1979,6,9,-0.28382258
1979-06-10,1979,6,10,-1.195705
1979-06-11,1979,6,11,-2.1328832
1979-06-12,1979,6,12,-1.1075343
1979-06-13,1979,6,13,-0.93511063
1979-06-14,1979,6,14,0.00050136698
1979-06-15,1979,6,15,0.08937896
1979-06-16,1979,6,16,0.16171387
1979-06-17,1979,6,17,1.6287465
1979-06-18,1979,6,18,1.201099
1979-06-19,1979,6,19,0.33188019
1979-06-20,1979,6,20,0.51587905
1979-06-21,1979,6,21,0.25989123
1979-06-22,1979,6,22,-0.40710847
1979-06-23,1979,6,23,-2.5571153
1979-06-24,1979,6,24,-2.6668113
1979-06-25,1979,6,25,-0.10991119
1979-06-26,1979,6,26,0.40360379
1979-06-27,1979,6,27,0.49001281
1979-06-28,1979,6,28,0.176596
1979-06-29,1979,6,29,-0.73179385
1979-06-30,1979,6,30,-1.5672157
1979-07-01,1979,7,1,-1.7086131
1979-07-02,1979,7,2,-1.231779
1979-07-03,1979,7,3,0.37898799
1979-07-04,1979,7,4,0.21781597
1979-07-05,1979,7,5,1.38476
1979-07-06,1979,7,6,0.93287801
1979-07-07,1979,7,7,-0.15727095
1979-07-08,1979,7,8,1.292231
1979-07-09,1979,7,9,2.4574499
1979-07-10,1979,7,10,1.7760906
1979-07-11,1979,7,11,1.5279499
1979-07-12,1979,7,12,1.6199289
1979-07-13,1979,7,13,-0.097246037
1979-07-14,1979,7,14,-0.47277936
1979-07-15,1979,7,15,-1.484081
1979-07-16,1979,7,16,-0.47222013
1979-07-17,1979,7,17,-1.0561694
1979-07-18,1979,7,18,-3.3930415
1979-07-19,1979,7,19,-2.2084085
1979-07-20,1979,7,20,0.62938698
1979-07-21,1979,7,21,-0.5140891
1979-07-22,1979,7,22,-0.96367288
1979-07-23,1979,7,23,0.547568
1979-07-24,1979,7,24,-1.4958969
1979-07-25,1979,7,25,-1.3307103
1979-07-26,1979,7,26,1.2071114
1979-07-27,1979,7,27,2.305914
1979-07-28,1979,7,28,2.9526309
1979-07-29,1979,7,29,2.4854559
1979-07-30,1979,7,30,3.2102394
1979-07-31,1979,7,31,-0.12516894
1979-08-01,1979,8,1,-1.7658481
1979-08-02,1979,8,2,-4.1149132
1979-08-03,1979,8,3,-1.8361
1979-08-04,1979,8,4,0.027012939
1979-08-05,1979,8,5,0.22776498
1979-08-06,1979,8,6,0.39321089
1979-08-07,1979,8,7,1.2004795
1979-08-08,1979,8,8,2.1518948
1979-08-09,1979,8,9,3.0112163
1979-08-10,1979,8,10,2.1860721
1979-08-11,1979,8,11,1.4983679
1979-08-12,1979,8,12,1.70237
1979-08-13,1979,8,13,0.55873573
1979-08-14,1979,8,14,1.0136463
1979-08-15,1979,8,15,1.1020568
1979-08-16,1979,8,16,-1.4916469
1979-08-17,1979,8,17,-1.0756004
1979-08-18,1979,8,18,2.6435869
1979-08-19,1979,8,19,3.5903569
1979-08-20,1979,8,20,2.2807064
1979-08-21,1979,8,21,2.2683814
1979-08-22,1979,8,22,2.7829725
1979-08-23,1979,8,23,3.5883194
1979-08-24,1979,8,24,4.002624
1979-08-25,1979,8,25,0.57648593
1979-08-26,1979,8,26,0.78954071
1979-08-27,1979,8,27,0.30630919
1979-08-28,1979,8,28,-0.88303515
1979-08-29,1979,8,29,2.8065507
1979-08-30,1979,8,30,3.7085713
1979-08-31,1979,8,31,0.677043
1979-09-01,1979,9,1,-2.7864823
1979-09-02,1979,9,2,-3.1787986
1979-09-03,1979,9,3,-1.3216211
1979-09-04,1979,9,4,1.3395347
1979-09-05,1979,9,5,3.2787286
1979-09-06,1979,9,6,3.6651061
1979-09-07,1979,9,7,3.0469715
1979-09-08,1979,9,8,0.44937013
1979-09-09,1979,9,9,0.093018312
1979-09-10,1979,9,10,3.1910262
1979-09-11,1979,9,11,0.54896331
1979-09-12,1979,9,12,-0.67141479
1979-09-13,1979,9,13,-2.6381243
1979-09-14,1979,9,14,-1.1101297
1979-09-15,1979,9,15,-3.2914558
1979-09-16,1979,9,16,-3.0194487
1979-09-17,1979,9,17,-3.1837349
1979-09-18,1979,9,18,-0.936586
1979-09-19,1979,9,19,1.5517396
1979-09-20,1979,9,20,2.6275428
1979-09-21,1979,9,21,2.3080311
1979-09-22,1979,9,22,4.125334
1979-09-23,1979,9,23,4.3894655
1979-09-24,1979,9,24,2.9109121
1979-09-25,1979,9,25,1.7615815
1979-09-26,1979,9,26,2.388548
1979-09-27,1979,9,27,-0.52970502
1979-09-28,1979,9,28,-2.843413
1979-09-29,1979,9,29,-3.5708515
1979-09-30,1979,9,30,-3.6611047
1979-10-01,1979,10,1,-2.8626632
1979-10-02,1979,10,2,-0.88958262
1979-10-03,1979,10,3,-1.0618169
1979-10-04,1979,10,4,-0.7601906
1979-10-05,1979,10,5,-1.1296571
1979-10-06,1979,10,6,0.38528833
1979-10-07,1979,10,7,2.6804239
1979-10-08,1979,10,8,5.4587481
1979-10-09,1979,10,9,5.3714159
1979-10-10,1979,10,10,4.7466969
1979-10-11,1979,10,11,3.8264768
1979-10-12,1979,10,12,4.9590701
1979-10-13,1979,10,13,3.4073644
1979-10-14,1979,10,14,3.9626514
1979-10-15,1979,10,15,5.4876548
1979-10-16,1979,10,16,6.3418902
1979-10-17,1979,10,17,6.2259341
1979-10-18,1979,10,18,6.4085212
1979-10-19,1979,10,19,6.2504067
1979-10-20,1979,10,20,5.3158215
1979-10-21,1979,10,21,3.159964
1979-10-22,1979,10,22,2.7269968
1979-10-23,1979,10,23,3.8245729
1979-10-24,1979,10,24,3.7089279
1979-10-25,1979,10,25,3.9201594
1979-10-26,1979,10,26,4.4677278
1979-10-27,1979,10,27,4.388297
1979-10-28,1979,10,28,4.0007947
1979-10-29,1979,10,29,1.2186277
1979-10-30,1979,10,30,1.6227504
1979-10-31,1979,10,31,3.497388
1979-11-01,1979,11,1,4.2709942
1979-11-02,1979,11,2,5.6844744
1979-11-03,1979,11,3,6.2039226
1979-11-04,1979,11,4,5.9848146
1979-11-05,1979,11,5,6.7194705
1979-11-06,1979,11,6,5.3813798
1979-11-07,1979,11,7,6.5042812
1979-11-08,1979,11,8,4.8972863
1979-11-09,1979,11,9,4.4418526
1979-11-10,1979,11,10,7.9839028
1979-11-11,1979,11,11,7.6432561
1979-11-12,1979,11,12,5.5250078
1979-11-13,1979,11,13,3.5348717
1979-11-14,1979,11,14,5.2853663
1979-11-15,1979,11,15,7.7051905
1979-11-16,1979,11,16,7.8214219
1979-11-17,1979,11,17,4.7462083
1979-11-18,1979,11,18,4.982294
1979-11-19,1979,11,19,6.5853276
1979-11-20,1979,11,20,6.3469186
1979-11-21,1979,11,21,6.2471387
1979-11-22,1979,11,22,4.8286593
1979-11-23,1979,11,23,5.3170684
1979-11-24,1979,11,24,5.7015178
1979-11-25,1979,11,25,7.3287907
1979-11-26,1979,11,26,9.0496738
1979-11-27,1979,11,27,9.5781154
1979-11-28,1979,11,28,8.4167404
1979-11-29,1979,11,29,7.6713556
1979-11-30,1979,11,30,5.8813825
1979-12-01,1979,12,1,7.5342981
1979-12-02,1979,12,2,7.6153555
1979-12-03,1979,12,3,7.3424949
1979-12-04,1979,12,4,7.5185117
1979-12-05,1979,12,5,6.9406254
1979-12-06,1979,12,6,7.2366371
1979-12-07,1979,12,7,8.2639973
1979-12-08,1979,12,8,9.629913
1979-12-09,1979,12,9,10.325015
