"date","year","month","day","5748001"
1979-01-01,1979,1,1,10.2651220548387
1979-02-01,1979,2,1,9.22666491428572
1979-03-01,1979,3,1,8.00761946774194
1979-04-01,1979,4,1,5.03906757766667
1979-05-01,1979,5,1,2.65879426451613
1979-06-01,1979,6,1,-0.531783596434
1979-07-01,1979,7,1,0.265008121064516
1979-08-01,1979,8,1,1.09442363932258
1979-09-01,1979,9,1,0.164433434733333
1979-10-01,1979,10,1,3.24711808096774
1979-11-01,1979,11,1,6.27562281333333
1979-12-01,1979,12,1,8.55639550967742
1980-01-01,1980,1,1,10.3692382129032
1980-02-01,1980,2,1,9.30953455517241
1980-03-01,1980,3,1,9.91639633225807
1980-04-01,1980,4,1,4.88801771266667
1980-05-01,1980,5,1,3.26345216129032
1980-06-01,1980,6,1,0.929101336326667
1980-07-01,1980,7,1,-0.789318484774194
1980-08-01,1980,8,1,-0.423642467451613
1980-09-01,1980,9,1,1.39727670333333
1980-10-01,1980,10,1,3.06337663741935
1980-11-01,1980,11,1,5.53222470466667
1980-12-01,1980,12,1,8.62767827419355
1981-01-01,1981,1,1,8.96080405483871
1981-02-01,1981,2,1,9.94577250714286
1981-03-01,1981,3,1,8.49132948064516
1981-04-01,1981,4,1,5.51982607
1981-05-01,1981,5,1,3.72286299677419
1981-06-01,1981,6,1,0.161009110366667
1981-07-01,1981,7,1,-0.67666935483871
1981-08-01,1981,8,1,0.531315572606452
1981-09-01,1981,9,1,1.16058992533333
1981-10-01,1981,10,1,2.65655400070968
1981-11-01,1981,11,1,5.99698172333333
1981-12-01,1981,12,1,8.42262622903226
1982-01-01,1982,1,1,9.71841678387097
1982-02-01,1982,2,1,9.03363742857143
1982-03-01,1982,3,1,7.78155481967742
1982-04-01,1982,4,1,5.80639224
1982-05-01,1982,5,1,3.02820311451613
1982-06-01,1982,6,1,1.59700075666667
1982-07-01,1982,7,1,1.06910639825806
1982-08-01,1982,8,1,1.52717890777419
1982-09-01,1982,9,1,3.22123654733333
1982-10-01,1982,10,1,3.0462121516129
1982-11-01,1982,11,1,5.25800174
1982-12-01,1982,12,1,9.53498703548387
1983-01-01,1983,1,1,10.2424940612903
1983-02-01,1983,2,1,9.74373878571429
1983-03-01,1983,3,1,8.29630626451613
1983-04-01,1983,4,1,5.01497978166667
1983-05-01,1983,5,1,1.3062505516129
1983-06-01,1983,6,1,-1.18255351933333
1983-07-01,1983,7,1,-1.40596488409677
1983-08-01,1983,8,1,-0.456143995806452
1983-09-01,1983,9,1,-0.336836173
1983-10-01,1983,10,1,4.11724373580645
1983-11-01,1983,11,1,7.25169969
1983-12-01,1983,12,1,9.59589224193548
1984-01-01,1984,1,1,10.254469916129
1984-02-01,1984,2,1,9.25615295862069
1984-03-01,1984,3,1,8.25746696451613
1984-04-01,1984,4,1,4.60474105816667
1984-05-01,1984,5,1,0.92519194516129
1984-06-01,1984,6,1,-0.7919890368
1984-07-01,1984,7,1,0.0632544382258065
1984-08-01,1984,8,1,-1.55657852609677
1984-09-01,1984,9,1,1.541707235
1984-10-01,1984,10,1,3.88838313612903
1984-11-01,1984,11,1,5.59018847666667
1984-12-01,1984,12,1,7.90766355806452
1985-01-01,1985,1,1,9.41688637096774
1985-02-01,1985,2,1,9.56766287142857
1985-03-01,1985,3,1,8.23225359354839
1985-04-01,1985,4,1,4.28002854333333
1985-05-01,1985,5,1,2.54958417148387
1985-06-01,1985,6,1,2.2912109906
1985-07-01,1985,7,1,-0.855740961935484
1985-08-01,1985,8,1,-1.45106962967742
1985-09-01,1985,9,1,1.601812639169
1985-10-01,1985,10,1,3.48855800935484
1985-11-01,1985,11,1,6.64423177333333
1985-12-01,1985,12,1,8.64425372903226
1986-01-01,1986,1,1,9.66865308709678
1986-02-01,1986,2,1,9.64464824642857
1986-03-01,1986,3,1,7.87336251290323
1986-04-01,1986,4,1,4.87879808666667
1986-05-01,1986,5,1,3.09710982054839
1986-06-01,1986,6,1,1.47784847683333
1986-07-01,1986,7,1,1.04275197483871
1986-08-01,1986,8,1,0.848442840967742
1986-09-01,1986,9,1,1.448938633
1986-10-01,1986,10,1,4.59630327096774
1986-11-01,1986,11,1,5.90644962666667
1986-12-01,1986,12,1,9.66750134193548
1987-01-01,1987,1,1,10.2452944774194
1987-02-01,1987,2,1,10.662942075
1987-03-01,1987,3,1,9.17860197741935
1987-04-01,1987,4,1,5.33848438333333
1987-05-01,1987,5,1,1.22545486867742
1987-06-01,1987,6,1,1.73916388866667
1987-07-01,1987,7,1,-0.288144219709677
1987-08-01,1987,8,1,-0.080517716483871
1987-09-01,1987,9,1,1.20059586793333
1987-10-01,1987,10,1,3.76082067935484
1987-11-01,1987,11,1,7.09953602
1987-12-01,1987,12,1,8.47390876129032
1988-01-01,1988,1,1,9.07703564193548
1988-02-01,1988,2,1,9.88389166551724
1988-03-01,1988,3,1,8.7936612
1988-04-01,1988,4,1,5.13843394333333
1988-05-01,1988,5,1,1.36969231064516
1988-06-01,1988,6,1,-0.547372108
1988-07-01,1988,7,1,-1.47793899390323
1988-08-01,1988,8,1,-1.07171643354839
1988-09-01,1988,9,1,-0.242632689933333
1988-10-01,1988,10,1,2.88682435193548
1988-11-01,1988,11,1,6.89857237
