Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
ExpSolar,00000,S1,NA,Chile,-38.6908,-73.3533,-4,69
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,Tdew,RH,Pres,Wspd,Wdir,Snow Depth
2006,1,1,0,0,0.0,0.0,0.0,12.4,12.4,52.2,1006.8,1.7,294.0,0
2006,1,1,1,0,0.0,0.0,0.0,11.9,11.9,53.8,1005.7,1.3,292.5,0
2006,1,1,2,0,0.0,0.0,0.0,11.5,11.5,57.7,1004.9,0.9,288.0,0
2006,1,1,3,0,0.0,0.0,0.0,11.0,11.0,69.1,1003.7,0.9,315.0,0
2006,1,1,4,0,0.0,0.0,0.0,10.7,10.7,73.7,1003.6,1.3,325.5,0
2006,1,1,5,0,0.0,0.0,0.0,10.2,10.2,78.8,1003.0,1.1,348.0,0
2006,1,1,6,0,9.0,3.8,8.8,9.6,9.6,84.6,1001.9,1.3,6.0,0
2006,1,1,7,0,44.1,7.8,42.1,10.6,10.6,88.4,1003.7,1.6,13.5,0
2006,1,1,8,0,147.5,9.2,143.5,12.1,12.1,90.4,1007.1,1.9,10.5,0
2006,1,1,9,0,306.4,9.9,300.3,13.8,13.8,91.8,1008.8,1.8,3.0,0
2006,1,1,10,0,391.1,10.3,383.3,15.9,15.9,91.2,1010.5,2.1,328.5,0
2006,1,1,11,0,722.4,44.8,683.4,17.9,17.9,91.2,1013.8,2.8,304.5,0
2006,1,1,12,0,880.4,83.4,802.0,19.1,19.1,92.9,1016.2,4.3,291.0,0
2006,1,1,13,0,777.4,53.1,726.3,19.8,19.8,92.6,1018.5,5.0,289.5,0
2006,1,1,14,0,676.8,34.5,644.5,20.5,20.5,86.4,1020.9,5.2,286.5,0
2006,1,1,15,0,573.6,22.4,554.3,19.8,19.8,76.5,1019.5,5.1,282.0,0
2006,1,1,16,0,428.0,11.6,419.4,19.1,19.1,81.4,1019.1,5.1,282.0,0
2006,1,1,17,0,326.7,9.8,320.8,18.5,18.5,75.8,1018.1,4.8,280.5,0
2006,1,1,18,0,200.3,9.1,196.5,17.8,17.8,69.2,1017.6,3.9,276.0,0
2006,1,1,19,0,213.1,760.8,34.5,16.7,16.7,72.2,1017.1,3.1,270.0,0
2006,1,1,20,0,28.6,324.8,12.6,15.4,15.4,54.8,1016.3,2.3,268.5,0
2006,1,1,21,0,0.0,0.0,0.0,14.4,14.4,66.0,1016.4,1.6,246.0,0
2006,1,1,22,0,0.0,0.0,0.0,13.7,13.7,64.5,1015.4,1.1,243.0,0
2006,1,1,23,0,0.0,0.0,0.0,13.2,13.2,67.7,1015.2,0.6,225.0,0
2006,1,2,0,0,0.0,0.0,0.0,12.6,12.6,63.9,1014.1,0.3,201.0,0
2006,1,2,1,0,0.0,0.0,0.0,11.8,11.8,68.3,1012.8,0.7,147.0,0
2006,1,2,2,0,0.0,0.0,0.0,11.2,11.2,72.2,1011.6,1.4,67.5,0
