#{"t_start": 1743782437.1795318, "env_id": "None"}
r,l,t
-936.731632,432,10361.323994
-1024.741742,432,10361.613226
-529.013255,432,10361.902491
-941.144321,432,10362.193607
-891.073154,432,10362.546557
-683.376553,432,10362.839635
-935.357273,432,10363.128493
-936.065716,432,10363.417543
-697.530765,432,10363.707492
-359.886076,432,10363.995989
-947.205111,432,10364.285888
-717.07149,432,10364.579052
-613.07297,432,10364.869211
-810.514975,432,10365.159949
-796.887046,432,10365.449005
-1159.401794,432,10365.738187
-831.903504,432,10366.279335
-735.929166,432,10366.564327
-391.812238,432,10366.856169
-614.361801,432,10367.191465
-611.574303,432,10367.496422
-752.747211,432,10367.782128
-657.255763,432,10368.068755
-839.21518,432,10368.355171
-468.106215,432,10368.640723
-790.017966,432,10368.926175
-531.417928,432,10369.211347
-657.221122,432,10369.499144
-740.233142,432,10369.788156
-871.630505,432,10370.075767
-661.810111,432,10370.360901
-789.994107,432,10370.648107
-401.151966,432,10371.175712
-819.775814,432,10371.46673
-768.950759,432,10371.757571
-461.64558,432,10372.083103
-826.104734,432,10372.376548
-512.260865,432,10372.667313
-698.587039,432,10372.966359
-661.415085,432,10373.262177
-843.700953,432,10373.552652
-680.280503,432,10373.842803
-801.795978,432,10374.132799
-603.861269,432,10374.424268
-581.225202,432,10374.712745
-418.855755,432,10375.001274
-412.316776,432,10375.289203
-609.932108,432,10375.576277
-626.834405,432,10376.114263
-227.780717,432,10376.404217
-452.385176,432,10376.724959
-562.966191,432,10377.068142
-318.821925,432,10377.372177
-488.713367,432,10377.67445
-453.621466,432,10377.978435
-428.112964,432,10378.276654
-661.720163,432,10378.566581
-392.448336,432,10378.857308
-525.065476,432,10379.147361
-309.940901,432,10379.436621
-484.564181,432,10379.72602
-686.518688,432,10380.014085
-559.614214,432,10380.301879
-165.796532,432,10380.591579
-4.181827,432,10380.824532
2.348748,432,10381.057577
48.499549,432,10381.290631
-0.6114,432,10381.524151
10.960435,432,10381.757744
-516.388539,432,10382.305394
-697.682309,432,10382.597828
-489.001799,432,10382.891909
-294.946998,432,10383.212706
-438.215602,432,10383.505441
-309.094796,432,10383.79693
-467.65194,432,10384.089429
-538.382228,432,10384.382699
-549.111487,432,10384.689809
-737.258088,432,10384.992435
-481.42374,432,10385.288348
-254.107139,432,10385.580426
-370.319523,432,10385.875211
-175.01807,432,10386.163095
-600.918045,432,10386.454028
-746.276185,432,10386.745518
-250.224917,432,10387.276677
-416.712387,432,10387.576515
-19.462241,432,10387.870692
-834.533212,432,10388.226429
-395.745443,432,10388.515917
-221.107998,432,10388.804365
-602.74337,432,10389.107178
-277.820189,432,10389.411755
-342.10098,432,10389.709794
-221.274405,432,10390.000399
-261.641883,432,10390.293726
-163.040113,432,10390.584069
-78.803015,432,10390.875416
-687.567312,432,10391.167028
-463.004186,432,10391.458869
-340.69839,432,10391.749546
-254.748267,432,10392.296359
-303.201609,432,10392.58956
-121.835745,432,10392.879443
-118.235438,432,10393.247742
-294.486109,432,10393.537886
-383.575595,432,10393.826056
-370.471056,432,10394.115434
-364.092602,432,10394.406318
-48.752524,432,10394.695253
-201.597347,432,10394.981624
-452.373074,432,10395.268749
-380.504142,432,10395.556985
-491.23884,432,10395.844399
-210.639295,432,10396.133254
-422.377992,432,10396.429154
-739.273455,432,10396.718763
-374.1321,432,10397.251815
-396.199716,432,10397.539999
-369.566183,432,10397.828046
-598.443849,432,10398.176423
-748.491237,432,10398.47011
-357.40091,432,10398.762615
-407.643813,432,10399.05448
-589.226656,432,10399.344051
-527.995691,432,10399.634059
-715.088246,432,10399.922386
-302.140638,432,10400.210975
-357.176098,432,10400.50181
-227.488262,432,10400.793589
-439.502862,432,10401.084212
-513.674823,432,10401.3754
-476.927543,432,10401.667628
11.874165,432,10401.902511
-2.285976,432,10402.136808
-14.003126,432,10402.373419
-3.950315,432,10402.605937
5.409364,432,10402.837587
-327.614879,432,10403.36297
-268.756173,432,10403.649032
-254.253047,432,10403.94647
-253.866654,432,10404.318669
-334.566606,432,10404.622474
-375.136497,432,10404.926753
-148.772192,432,10405.218713
-499.881365,432,10405.510458
-666.899848,432,10405.798821
15.697196,432,10406.086345
-191.208777,432,10406.374484
-232.552868,432,10406.666512
-390.639915,432,10406.95736
-104.217414,432,10407.242947
-495.886921,432,10407.528465
-497.492239,432,10407.818887
-133.751482,432,10408.356055
65.370041,432,10408.658913
-256.149464,432,10408.962744
-540.658649,432,10409.293174
-239.872802,432,10409.582545
-497.51432,432,10409.86966
-547.343773,432,10410.154472
-419.03587,432,10410.445894
-371.279536,432,10410.740504
-362.831303,432,10411.03186
-393.713146,432,10411.321123
-252.498444,432,10411.610414
-314.196572,432,10411.897572
-251.926716,432,10412.186045
-422.142407,432,10412.474043
-467.118218,432,10412.762942
-178.151853,432,10413.330181
-354.382737,432,10413.62799
-381.601092,432,10413.933614
-155.623856,432,10414.269121
-70.247829,432,10414.564624
-60.445613,432,10414.853013
-270.676106,432,10415.147726
-259.361133,432,10415.45199
-306.619089,432,10415.756706
-2.708404,432,10416.063467
-10.325655,432,10416.354261
-63.772421,432,10416.646633
-479.401289,432,10416.932637
-400.77154,432,10417.218414
-206.193451,432,10417.504435
-67.674847,432,10417.790598
-249.790311,432,10418.332958
-416.457811,432,10418.619973
-254.893214,432,10418.911826
-358.412423,432,10419.288574
-115.80495,432,10419.578579
-489.793256,432,10419.868166
-311.293483,432,10420.158789
-434.702828,432,10420.449445
-62.533576,432,10420.740836
-139.52758,432,10421.032915
-290.06166,432,10421.324475
-224.449344,432,10421.615885
-36.185739,432,10421.902939
-348.930421,432,10422.202583
-189.656309,432,10422.491888
82.264153,432,10422.777509
-10.728529,432,10423.008534
-7.23356,432,10423.238317
-10.247479,432,10423.467403
-14.734425,432,10423.698535
7.975544,432,10423.933681
-468.323871,432,10424.533286
-122.547792,432,10424.838321
-595.298825,432,10425.138354
-189.804937,432,10425.507473
38.962182,432,10425.799782
-348.459141,432,10426.093299
-240.87636,432,10426.385874
-59.918828,432,10426.678286
