#{"t_start": 1746926846.947745, "env_id": "None"}
r,l,t
-1473.274103,432,3.584712
-589.975962,432,4.320615
-808.506148,432,5.053945
-383.576313,432,5.78846
-399.688545,432,6.535084
-516.543438,432,7.281489
-524.936954,432,8.010645
-474.609993,432,8.74148
-413.163909,432,9.491434
-376.195239,432,10.231259
-778.47042,432,10.971319
-490.530382,432,11.700764
-628.301465,432,12.44592
-1024.6789,432,13.179734
-634.071118,432,13.917895
-805.847718,432,14.659354
-229.203427,432,15.497477
-208.296743,432,16.473801
-533.739708,432,17.432365
-536.069494,432,18.392812
-398.570572,432,19.354796
-625.359136,432,20.107359
-338.996432,432,20.851963
-492.791811,432,21.597841
-462.127033,432,22.345304
-319.037808,432,23.088858
-384.159157,432,23.828293
-501.408109,432,24.605874
-572.53817,432,25.360878
-375.161936,432,26.093959
-194.387766,432,26.84008
-565.074436,432,27.568573
-501.128241,432,28.308351
-654.519855,432,29.042821
-503.576774,432,29.773328
-462.903928,432,30.51814
-416.71916,432,31.260691
-672.706495,432,31.99456
-157.138591,432,32.726604
-145.338954,432,33.460878
-356.300401,432,34.21189
-376.650229,432,34.94744
-303.089925,432,35.685385
-236.596305,432,36.428661
-245.616077,432,37.173271
-347.512319,432,37.911647
-171.704861,432,38.646157
-472.086024,432,39.388495
-345.039998,432,40.134983
-309.755713,432,40.872316
-243.236331,432,41.6164
-148.7131,432,42.359029
-222.752041,432,43.111047
-409.22628,432,43.854699
-381.499913,432,44.587254
-157.991152,432,45.339406
-192.384027,432,46.089456
-124.984557,432,46.826921
-323.211354,432,47.558177
-224.130613,432,48.28962
-481.601391,432,49.043897
-248.501929,432,49.779833
-339.186783,432,50.521586
-231.385382,432,51.260132
-55.240016,432,51.622829
-15.665823,432,51.977725
-39.22113,432,52.341639
-369.82398,432,52.702167
-89.440982,432,53.0606
-435.741586,432,53.914919
-386.458081,432,54.658112
-528.953333,432,55.389333
-198.341685,432,56.116484
-252.571547,432,56.856094
-439.582137,432,57.567096
-487.439229,432,58.289271
-106.358708,432,59.017311
-378.474572,432,59.75216
-167.617323,432,60.478371
-314.117671,432,61.191494
-184.434264,432,61.909897
-220.268991,432,62.631182
-22.707173,432,63.345705
-223.035912,432,64.063542
-37.531928,432,64.784409
-53.968375,432,65.540519
-78.592352,432,66.275008
11.109452,432,67.004347
-86.7769,432,67.735344
-219.574703,432,68.472782
41.619838,432,69.215646
-354.396999,432,69.940248
-225.096498,432,70.674329
-555.089796,432,71.413924
29.559599,432,72.142452
-274.769554,432,72.874645
-9.98379,432,73.603346
-267.555584,432,74.343306
27.079487,432,75.067648
-20.299332,432,75.802858
-105.951047,432,76.544302
-20.259482,432,77.283129
46.399945,432,78.009332
-196.848618,432,78.73419
-75.024511,432,79.460895
54.199011,432,80.217538
146.382311,432,80.946537
74.067245,432,81.67465
-22.415694,432,82.401735
170.374161,432,83.141387
161.160978,432,83.879654
129.355672,432,84.612076
-204.977823,432,85.39574
-174.470706,432,86.135172
78.874436,432,86.86853
233.744822,432,87.603114
-232.118502,432,88.331016
167.622595,432,89.067997
-76.088588,432,89.796404
181.893238,432,90.53318
63.634022,432,91.270205
-85.194425,432,91.999859
67.12309,432,92.727217
10.074803,432,93.457613
148.830514,432,94.190526
23.71671,432,94.937844
250.958729,432,95.666903
-215.797029,432,96.399006
-81.649815,432,97.131188
-2.113841,432,97.86537
156.50982,432,98.601548
-9.251984,432,99.343436
220.499265,432,100.095711
353.296744,432,100.465874
356.193823,432,100.837124
193.453488,432,101.208777
24.850667,432,101.576792
273.387049,432,101.948885
225.742051,432,102.715672
191.690699,432,103.452139
-4.525653,432,104.206736
94.469775,432,104.937322
78.125459,432,105.678312
167.193533,432,106.420038
70.055116,432,107.148109
-4.062848,432,107.886722
195.207456,432,108.620931
305.400107,432,109.349798
84.049559,432,110.124764
241.773069,432,110.852171
239.004614,432,111.598414
261.866118,432,112.327749
160.514602,432,113.056
190.00945,432,113.784816
252.053865,432,114.536901
293.797248,432,115.296045
138.000574,432,116.038178
200.47011,432,116.782458
252.371429,432,117.533621
251.337,432,118.27614
315.937361,432,119.027156
44.227024,432,119.768462
84.808038,432,120.530774
278.912554,432,121.276549
22.295748,432,122.017303
221.102173,432,122.767942
175.638248,432,123.519439
46.289903,432,124.26376
18.808359,432,125.008464
237.112199,432,125.754121
269.267058,432,126.522207
231.087732,432,127.26708
304.859757,432,128.009803
229.414055,432,128.752752
235.67767,432,129.520464
321.230025,432,130.281274
325.453253,432,131.025186
251.399885,432,131.773364
267.610247,432,132.52894
222.386159,432,133.274791
304.102693,432,134.023806
-47.687053,432,134.765268
-0.513354,432,135.523649
321.597042,432,136.272206
53.924781,432,137.014872
328.725438,432,137.76283
256.398383,432,138.518023
380.018808,432,139.26319
270.43601,432,140.008778
75.93882,432,140.752886
203.322627,432,141.521313
-163.343467,432,142.266153
219.977283,432,143.007335
260.359319,432,143.748382
-346.957697,432,144.508933
187.252616,432,145.268354
278.221986,432,146.00885
264.652447,432,146.753504
372.110161,432,147.507337
70.689191,432,148.249031
283.080712,432,148.999634
160.078553,432,149.74161
341.704319,432,150.112931
324.928445,432,150.482346
124.24343,432,150.844247
190.373828,432,151.215993
306.195858,432,151.579151
264.519609,432,152.354376
255.533076,432,153.100437
298.380329,432,153.846651
343.027321,432,154.595597
324.799014,432,155.356646
-30.11524,432,156.097903
327.323932,432,156.840865
217.287968,432,157.581681
226.168343,432,158.344131
294.840818,432,159.092533
364.008267,432,159.839257
193.953101,432,160.587681
349.20271,432,161.361637
314.011411,432,162.18581
261.649646,432,162.920538
34.92344,432,163.657966
43.285457,432,164.402532
237.165081,432,165.142098
200.026155,432,165.886259
359.0679,432,166.627507
312.300288,432,167.371695
321.567125,432,168.108689
339.2993,432,168.844628
271.682424,432,169.590903
193.675646,432,170.345165
317.897111,432,171.085043
357.251011,432,171.82475
240.988224,432,172.559536
328.138726,432,173.315275
400.182009,432,174.062866
231.925001,432,174.799155
282.765001,432,175.543201
320.170817,432,176.297725
343.726936,432,177.046762
31.422294,432,177.787025
385.334821,432,178.525236
274.398983,432,179.275726
256.675439,432,180.013364
29.1824,432,180.762834
156.414809,432,181.497851
266.040031,432,182.252717
187.536402,432,182.999569
394.315102,432,183.743468
178.831528,432,184.496244
204.598642,432,185.257736
370.418643,432,186.002128
408.324698,432,186.745699
97.542442,432,187.487722
365.454642,432,188.246707
264.218738,432,188.986332
227.822369,432,189.736413
163.785809,432,190.485834
378.593815,432,191.298445
347.865354,432,192.041628
353.941811,432,192.784528
308.128079,432,193.525772
268.045974,432,194.288109
208.672141,432,195.041609
322.7739,432,195.805529
317.607414,432,196.559209
299.138525,432,197.319453
104.866863,432,198.066972
247.752219,432,198.872635
305.401238,432,199.761831
400.797,432,200.1395
367.789362,432,200.513303
473.301006,432,200.885072
371.183251,432,201.261242
487.648362,432,201.635859
345.271491,432,202.432979
388.744854,432,203.187912
212.083819,432,203.952179
324.137042,432,204.722487
382.4823,432,205.507697
231.185617,432,206.336212
292.909969,432,207.092048
330.771415,432,207.846706
315.182084,432,208.608635
121.410133,432,209.37052
330.065829,432,210.129278
411.141381,432,210.885238
314.451343,432,211.651163
399.18158,432,212.404547
379.250318,432,213.16548
139.727211,432,213.91888
265.116945,432,214.674489
254.013076,432,215.426532
187.56692,432,216.167436
390.571942,432,216.919199
323.831733,432,217.673217
191.802155,432,218.417367
408.335569,432,219.162154
155.277771,432,219.897335
426.955763,432,220.659269
58.581983,432,221.401299
350.023924,432,222.136381
271.600318,432,222.87858
322.496473,432,223.630863
124.51371,432,224.382411
334.273784,432,225.130439
378.576426,432,225.871349
260.299598,432,226.628189
279.192231,432,227.372176
211.848881,432,228.116225
296.427433,432,228.852414
400.363733,432,229.592403
158.97855,432,230.341312
385.74879,432,231.073936
358.586791,432,231.819569
418.462732,432,232.561205
303.447573,432,233.300932
410.224357,432,234.035981
231.120755,432,234.78259
255.21424,432,235.5403
349.923372,432,236.280041
265.228706,432,237.011524
404.992816,432,237.747398
222.323599,432,238.491717
360.721067,432,239.241589
61.758084,432,239.976891
367.154574,432,240.718512
301.819251,432,241.468028
389.090762,432,242.201425
386.599787,432,242.94788
390.817405,432,243.682708
173.614107,432,244.426076
341.158803,432,245.170042
200.044543,432,245.907352
395.225856,432,246.651641
445.45129,432,247.395812
413.985465,432,248.128849
363.604822,432,248.86538
318.945791,432,249.607124
457.82284,432,249.967855
406.893897,432,250.33651
365.719984,432,250.700314
436.918985,432,251.065161
249.630293,432,251.436438
284.112413,432,252.205414
426.21886,432,252.94595
172.061233,432,253.684636
366.504764,432,254.421482
343.40905,432,255.172693
256.957254,432,255.924173
344.639228,432,256.676518
278.78076,432,257.413184
165.07237,432,258.155469
341.473835,432,258.893739
182.713134,432,259.655853
271.274625,432,260.417624
422.891002,432,261.171257
383.580612,432,261.918381
435.641457,432,262.657435
353.917232,432,263.402436
291.313878,432,264.156212
348.304156,432,264.893957
218.866159,432,265.635984
412.395552,432,266.372715
412.060365,432,267.131099
385.426945,432,267.931025
365.942263,432,268.680151
352.306445,432,269.418853
166.468954,432,270.170583
378.410718,432,270.91625
300.1601,432,271.660807
345.499578,432,272.396248
399.483457,432,273.142198
354.638496,432,273.878021
439.19038,432,274.627714
357.574711,432,275.374403
309.382656,432,276.121272
140.999657,432,276.860082
336.513281,432,277.594684
382.044991,432,278.3424
368.121251,432,279.091262
382.888314,432,279.829956
375.4857,432,280.568876
209.781283,432,281.314485
294.153199,432,282.065628
180.61997,432,282.80292
251.322234,432,283.540918
486.798294,432,284.282075
194.036436,432,285.028239
239.376566,432,285.778044
