#{"t_start": 1743782437.164921, "env_id": "None"}
r,l,t
-1511.112395,432,6513.546291
-430.853089,432,6514.346917
85.190353,432,6515.104588
-6.124267,432,6515.895552
-4.19726,432,6516.661894
30.020825,432,6517.496949
13.328036,432,6518.258138
-79.336818,432,6519.022506
13.530557,432,6519.815951
-5.743547,432,6520.661325
-10.828424,432,6521.459882
50.163562,432,6522.224264
101.031015,432,6522.994739
-14.025292,432,6523.834817
50.450216,432,6524.601457
-51.144938,432,6525.414821
9.120997,432,6526.193614
-15.631733,432,6526.987441
155.420113,432,6527.778111
-72.527959,432,6528.539469
20.736915,432,6529.344615
44.295468,432,6530.194985
52.381815,432,6530.959616
85.469423,432,6531.756437
139.671677,432,6532.521971
149.821829,432,6533.366062
-134.002915,432,6534.161511
44.98647,432,6534.929859
48.42158,432,6535.762287
157.658172,432,6536.577502
79.741248,432,6537.346836
129.461865,432,6538.141541
54.644193,432,6538.904571
13.963477,432,6539.742978
108.845094,432,6540.50594
-90.095036,432,6541.275082
205.640917,432,6542.077949
-20.868428,432,6542.883725
-19.27607,432,6543.671613
40.251371,432,6544.440017
-17.192552,432,6545.218345
177.276419,432,6546.075588
-53.399286,432,6546.839466
144.050729,432,6547.607605
-141.241646,432,6548.400838
35.489678,432,6549.206892
-71.540351,432,6550.003535
-1.218604,432,6550.764546
-56.290781,432,6551.542896
64.729691,432,6552.381445
75.972535,432,6553.161987
84.938994,432,6553.954213
86.767119,432,6554.724109
23.870129,432,6555.55388
185.392102,432,6556.342587
-121.834699,432,6557.117894
131.80563,432,6557.913999
85.119558,432,6558.738778
8.025764,432,6559.499263
129.538546,432,6560.287379
82.451034,432,6561.063403
62.850719,432,6561.925674
144.385127,432,6562.688812
82.619243,432,6563.458645
104.741874,432,6563.866649
131.0337,432,6564.279885
143.317351,432,6564.699992
134.228607,432,6565.136052
37.937601,432,6565.576842
118.18361,432,6566.547033
-97.024988,432,6567.336931
64.540401,432,6568.101422
161.443326,432,6568.914845
74.930876,432,6569.697085
137.656569,432,6570.555108
78.24122,432,6571.325695
127.199807,432,6572.082572
401.093816,432,6572.869258
-271.394459,432,6573.699505
-148.896679,432,6574.456153
80.438293,432,6575.24903
66.727424,432,6576.010855
238.541124,432,6576.836605
98.806429,432,6577.597981
132.663476,432,6578.346451
62.418363,432,6579.149808
62.785952,432,6579.951581
-124.752069,432,6580.737702
148.803846,432,6581.495017
234.613856,432,6582.258781
297.946127,432,6583.084698
293.819631,432,6583.850397
273.940613,432,6584.628621
165.468197,432,6585.411125
142.790988,432,6586.213757
549.70497,432,6587.008892
493.379348,432,6587.773061
449.816033,432,6588.552216
124.019291,432,6589.377315
198.809174,432,6590.134159
198.26921,432,6590.939789
418.472524,432,6591.711169
274.633287,432,6592.522595
444.340233,432,6593.306633
383.277908,432,6594.053366
-78.562293,432,6594.853741
150.640753,432,6595.678211
186.180578,432,6596.436725
558.541236,432,6597.236932
441.292714,432,6597.996972
374.866023,432,6598.829139
101.947343,432,6599.590111
538.085995,432,6600.347927
-268.977714,432,6601.155017
199.957035,432,6601.940114
533.200537,432,6602.735722
631.823261,432,6603.499955
345.59176,432,6604.268617
259.068827,432,6605.117912
466.842227,432,6605.87099
348.57834,432,6606.666227
288.838976,432,6607.433218
-66.481759,432,6608.234035
303.232867,432,6609.030448
423.768647,432,6609.793139
400.064553,432,6610.587676
405.384109,432,6611.408924
165.163333,432,6612.167827
5.502064,432,6612.961294
328.561012,432,6613.716944
78.361428,432,6614.5161
712.049675,432,6615.292772
188.645871,432,6616.044564
480.252736,432,6616.447523
574.193736,432,6616.861388
576.309795,432,6617.288361
629.096977,432,6617.718252
677.956934,432,6618.138871
476.508419,432,6619.119732
-88.183648,432,6619.941158
173.965692,432,6620.704375
394.145721,432,6621.522574
210.362219,432,6622.296055
383.673018,432,6623.148305
480.537514,432,6623.906267
410.048736,432,6624.670227
550.695014,432,6625.480079
303.884595,432,6626.262526
377.620102,432,6627.046616
-19.450945,432,6627.81199
317.316564,432,6628.594577
548.454246,432,6629.443009
507.795503,432,6630.205329
475.49988,432,6630.984738
193.247424,432,6631.781128
210.991086,432,6632.589619
606.495552,432,6633.384762
508.551735,432,6634.141068
354.96928,432,6634.910384
639.015535,432,6635.723705
279.353277,432,6636.494436
521.376236,432,6637.28779
539.442785,432,6638.051973
772.030009,432,6638.85071
522.264001,432,6639.635062
5.230116,432,6640.398431
538.187203,432,6641.181615
210.298509,432,6642.010536
58.75751,432,6642.775766
329.593401,432,6643.583326
325.546274,432,6644.359559
360.978898,432,6645.222179
584.632317,432,6645.990252
498.916524,432,6646.753552
22.068265,432,6647.547385
176.978543,432,6648.350707
440.11388,432,6649.124586
630.871831,432,6649.903692
459.155281,432,6650.669141
530.701028,432,6651.51668
473.110743,432,6652.274875
206.545074,432,6653.029281
361.617136,432,6653.81618
383.070379,432,6654.641373
235.540852,432,6655.413997
466.490346,432,6656.186359
539.836097,432,6656.952729
429.678237,432,6657.798657
667.492296,432,6658.570569
727.862865,432,6659.329683
388.191006,432,6660.133098
393.723389,432,6660.94195
410.289577,432,6661.737029
271.559809,432,6662.50433
389.157494,432,6663.267554
516.295537,432,6664.125514
404.378323,432,6664.888143
608.469537,432,6665.676848
726.293557,432,6666.44239
-50.839261,432,6667.25891
615.217906,432,6668.060251
182.087987,432,6668.820346
702.069679,432,6669.218712
616.315579,432,6669.643295
657.173557,432,6670.07732
593.071326,432,6670.503172
601.348987,432,6670.931555
507.534539,432,6671.907176
427.656605,432,6672.727381
390.184208,432,6673.483325
554.467119,432,6674.316209
562.218789,432,6675.097012
724.835586,432,6675.980926
637.19127,432,6676.746772
558.693582,432,6677.510934
84.746443,432,6678.31117
446.02323,432,6679.102745
604.363043,432,6679.891216
694.268386,432,6680.651323
174.42004,432,6681.411874
-362.031338,432,6682.245783
46.199056,432,6683.010518
490.24958,432,6683.784035
366.59051,432,6684.560207
255.832231,432,6685.341594
331.245249,432,6686.130752
327.231427,432,6686.891217
546.570269,432,6687.649821
671.868588,432,6688.501763
667.339729,432,6689.25694
726.665116,432,6690.051155
623.071242,432,6690.81194
235.778489,432,6691.630193
208.214409,432,6692.42369
566.371547,432,6693.18082
293.725206,432,6693.978723
361.753041,432,6694.763794
689.992093,432,6695.519508
295.026323,432,6696.310222
454.00103,432,6697.076002
137.103572,432,6697.909063
392.998486,432,6698.675746
348.216354,432,6699.439069
755.681914,432,6700.233861
552.099608,432,6701.066966
582.936415,432,6701.866521
660.57506,432,6702.624691
457.133616,432,6703.384875
471.137354,432,6704.313825
248.020303,432,6705.076918
469.100555,432,6705.844987
558.162096,432,6706.647323
587.749417,432,6707.465215
415.763625,432,6708.261267
470.8752,432,6709.020358
253.497839,432,6709.792224
245.172711,432,6710.623462
561.996941,432,6711.377655
364.720122,432,6712.139921
424.463707,432,6712.929713
451.881009,432,6713.790209
485.266469,432,6714.575352
708.514084,432,6715.331086
493.729976,432,6716.095669
277.126315,432,6716.916081
657.781585,432,6717.682088
58.037248,432,6718.469228
456.440827,432,6719.230052
565.113286,432,6720.053046
635.759618,432,6720.840791
540.186854,432,6721.610828
690.47797,432,6722.032603
530.974449,432,6722.442966
695.300896,432,6722.845821
744.790989,432,6723.264264
773.672086,432,6723.690211
-345.673383,432,6724.681676
711.082084,432,6725.47635
530.007306,432,6726.241481
541.51049,432,6727.063427
-198.709281,432,6727.854683
234.02706,432,6728.708784
608.902557,432,6729.469221
710.143594,432,6730.234171
174.655735,432,6731.034611
159.939093,432,6731.842535
211.771143,432,6732.625918
468.437145,432,6733.384979
638.788436,432,6734.145739
247.71174,432,6734.984527
354.307852,432,6735.749697
586.319849,432,6736.5086
155.957959,432,6737.298627
102.413037,432,6738.095083
472.811651,432,6738.879613
499.643101,432,6739.640162
117.715044,432,6740.405091
692.771684,432,6741.226047
43.24316,432,6741.987023
280.413673,432,6742.762294
654.310841,432,6743.556891
614.602257,432,6744.347034
388.267418,432,6745.132118
659.316549,432,6745.89305
696.800056,432,6746.657706
201.102052,432,6747.481132
508.522869,432,6748.242983
203.346706,432,6749.024923
145.469743,432,6749.793678
625.920842,432,6750.581917
479.275457,432,6751.385139
583.613643,432,6752.145589
476.994274,432,6752.939657
483.297893,432,6753.735649
183.195732,432,6754.492302
341.953961,432,6755.287167
537.159944,432,6756.050055
164.97606,432,6756.861909
500.782528,432,6757.631593
667.511981,432,6758.384407
484.979141,432,6759.194001
524.459559,432,6760.029029
246.775993,432,6760.810923
439.297011,432,6761.574798
254.417527,432,6762.335806
382.179638,432,6763.201068
481.472502,432,6763.969561
202.812225,432,6764.768377
-621.185555,432,6765.567996
-141.780627,432,6766.351192
24.149172,432,6767.144274
418.969834,432,6767.895844
177.350324,432,6768.657934
471.619914,432,6769.47682
449.963448,432,6770.233547
384.595543,432,6771.020094
314.846529,432,6771.789834
429.387763,432,6772.627154
296.020953,432,6773.418927
184.784784,432,6774.179076
606.147875,432,6774.583737
464.653301,432,6774.999566
727.885512,432,6775.418043
605.994476,432,6775.836783
626.587967,432,6776.259853
136.466946,432,6777.186193
702.332987,432,6777.994591
234.086979,432,6778.755001
510.57344,432,6779.587919
450.279794,432,6780.373966
