#{"t_start": 1744306976.9230635, "env_id": "None"}
r,l,t
-83.257826,114,315.313317
-81.621206,114,315.428859
-81.592591,114,315.548005
-86.990392,114,315.668252
-83.507999,114,315.788437
-17.286592,114,322.608774
-9.083971,114,322.725066
-17.35417,114,322.84109
-19.92767,114,322.958062
-28.908923,114,323.074981
52.568305,114,329.791377
52.877192,114,329.908749
57.828973,114,330.023829
52.924245,114,330.139425
65.099645,114,330.25588
12.01557,114,336.938003
22.098898,114,337.052566
19.518176,114,337.168295
31.805714,114,337.283144
19.602724,114,337.398006
42.608747,114,344.073589
42.938169,114,344.189306
43.577915,114,344.304672
45.163809,114,344.420589
47.502189,114,344.536369
37.662859,114,351.310384
41.34228,114,351.425759
50.076532,114,351.541385
50.087294,114,351.657831
39.455605,114,351.772244
