#{"t_start": 1744306976.9126568, "env_id": "None"}
r,l,t
104.435389,114,151.721746
104.926394,114,151.959042
105.368069,114,152.203221
105.743117,114,152.443988
106.029186,114,152.679124
106.22706,114,186.556679
106.194048,114,186.806293
106.300949,114,187.058991
106.594784,114,187.33494
106.634079,114,187.577214
106.113782,114,221.778999
106.283933,114,222.011259
106.277827,114,222.245055
106.218961,114,222.475602
106.417452,114,222.70654
106.033002,114,256.776347
106.058893,114,257.00841
105.9257,114,257.250348
105.89844,114,257.495141
105.988524,114,257.736968
102.771319,114,291.849835
102.57603,114,292.089239
102.311837,114,292.322699
102.05805,114,292.553633
101.802868,114,292.77994
