#{"t_start": 1744306976.901676, "env_id": "None"}
r,l,t
99.724694,114,20.885736
102.428672,114,21.049917
103.920151,114,21.222786
105.555372,114,21.390141
106.305615,114,21.555815
104.793507,114,42.305385
105.388391,114,42.476329
106.518629,114,42.63884
106.796714,114,42.808855
107.673079,114,42.975493
93.539342,114,63.726585
93.35134,114,63.895247
93.077398,114,64.059779
93.451794,114,64.22026
92.661056,114,64.382134
113.184272,114,85.305387
113.750279,114,85.47462
113.973154,114,85.723288
113.997789,114,85.953984
113.999782,114,86.190995
113.992395,114,107.630628
113.999245,114,107.793259
113.999986,114,107.964494
113.999999,114,108.13205
114.0,114,108.30681
