#{"t_start": 1743493572.625637, "env_id": "None"}
r,l,t
-824.753899,432,1.055648
-964.918734,432,1.397377
-1147.717401,432,1.728581
-1187.256915,432,2.054728
-696.883058,432,2.383228
-1020.784671,432,2.704071
-952.125852,432,3.032646
-1164.456142,432,3.366538
-1026.430008,432,3.692075
-969.426479,432,4.025571
-910.204933,432,4.349121
-908.668251,432,4.678676
-959.048087,432,5.002481
-918.508988,432,5.324556
-1040.359581,432,5.641962
-1001.137732,432,5.952903
-8.613565,432,6.223548
-8.652355,432,6.482689
14.631674,432,6.743236
-7.840407,432,7.003208
24.207756,432,7.264006
-730.340377,432,8.199879
-907.5156,432,8.497049
-626.314378,432,8.793957
-921.618306,432,9.090623
-1014.190272,432,9.389357
-655.66649,432,9.68875
-972.976722,432,9.986415
-765.424878,432,10.285625
-939.088028,432,10.582258
-908.07529,432,10.879426
-924.62467,432,11.176095
-873.038335,432,11.473399
-727.21234,432,11.770025
-1020.511743,432,12.069091
-754.753445,432,12.365981
-882.193652,432,12.663111
-32.996444,432,12.916652
-23.195261,432,13.168051
-18.504592,432,13.419954
4.041091,432,13.671704
-19.504674,432,13.923357
-674.010797,432,14.650819
-806.293178,432,14.958837
-649.729873,432,15.267898
-824.658522,432,15.57327
-1010.88477,432,15.875031
-568.554789,432,16.175351
-569.174654,432,16.478266
-588.863103,432,16.778733
-674.982295,432,17.077057
-534.564296,432,17.380095
-484.268531,432,17.677147
-466.259797,432,17.984282
-754.392177,432,18.303861
-624.930289,432,18.613728
-940.999886,432,18.990376
-736.907592,432,19.303591
-4.772971,432,19.586751
20.992283,432,19.857226
-11.247435,432,20.135796
-1.060244,432,20.397131
23.888037,432,20.648915
-777.783738,432,21.482266
-367.121586,432,21.782338
-490.722921,432,22.079517
-420.969599,432,22.378316
-225.9697,432,22.67693
-577.900646,432,22.97429
-381.697224,432,23.270175
-420.304112,432,23.570441
-415.142571,432,23.867447
-514.787645,432,24.167405
-563.534524,432,24.465821
-781.106622,432,24.763545
-429.395966,432,25.060513
-496.410945,432,25.361209
-620.640503,432,25.659888
-454.498888,432,25.959769
94.055045,432,26.211366
82.769134,432,26.463634
78.163048,432,26.715387
6.051996,432,26.967971
63.333636,432,27.224078
-648.139239,432,27.971264
-412.018102,432,28.276198
-416.727608,432,28.579992
-591.978737,432,28.879317
-672.720914,432,29.182012
-498.11819,432,29.486502
-455.882603,432,29.787571
-424.675848,432,30.089011
-209.043907,432,30.389772
-636.22407,432,30.689911
-463.182026,432,30.992696
-306.14768,432,31.294187
-222.88092,432,31.597165
-434.876091,432,31.896667
-581.013702,432,32.200155
-497.393077,432,32.501776
-2.049713,432,32.754138
4.197571,432,33.008519
48.41292,432,33.258757
2.657231,432,33.507511
-14.199422,432,33.756502
-376.341171,432,34.463256
-223.870378,432,34.763661
-298.629874,432,35.066628
-97.965414,432,35.366654
-524.939839,432,35.666917
-465.728799,432,35.96618
-513.292616,432,36.268933
-550.679373,432,36.569454
-398.591789,432,36.867715
-221.448555,432,37.166317
-521.639461,432,37.465411
-498.06927,432,37.766316
-226.879165,432,38.068442
-273.535533,432,38.373183
-383.436483,432,38.673177
-482.615672,432,38.974062
-4.550953,432,39.229659
-0.099248,432,39.482758
0.234541,432,39.733362
2.332559,432,39.985329
-3.524136,432,40.240402
-171.078195,432,40.952606
-223.895726,432,41.254888
-301.453335,432,41.559547
-177.371833,432,41.862617
-178.606498,432,42.164278
-182.47335,432,42.466789
-321.941384,432,42.768909
-497.760536,432,43.070826
-344.002964,432,43.372017
-155.163676,432,43.67221
-490.463453,432,43.973258
-410.558689,432,44.274605
-559.107987,432,44.573594
-158.72434,432,44.87605
-580.722441,432,45.177851
-160.927491,432,45.477833
-12.915817,432,45.731495
-21.561066,432,45.982155
-18.26338,432,46.236491
-0.893866,432,46.491316
-12.137892,432,46.742753
-386.68108,432,47.464741
-289.430684,432,47.768995
-63.411706,432,48.074838
