#{"t_start": 1732214335.28838, "env_id": "None"}
r,l,t
-1006.133741,288,13821.392304
-1108.159341,288,13821.666961
-1164.667456,288,13821.944813
-1278.644339,288,13822.218726
-1182.213246,288,13822.493284
-1324.601199,288,13822.766291
-1198.372913,288,13823.03874
-717.365626,288,13823.961227
-1081.427914,288,13824.234221
-937.772791,288,13824.506002
-937.342835,288,13824.777944
-730.431649,288,13825.050748
-898.46934,288,13825.322953
-830.565147,288,13825.594285
-969.799172,288,13826.417471
-702.832917,288,13826.691673
-906.485007,288,13826.963294
43.529803,288,13827.236987
26.67704,288,13827.413759
24.740075,288,13827.589808
48.864508,288,13827.766376
-17.23252,288,13827.942297
-670.445006,288,13828.235744
-756.264585,288,13828.512398
-658.878657,288,13828.783211
-884.817979,288,13829.815098
-466.24688,288,13830.090109
-711.859137,288,13830.35796
-461.811965,288,13830.629942
-722.755133,288,13830.896885
-453.28145,288,13831.165414
-538.791927,288,13831.433019
-656.743118,288,13831.703856
-473.178236,288,13832.523699
-443.292397,288,13832.791354
-332.167097,288,13833.060689
-334.067829,288,13833.327686
-341.836925,288,13833.596204
-721.344653,288,13833.864328
-32.195875,288,13834.132671
38.812813,288,13834.306794
-11.86771,288,13834.481695
30.046212,288,13834.65563
-1.080208,288,13834.830234
-410.412796,288,13835.659424
-381.396034,288,13835.928014
-396.195993,288,13836.196984
-389.248345,288,13836.465555
-265.072198,288,13836.733854
-235.890254,288,13837.000759
-352.554775,288,13837.269825
-473.678411,288,13838.07742
-262.921212,288,13838.348399
-299.291523,288,13838.61536
-360.104427,288,13838.883491
-359.032451,288,13839.153124
-309.903072,288,13839.420037
-276.608585,288,13839.687697
-376.31663,288,13839.955676
-237.992212,288,13840.766461
-285.418436,288,13841.034111
-9.761787,288,13841.306675
-4.487084,288,13841.481687
0.0,288,13841.657142
0.0,288,13841.833986
0.0,288,13842.009209
-75.514672,288,13842.291182
-125.815327,288,13842.5683
-304.662428,288,13842.833982
-144.043162,288,13843.100046
-247.78779,288,13843.912515
-181.844187,288,13844.213456
-98.039435,288,13844.652369
-180.136929,288,13844.930104
-210.95922,288,13845.199108
-151.513999,288,13845.46848
-209.976128,288,13845.739016
-95.213571,288,13846.552979
-137.87205,288,13846.819749
-344.631056,288,13847.089668
-249.500163,288,13847.35858
-320.547981,288,13847.629439
-270.467345,288,13847.896146
-2.162159,288,13848.167239
0.0,288,13848.339672
-2.514276,288,13848.51614
-2.529679,288,13848.689738
-8.601868,288,13848.865074
-101.177392,288,13849.147595
-26.509292,288,13849.970125
-4.01127,288,13850.238934
-15.498945,288,13850.507506
-11.593981,288,13850.775776
-321.295803,288,13851.044112
-240.034534,288,13851.311201
-57.438186,288,13851.580454
-113.695167,288,13852.391478
15.082856,288,13852.661645
-40.286932,288,13852.927429
-182.639853,288,13853.195053
-107.680872,288,13853.462958
16.325303,288,13853.732636
-193.342204,288,13853.998227
-12.235207,288,13854.809366
2.510496,288,13855.079026
-8.860093,288,13855.350842
-4.925042,288,13855.526255
-12.342259,288,13855.701671
-3.727751,288,13855.876474
-1.389439,288,13856.049325
-282.311004,288,13856.333483
-57.38946,288,13856.608321
62.528805,288,13856.875946
-12.012291,288,13857.142479
-29.483958,288,13857.410511
-227.525031,288,13858.220542
93.605797,288,13858.488968
-53.237433,288,13858.75791
46.90887,288,13859.029069
-81.454882,288,13859.41633
-179.435069,288,13859.777714
-21.786298,288,13860.049437
-160.266333,288,13860.863532
-100.952874,288,13861.132071
65.057614,288,13861.402777
-106.830405,288,13861.674514
7.935367,288,13861.94068
-2.151585,288,13862.215296
0.0,288,13862.389749
-6.875258,288,13862.567549
0.0,288,13862.744734
0.0,288,13862.922533
-63.887406,288,13863.218639
-128.620068,288,13863.494241
-43.541605,288,13864.312972
27.026225,288,13864.584636
-216.501276,288,13864.855553
2.472597,288,13865.125865
-316.061441,288,13865.395588
59.060047,288,13865.669257
-15.198769,288,13865.940253
-119.887177,288,13866.746424
-46.724134,288,13867.011165
-99.977633,288,13867.278764
-29.055144,288,13867.543194
-51.027668,288,13867.810009
-12.380237,288,13868.076599
1.124152,288,13868.352112
79.530634,288,13869.155071
-2.715118,288,13869.428181
-5.214637,288,13869.605955
-4.336973,288,13869.782311
0.0,288,13869.958005
0.0,288,13870.134114
-173.479035,288,13870.424888
106.574758,288,13870.697586
74.742275,288,13870.967072
34.833209,288,13871.232771
-22.683636,288,13871.499286
-109.283923,288,13871.767697
-21.393005,288,13872.575649
53.460743,288,13872.845104
-43.525933,288,13873.112913
57.558754,288,13873.378148
-11.58835,288,13873.646395
29.201311,288,13873.917078
-70.485783,288,13874.2118
9.527041,288,13875.21307
-62.276842,288,13875.481885
67.492454,288,13875.751142
52.823225,288,13876.019062
-21.118983,288,13876.292584
-9.055627,288,13876.468814
-1.043082,288,13876.64516
-7.778952,288,13876.820443
-6.79909,288,13876.994748
65.000188,288,13877.276124
46.877072,288,13877.552045
-2.948853,288,13877.820575
17.773983,288,13878.611005
27.415585,288,13878.879115
-11.188568,288,13879.147247
-18.503606,288,13879.417817
-172.731321,288,13879.688076
-15.936831,288,13879.956462
-6.094372,288,13880.225831
75.405224,288,13881.019062
25.42548,288,13881.28595
15.058455,288,13881.553252
5.762142,288,13881.820526
16.283866,288,13882.087268
-26.432134,288,13882.355345
-31.812378,288,13882.624217
-16.331253,288,13882.895905
-6.257981,288,13883.074816
-4.462536,288,13883.251498
-0.15431,288,13883.427935
-5.673807,288,13883.603932
-9.067937,288,13884.415698
21.743521,288,13884.682155
-10.738961,288,13884.951801
41.025959,288,13885.219278
15.913168,288,13885.488964
5.959611,288,13885.760226
-9.813348,288,13886.029369
-63.424712,288,13886.842192
-16.713538,288,13887.110707
-15.350039,288,13887.379593
42.631524,288,13887.648386
25.171439,288,13887.917121
17.276195,288,13888.186098
4.864788,288,13888.455454
12.786898,288,13889.349966
-164.187767,288,13889.743759
77.542721,288,13890.023382
-8.47045,288,13890.298237
-0.844162,288,13890.475732
-11.334948,288,13890.655478
0.0,288,13890.830354
-8.514013,288,13891.004448
-22.445972,288,13891.293756
25.285707,288,13891.56792
-35.732254,288,13891.838532
23.375067,288,13892.107613
75.29837,288,13892.919946
94.372964,288,13893.18664
51.056991,288,13893.454975
50.825924,288,13893.723764
19.664379,288,13893.9916
-14.203204,288,13894.257265
22.744673,288,13894.524964
24.344762,288,13895.333208
-25.038674,288,13895.600603
-13.619002,288,13895.869196
48.410036,288,13896.139211
-10.122348,288,13896.410722
0.989802,288,13896.67873
-17.235009,288,13896.952708
-0.313403,288,13897.129534
-7.071104,288,13897.30635
0.0,288,13897.484183
-13.438019,288,13897.658922
-24.451451,288,13897.947468
-9.908925,288,13898.758456
48.058649,288,13899.025151
-26.806469,288,13899.294258
-7.703839,288,13899.562762
108.423624,288,13899.834103
8.013142,288,13900.102578
35.247306,288,13900.373343
34.090149,288,13901.183645
-0.235246,288,13901.452882
-19.000071,288,13901.720175
6.307594,288,13901.984865
9.99742,288,13902.25329
112.604811,288,13902.518567
81.712716,288,13902.786631
-80.666111,288,13903.603312
44.455157,288,13903.874038
-12.309213,288,13904.145251
-24.587427,288,13904.430376
-10.896412,288,13904.706753
-11.597937,288,13904.910184
-9.958161,288,13905.096186
8.659155,288,13905.386058
50.445659,288,13905.664509
-8.579727,288,13905.938197
8.973052,288,13906.2098
12.658208,288,13906.483985
26.65694,288,13907.305016
20.42776,288,13907.574801
17.338031,288,13907.844951
46.021277,288,13908.11686
0.715916,288,13908.386858
16.554943,288,13908.659727
75.987564,288,13908.935268
-15.859444,288,13909.757291
144.343549,288,13910.031115
28.510892,288,13910.305363
101.060749,288,13910.581069
29.392095,288,13910.855364
-1.483215,288,13911.130746
-3.156681,288,13911.308377
-0.124898,288,13911.486939
-1.231704,288,13911.66427
0.0,288,13911.843053
36.034519,288,13912.135355
74.325486,288,13912.958052
37.253277,288,13913.229607
22.550184,288,13913.500547
21.557021,288,13913.77217
32.641172,288,13914.042536
79.079853,288,13914.314827
15.04112,288,13914.588554
25.804964,288,13915.406864
8.904969,288,13915.680277
68.102103,288,13915.952713
85.516965,288,13916.224037
-30.737658,288,13916.495134
-129.629555,288,13916.768268
42.784734,288,13917.040628
31.407,288,13917.313097
28.101373,288,13918.132518
0.0,288,13918.40724
-4.529166,288,13918.584037
-0.931565,288,13918.760832
-2.480906,288,13918.939467
-5.109117,288,13919.115399
-22.148247,288,13919.585811
27.604734,288,13919.876585
33.330266,288,13920.150548
-3.186598,288,13920.423531
15.960796,288,13920.699081
-1.843101,288,13921.518656
-9.632604,288,13921.792782
111.365485,288,13922.06533
45.50911,288,13922.336375
