#{"t_start": 1743538177.7907507, "env_id": "None"}
r,l,t
-1972.645696,432,1.443736
-1491.804365,432,2.863684
-798.490213,432,4.283956
-506.213661,432,5.704945
-534.091525,432,7.176166
-803.284099,432,8.633369
-477.066255,432,10.07765
-477.432237,432,11.437137
-540.395796,432,12.890187
-444.572109,432,14.239099
-458.65589,432,15.657858
-508.771263,432,17.062539
-646.303158,432,18.5047
-429.134649,432,19.926025
-424.626256,432,21.316776
-528.475015,432,22.723827
-400.917549,432,24.124015
-499.563103,432,25.543392
-499.984676,432,26.920445
-424.079852,432,28.31125
-393.261411,432,29.757871
-532.008227,432,31.140107
-309.778543,432,32.534697
-479.316558,432,33.914482
-482.762687,432,35.324446
-364.143197,432,36.71671
-303.413876,432,38.097156
-377.879113,432,39.491261
-417.249938,432,40.916973
-253.544174,432,42.505505
-399.923139,432,43.901261
-340.626748,432,45.299168
-301.913045,432,46.747913
-557.355775,432,48.139721
-498.727218,432,49.516326
-325.854714,432,50.936731
-433.141554,432,52.382355
-499.732522,432,53.756865
-254.545989,432,55.136636
-295.346592,432,56.570331
-313.857039,432,58.139234
-339.047414,432,59.564818
-436.863302,432,60.982518
-441.921244,432,62.362155
-234.828159,432,63.744697
-272.218882,432,65.183671
-346.710858,432,66.591514
-167.772449,432,67.973655
-415.319068,432,69.388831
-287.862839,432,70.758019
-252.562881,432,72.174314
-431.757483,432,73.566923
-277.949725,432,74.98124
-299.16892,432,76.370939
-288.261309,432,77.755902
-368.552579,432,79.147643
-300.159921,432,80.571083
-247.351534,432,81.987832
-457.618975,432,83.35727
-397.998472,432,84.75639
-201.923656,432,86.184531
-253.931891,432,87.569865
-224.478945,432,88.969528
-219.248648,432,90.406775
-231.506747,432,90.916215
-269.550971,432,91.524188
-270.342027,432,92.084818
-260.810137,432,92.710599
-186.536063,432,93.327491
-180.684928,432,94.646569
-188.549492,432,96.10868
-370.317459,432,97.502183
-281.336844,432,99.032355
-314.150665,432,100.582704
-397.726764,432,101.724129
-193.124652,432,102.999693
-176.193018,432,104.332676
-151.130247,432,105.695006
-115.943243,432,107.092386
-158.702668,432,108.482769
-178.011989,432,109.891395
-394.249715,432,111.31487
-151.957291,432,112.722796
-160.043889,432,114.101355
-247.749739,432,115.484034
-154.848491,432,116.914679
-230.070802,432,118.349196
-327.07101,432,119.706605
-180.443872,432,121.090301
-99.425701,432,122.516727
