#{"t_start": 1732214335.2654042, "env_id": "None"}
r,l,t
-1371.205568,288,2.859964
-457.868105,288,5.439164
-296.108657,288,8.104808
-587.229457,288,10.755214
-399.381548,288,13.424511
-463.998565,288,16.109058
-332.920603,288,18.747422
-296.96457,288,21.420622
-100.595019,288,24.904858
-378.598546,288,27.813482
-228.614685,288,30.577435
-243.177493,288,33.259646
-75.07155,288,35.86035
-104.905123,288,38.510165
-165.77613,288,41.105708
-165.597828,288,43.739154
-30.638054,288,46.394359
-44.122954,288,47.57149
-88.058484,288,47.793221
-105.544105,288,48.0115
-59.424129,288,48.23457
-95.169668,288,48.452121
-22.270922,288,51.183976
-38.844469,288,53.824926
-88.472431,288,56.452943
-6.532233,288,59.121397
-75.629202,288,61.812566
-155.671453,288,64.473705
-84.756175,288,67.149875
14.378283,288,69.861099
-294.201498,288,72.530168
28.829403,288,75.244987
-246.198164,288,78.030513
19.312113,288,80.761102
-596.22733,288,83.386672
-39.716426,288,86.053595
-58.62474,288,88.695225
-12.489181,288,91.347825
-5.500379,288,93.988359
-26.71161,288,95.158179
-27.647515,288,95.377693
96.527279,288,95.599821
98.923063,288,95.820009
-53.011547,288,96.041047
-150.359166,288,98.785653
45.286398,288,101.447707
24.623805,288,104.106047
54.973582,288,106.76892
-10.860838,288,109.419203
-186.452732,288,112.153182
-195.624094,288,114.853837
-73.659401,288,117.559574
-2.046174,288,120.265995
-94.698288,288,122.918599
-2.411739,288,125.542602
13.276663,288,128.314574
45.003135,288,131.009503
3.750999,288,133.684422
-123.685254,288,136.357172
55.281449,288,139.028934
-279.721454,288,141.625874
-2.91973,288,142.79954
108.607529,288,143.025487
50.837361,288,143.244226
14.057695,288,143.470237
15.774396,288,143.692656
4.979772,288,146.372934
83.577381,288,149.069745
55.227628,288,151.790742
11.825302,288,154.443336
41.764987,288,157.082216
-118.654723,288,159.764044
36.943844,288,162.430875
68.429574,288,165.145038
2.60723,288,167.8138
5.587602,288,170.482058
34.431938,288,173.138128
11.740713,288,175.838132
57.691232,288,178.535463
53.069415,288,181.317869
