#{"t_start": 1743538177.804942, "env_id": "None"}
r,l,t
-1197.483652,432,3437.227122
-358.442679,432,3438.035678
-157.972786,432,3438.815231
-123.018702,432,3439.618864
-39.157495,432,3440.41117
68.309888,432,3441.242539
-78.331742,432,3442.025273
-33.521288,432,3442.812247
-214.202258,432,3443.638326
-34.919548,432,3444.444987
-48.850498,432,3445.253522
-9.940972,432,3446.039285
-11.411195,432,3446.827484
-128.237609,432,3447.658109
-37.968285,432,3448.429531
-516.625229,432,3449.210939
-60.963008,432,3450.01904
-194.228069,432,3450.854911
-100.487074,432,3451.639518
-75.891199,432,3452.426136
-20.979148,432,3453.263527
-16.653587,432,3454.074866
-231.54308,432,3454.847305
-23.578489,432,3455.623763
-69.972364,432,3456.441412
-22.686643,432,3457.263428
-27.843278,432,3458.040727
25.158266,432,3458.827466
-27.004587,432,3459.660287
3.239945,432,3460.482255
-136.437311,432,3461.265503
-296.197307,432,3462.057716
-81.397419,432,3462.875448
-61.947438,432,3463.675401
47.508406,432,3464.447674
-77.170343,432,3465.285194
81.948515,432,3466.098119
61.529173,432,3466.9161
53.154242,432,3467.727846
44.843182,432,3468.49859
-254.954479,432,3469.293162
-22.350826,432,3470.146006
79.5464,432,3470.947459
51.414937,432,3471.728237
-112.956941,432,3472.499522
-160.892649,432,3473.320004
-44.618138,432,3474.144886
-63.273498,432,3474.919186
0.033249,432,3475.69298
88.94522,432,3476.51825
-47.277526,432,3477.345443
-37.566209,432,3478.1253
27.593656,432,3478.900558
-280.086484,432,3479.713284
-41.666024,432,3480.485495
93.773061,432,3481.302002
-26.217817,432,3482.077969
-11.588855,432,3482.885233
-256.1442,432,3483.66309
-338.096067,432,3484.499776
-32.523747,432,3485.305963
41.775713,432,3486.126908
-71.583298,432,3486.912135
57.079445,432,3487.732728
81.718903,432,3488.136286
-29.659533,432,3488.540557
-171.097417,432,3488.953847
38.286396,432,3489.376912
-39.193512,432,3489.807437
-174.28442,432,3490.767807
82.460468,432,3491.586376
-4.572193,432,3492.363248
-367.913194,432,3493.158179
-171.126633,432,3493.946125
-5.602251,432,3494.786614
-172.618122,432,3495.569404
-193.140895,432,3496.345572
-401.809335,432,3497.139199
-10.677741,432,3497.97805
-31.93788,432,3498.751271
-78.10687,432,3499.533736
7.700061,432,3500.369278
-37.279566,432,3501.213246
8.488108,432,3501.996623
9.00003,432,3502.774005
50.715417,432,3503.58428
74.974033,432,3504.410174
49.978512,432,3505.187359
81.671347,432,3505.967052
165.086962,432,3506.754839
-137.617665,432,3507.601007
43.811714,432,3508.381562
6.467847,432,3509.158551
37.332873,432,3509.952857
33.956957,432,3510.795578
-236.297821,432,3511.611361
-184.575383,432,3512.435934
32.039799,432,3513.221929
-43.516003,432,3514.032092
107.435617,432,3514.842021
-18.397191,432,3515.641975
45.58776,432,3516.435409
-134.575259,432,3517.240267
12.421496,432,3518.026954
85.377108,432,3518.842899
-106.761534,432,3519.622993
106.835578,432,3520.436686
-140.557151,432,3521.221517
-63.782003,432,3522.042976
-37.985443,432,3522.826277
-659.851474,432,3523.644153
-44.574699,432,3524.455026
102.567444,432,3525.226583
89.814452,432,3526.00064
-56.044732,432,3526.806568
-35.437509,432,3527.634153
-245.630284,432,3528.41725
-154.76449,432,3529.192234
47.729475,432,3530.00568
61.143435,432,3530.7946
-133.017607,432,3531.610524
-45.3273,432,3532.420109
114.979494,432,3533.228969
21.216702,432,3534.029076
-10.221806,432,3534.810363
17.14329,432,3535.60348
53.849938,432,3536.435549
54.066034,432,3537.246585
51.966789,432,3538.022969
66.74806,432,3538.794248
-200.533447,432,3539.612399
-103.987106,432,3540.423501
65.945982,432,3541.193845
