#{"t_start": 1732214335.278792, "env_id": "None"}
r,l,t
-873.857186,288,8997.873572
17.248472,288,8999.143138
-133.53677,288,9000.423054
82.579537,288,9001.707118
110.295095,288,9003.010589
43.500745,288,9004.286778
55.481302,288,9005.567415
-183.863402,288,9006.905004
92.508394,288,9008.24051
-40.599342,288,9009.565787
91.10186,288,9010.889653
-37.814072,288,9012.465115
-10.838451,288,9013.888907
-55.379744,288,9015.187742
-105.844762,288,9016.463273
-5.447509,288,9017.73671
75.393659,288,9019.026774
40.942803,288,9019.640949
39.192131,288,9019.797163
8.662326,288,9019.953247
2.068338,288,9020.108658
35.443221,288,9020.263486
14.711493,288,9021.582991
-230.639035,288,9022.857445
-62.074107,288,9024.130838
46.40158,288,9025.436127
71.486137,288,9026.736998
12.884796,288,9028.268402
-53.962443,288,9029.584889
-19.796862,288,9030.922341
-51.020798,288,9032.234899
-30.595955,288,9033.544935
29.325729,288,9034.859608
-78.106699,288,9036.188336
-391.100636,288,9037.500168
-95.116655,288,9038.819225
39.790163,288,9040.133081
120.76823,288,9041.47272
-42.839471,288,9042.982553
128.788715,288,9043.592827
58.224501,288,9043.744867
126.858247,288,9043.898137
-98.864296,288,9044.051683
29.10785,288,9044.205984
13.895191,288,9045.531627
55.432808,288,9046.799685
82.39904,288,9048.092304
-1.482152,288,9049.366955
-62.607345,288,9050.650051
-77.522794,288,9051.925501
62.171093,288,9053.237209
-7.116517,288,9054.543097
108.170365,288,9055.841273
47.428682,288,9057.306741
-57.994556,288,9058.620891
-15.216481,288,9059.883006
-82.285019,288,9061.212847
98.144882,288,9062.537111
-24.931042,288,9063.873031
89.513479,288,9065.191114
75.576082,288,9066.496792
104.340383,288,9067.124959
101.402229,288,9067.278415
135.999487,288,9067.432534
103.49225,288,9067.587676
-153.251759,288,9067.747071
-407.665971,288,9069.119951
103.690436,288,9070.47668
-60.968548,288,9071.819798
-46.132549,288,9073.366667
-132.318387,288,9074.703286
91.742525,288,9076.033888
-19.145599,288,9077.361284
17.039329,288,9078.681927
87.964781,288,9080.016316
107.902893,288,9081.373549
64.109372,288,9082.706135
-114.540816,288,9084.049165
-4.258585,288,9085.39386
-266.409431,288,9086.746152
