#{"t_start": 1749469896.5764487, "env_id": "None"}
r,l,t
-291.607331,432,8383.24429
-174.477427,432,8383.554733
-234.826867,432,8383.863363
-155.407427,432,8384.164901
-218.717208,432,8384.478128
-93.19476,432,8384.801104
19.81002,432,8385.107781
-67.930808,432,8385.409141
-53.336257,432,8385.711357
-127.501648,432,8386.020329
-98.761421,432,8386.325613
-332.734892,432,8386.626742
10.035448,432,8386.938805
-401.330147,432,8387.240845
-114.833307,432,8387.5423
-246.373238,432,8387.842912
-328.247375,432,8388.138245
-202.457268,432,8388.436514
-204.542126,432,8388.735112
-9.163948,432,8389.035774
-87.564886,432,8389.339511
-265.40222,432,8389.957874
-126.869517,432,8390.256931
-368.565241,432,8390.565674
-203.819188,432,8390.864846
-54.495533,432,8391.163785
-143.115185,432,8391.478067
-171.126497,432,8391.807982
-149.331253,432,8392.114248
-252.111073,432,8392.424785
-280.859787,432,8392.743438
-158.665265,432,8393.052335
-85.113828,432,8393.361561
-156.165627,432,8393.679105
-219.154984,432,8394.054578
28.661598,432,8394.358467
61.653757,432,8394.655554
-145.577296,432,8394.99802
-177.35171,432,8395.303138
-62.982821,432,8395.598697
-228.066266,432,8395.897298
-164.913086,432,8396.19772
-199.026795,432,8396.796574
-211.38518,432,8397.115813
-277.456222,432,8397.432373
-141.389065,432,8397.735063
-71.318557,432,8398.051505
-269.233382,432,8398.358879
-301.235367,432,8398.673952
-166.513707,432,8398.971816
-262.84661,432,8399.268171
-190.222689,432,8399.564326
26.48617,432,8399.862545
-239.788412,432,8400.164714
-220.721746,432,8400.475282
-44.245715,432,8400.771239
-90.671685,432,8401.071495
-197.3755,432,8401.37059
-313.289135,432,8401.669705
-60.756567,432,8401.969759
-328.702762,432,8402.26745
-188.5842,432,8402.570701
-91.344354,432,8402.875457
-401.322501,432,8403.175281
60.931072,432,8403.818219
-229.994181,432,8404.12477
-213.638519,432,8404.429369
-447.408159,432,8404.746176
-225.069803,432,8405.07912
-56.73361,432,8405.405328
-39.053328,432,8405.733746
-511.929183,432,8406.049685
-96.515867,432,8406.362723
83.346823,432,8406.674704
-193.583957,432,8407.045581
-119.317183,432,8407.343692
-174.576118,432,8407.662426
-380.398779,432,8407.985836
15.004257,432,8408.286628
86.007651,432,8408.593595
-57.871133,432,8408.896633
-354.109226,432,8409.193915
-150.426748,432,8409.492149
-27.574066,432,8409.804109
29.796991,432,8410.104421
10.196873,432,8410.445162
288.137817,432,8410.697611
8.38698,432,8410.938202
14.661842,432,8411.185884
18.909261,432,8411.425966
-133.014423,432,8412.062394
-172.174159,432,8412.365426
