#{"t_start": 1749499418.4443116, "env_id": "None"}
r,l,t
-934.466617,432,1.541534
-944.792609,432,3.343271
-341.601772,432,4.706668
-231.726978,432,5.994792
-223.232328,432,7.42081
-330.247497,432,9.142318
-327.927948,432,10.353822
-656.214049,432,11.681829
-242.414595,432,13.255061
-290.140518,432,14.862676
-601.840566,432,16.167996
-1215.957422,432,17.503229
-121.461677,432,19.019397
-299.320742,432,20.656699
-167.740788,432,21.961513
-350.39521,432,23.428191
-472.329281,432,24.834721
-254.962353,432,26.590986
-321.502223,432,27.852636
-220.934234,432,29.288306
-585.611526,432,30.737519
-111.358823,432,32.401174
-438.076114,432,33.677849
-89.950058,432,34.975583
-111.353504,432,36.333064
-308.97429,432,38.05283
-224.04717,432,39.518567
-119.435782,432,40.830842
-401.160114,432,42.378757
-169.110375,432,44.083805
-218.193498,432,45.382046
-234.62287,432,46.777984
-541.735228,432,48.101631
-263.206435,432,49.944237
-155.189266,432,51.248106
-306.043022,432,52.507515
-27.000228,432,53.861339
-56.821776,432,55.520291
-159.287764,432,56.918184
-252.77096,432,58.203792
-329.07796,432,59.557598
-209.297246,432,61.278166
-61.210167,432,62.569852
67.261697,432,63.875721
21.350019,432,65.316344
100.824609,432,66.931462
19.640795,432,68.319511
-27.528009,432,69.622692
-369.951707,432,70.912721
-24.94621,432,72.63256
-145.728764,432,73.994335
-78.613327,432,75.301819
-346.209944,432,76.84943
-14.491645,432,78.422397
2.382482,432,79.819572
-97.139744,432,81.185543
129.888922,432,82.696854
-399.939517,432,84.306186
-61.360175,432,85.626515
-278.677656,432,86.935805
81.845122,432,88.319927
110.589052,432,89.978221
141.328735,432,91.316983
14.149414,432,92.669461
161.30082,432,94.080293
1.170038,432,95.7463
-67.450093,432,97.095592
-49.801677,432,98.421499
-91.814551,432,99.842369
130.573115,432,101.161881
26.969153,432,102.486636
63.87404,432,103.883379
-52.767334,432,105.228523
107.971741,432,106.825812
-203.790331,432,108.143776
173.969521,432,109.475323
91.54986,432,110.828226
-29.977316,432,112.493131
192.655766,432,113.82665
256.707378,432,115.241814
20.049739,432,116.690068
77.175862,432,118.286351
270.635956,432,119.618582
-0.633458,432,120.937728
148.05111,432,122.353542
348.089441,432,123.698215
305.798997,432,124.301658
394.774046,432,124.906149
281.022682,432,125.514433
165.050343,432,126.111215
284.495352,432,127.556084
205.927532,432,129.238496
207.684529,432,130.574653
-5.084298,432,132.005382
256.522578,432,133.603531
5.991134,432,134.920786
93.758629,432,136.238362
-26.547736,432,137.585984
-53.987944,432,139.236599
167.437856,432,140.561653
263.330341,432,141.881272
-187.094309,432,143.253209
216.194447,432,144.872727
310.699012,432,146.21413
222.582682,432,147.527429
293.887053,432,148.921326
323.700532,432,150.586483
324.674273,432,151.929997
275.204767,432,153.276664
316.759012,432,154.637999
351.586366,432,156.225333
279.501601,432,157.549218
-152.741391,432,158.91506
302.044868,432,160.390146
210.901023,432,161.992793
321.952084,432,163.390699
276.041809,432,164.682084
97.683227,432,166.017799
260.126231,432,167.709283
248.88779,432,169.028882
319.094072,432,170.345273
317.501523,432,171.935962
108.05142,432,173.458953
251.915859,432,174.797587
350.950876,432,176.18626
368.635391,432,177.542817
361.040493,432,179.181668
384.444465,432,180.468458
181.887819,432,181.773761
206.372021,432,183.131752
223.084182,432,184.855219
312.186217,432,186.196147
106.836234,432,187.532571
229.576064,432,188.955041
336.904998,432,190.578073
415.05628,432,192.312903
390.408818,432,193.728586
380.370258,432,195.226814
410.70629,432,197.005612
408.009196,432,198.369312
315.25006,432,199.826037
412.296855,432,201.164692
43.821317,432,202.842706
327.775421,432,204.259902
387.681709,432,205.592935
429.888762,432,207.00929
245.541582,432,208.677073
303.424289,432,210.001311
362.184619,432,211.328433
311.212163,432,212.743029
342.082154,432,214.363977
361.929739,432,215.703209
320.917469,432,217.048766
415.366067,432,218.526655
167.997523,432,220.138086
454.864648,432,221.521768
342.215941,432,222.856948
438.777046,432,224.273946
80.921549,432,225.999106
360.821857,432,227.348718
155.941781,432,228.715283
53.33488,432,230.134539
432.916239,432,231.770185
392.109586,432,233.112571
483.94739,432,234.445354
222.505095,432,235.90223
266.630963,432,237.549529
437.518987,432,238.888379
332.948676,432,240.265831
476.766014,432,241.72328
216.679598,432,243.2858
445.493304,432,244.594796
446.181587,432,245.893882
334.89388,432,247.290998
341.018973,432,248.963856
383.043505,432,249.987254
347.299633,432,250.571071
369.894481,432,251.179551
414.566602,432,251.795876
558.176867,432,252.402793
138.188229,432,253.853914
433.798361,432,255.573898
406.558677,432,256.994898
388.587534,432,258.654869
438.352044,432,260.007449
494.382482,432,261.367212
415.287798,432,262.815285
444.972873,432,264.504974
446.352223,432,265.932262
356.251644,432,267.191561
494.656237,432,268.702174
477.573268,432,270.246241
520.546015,432,271.544702
461.546325,432,272.845431
242.199928,432,274.202962
422.456813,432,275.515944
474.943226,432,276.842474
565.834772,432,278.180423
484.595898,432,279.71839
552.2196,432,281.185075
471.359096,432,282.516573
463.707645,432,283.838633
484.475403,432,285.225122
509.415541,432,286.863225
492.427001,432,288.26644
524.648012,432,289.606649
598.196983,432,291.065675
489.108852,432,292.612951
399.501565,432,294.043721
393.740275,432,295.372023
447.886042,432,296.906446
584.242043,432,298.506423
491.723317,432,299.88005
270.480071,432,301.197565
470.875199,432,302.561482
601.487009,432,304.326561
428.494814,432,305.684747
96.084747,432,307.074929
497.020183,432,308.452957
582.56116,432,310.120954
529.484703,432,311.424712
562.331426,432,312.802001
598.078849,432,314.179474
531.695481,432,315.925291
578.852309,432,317.056362
480.858478,432,318.262381
519.314005,432,319.461953
574.240973,432,321.047542
573.21957,432,322.145995
543.885952,432,323.179846
525.13046,432,324.217157
613.610829,432,325.865483
502.482279,432,327.071919
409.964134,432,328.344054
358.892013,432,329.679925
552.826826,432,331.289916
562.013636,432,332.633383
599.431323,432,333.945489
617.737672,432,335.360351
522.769009,432,336.979266
497.71453,432,338.295698
545.784057,432,339.63196
554.055184,432,341.009822
491.672893,432,342.67854
447.797251,432,344.022228
520.810611,432,345.342528
594.789099,432,346.697929
626.608123,432,348.072442
441.923757,432,349.375998
507.704576,432,350.7408
614.676688,432,352.145612
576.346935,432,353.929102
538.907757,432,355.310609
603.454697,432,356.59965
564.264299,432,357.891501
558.518135,432,359.558041
587.307651,432,360.90666
542.204447,432,362.20768
412.420798,432,363.662419
410.337821,432,365.392528
478.804932,432,366.749615
532.819476,432,368.057604
622.281961,432,369.513177
643.621697,432,371.153485
267.692103,432,372.507231
704.049322,432,373.506966
519.436207,432,374.088598
619.947338,432,374.682669
496.320259,432,375.2771
729.624392,432,375.877854
529.6934,432,377.316586
498.818898,432,379.347103
594.850356,432,380.803122
501.86373,432,382.228947
514.784599,432,383.578626
613.107499,432,385.075246
614.99934,432,386.71998
481.510937,432,388.032604
589.832827,432,389.277428
569.238991,432,390.637342
443.086496,432,392.256781
536.065047,432,393.657248
448.503943,432,394.977631
451.081108,432,396.272916
551.379724,432,397.699226
535.455703,432,399.012845
472.628274,432,400.33011
505.807488,432,401.748169
