#{"t_start": 1749499418.4593623, "env_id": "None"}
r,l,t
-1167.226735,432,5336.704454
-362.967469,432,5337.449335
-1340.060111,432,5338.180085
13.701218,432,5338.951465
8.09869,432,5339.741969
21.123973,432,5340.540086
196.884128,432,5341.327148
-11.853575,432,5342.081207
123.65658,432,5342.898447
34.792388,432,5343.653303
197.693928,432,5344.400288
-29.64285,432,5345.215874
-80.36346,432,5345.971482
103.19568,432,5346.700912
133.311972,432,5347.460946
67.568694,432,5348.207198
-68.451494,432,5348.968727
75.41527,432,5349.781936
5.311424,432,5350.541939
-27.272282,432,5351.32172
-35.452867,432,5352.241415
79.88082,432,5353.023658
-138.735277,432,5353.801703
10.319208,432,5354.593147
73.570541,432,5355.380224
-4.949557,432,5356.129924
42.540663,432,5356.883775
107.179601,432,5357.662712
14.672249,432,5358.439555
127.058669,432,5359.233932
109.234817,432,5360.026353
-63.638018,432,5360.791527
25.244842,432,5361.577886
-52.987576,432,5362.384619
15.424707,432,5363.148073
95.831142,432,5363.940918
-3.735722,432,5364.763132
59.312029,432,5365.547751
-11.382965,432,5366.389664
44.724196,432,5367.158389
17.535378,432,5367.941764
45.683293,432,5368.753242
-16.459911,432,5369.541397
24.499115,432,5370.335001
31.863193,432,5371.120306
143.410748,432,5371.882166
51.373862,432,5372.656236
13.971991,432,5373.439232
2.444308,432,5374.214532
203.255259,432,5374.981254
-170.095077,432,5375.772213
230.635744,432,5376.516702
39.516354,432,5377.312098
3.892207,432,5378.061561
87.063898,432,5378.801643
85.958548,432,5379.579098
161.161078,432,5380.340103
29.907789,432,5381.106394
-123.730009,432,5381.921086
-63.396076,432,5382.616147
170.689628,432,5383.373417
169.48542,432,5384.237594
157.328197,432,5385.168537
5.773762,432,5385.954908
229.92352,432,5386.773989
108.23212,432,5387.646326
-85.858097,432,5388.404591
208.469171,432,5389.160781
-18.164993,432,5390.000507
163.61371,432,5391.02096
-99.44955,432,5392.591389
70.451517,432,5394.000513
-133.711674,432,5395.389563
13.140282,432,5396.693838
15.069694,432,5397.572731
-93.39791,432,5398.459121
127.247817,432,5399.355168
-48.529612,432,5400.176796
37.921172,432,5401.00738
115.90261,432,5401.808516
80.782801,432,5402.671986
-227.110722,432,5403.486281
-136.152994,432,5404.275023
17.750549,432,5405.054394
278.163479,432,5405.835108
3.563954,432,5406.506365
111.276701,432,5406.968531
2.648654,432,5407.416678
53.725301,432,5407.865324
24.700102,432,5408.349243
107.807473,432,5409.442683
77.805774,432,5410.21139
-143.05127,432,5410.976759
53.787618,432,5411.915539
-22.09256,432,5412.747942
16.476028,432,5413.551232
157.554003,432,5414.40761
-21.503049,432,5415.2513
99.184179,432,5416.209618
-58.462891,432,5417.033657
186.599397,432,5417.761137
106.199333,432,5418.552724
26.717622,432,5419.283237
-34.034606,432,5420.083122
12.730847,432,5420.912234
235.303132,432,5421.722686
93.645332,432,5422.500039
-12.915792,432,5423.283745
-18.514932,432,5424.051026
-83.114552,432,5424.821317
11.707437,432,5425.578068
61.915737,432,5426.392444
277.520373,432,5427.187953
14.855954,432,5428.052157
46.630419,432,5428.87485
172.8503,432,5429.637759
63.624313,432,5430.416106
122.543485,432,5431.212678
28.081527,432,5432.033335
80.915164,432,5432.864077
34.440145,432,5433.665279
-165.736396,432,5434.440118
-124.429914,432,5435.25197
169.091376,432,5436.02841
29.956108,432,5436.838519
29.384729,432,5437.651165
319.336083,432,5438.45976
88.104526,432,5439.272471
79.157964,432,5440.091916
13.992814,432,5440.931482
44.681051,432,5441.795196
102.125751,432,5442.604458
222.619471,432,5443.396822
227.228913,432,5444.154673
6.971072,432,5444.943372
140.938607,432,5445.72303
65.120617,432,5446.480591
-184.633285,432,5447.277309
96.378238,432,5448.045461
151.705927,432,5448.807201
159.279867,432,5449.614209
178.548198,432,5450.36799
28.536379,432,5451.109418
-214.694496,432,5451.893226
230.626583,432,5452.659391
-15.410501,432,5453.579095
297.670754,432,5454.388925
138.940275,432,5455.150662
475.361393,432,5455.938563
170.678724,432,5456.729195
325.827031,432,5457.585613
-20.455015,432,5458.35965
11.773071,432,5459.15552
310.955511,432,5460.005086
284.284233,432,5460.835753
-46.807548,432,5461.664059
246.423323,432,5462.554092
506.564878,432,5463.382632
506.689303,432,5464.164422
275.631654,432,5465.000048
347.070798,432,5465.823528
501.126722,432,5466.67328
110.812499,432,5467.488703
44.371239,432,5468.387551
251.952795,432,5469.14078
437.150483,432,5469.897713
227.412358,432,5470.67925
369.904278,432,5471.475722
349.298958,432,5472.263308
408.543069,432,5473.107626
253.735015,432,5473.930444
307.643278,432,5474.721819
233.480617,432,5475.537526
332.968826,432,5476.330741
386.289339,432,5477.134977
407.040462,432,5477.903087
476.324295,432,5478.342325
594.027241,432,5478.780561
447.29125,432,5479.203672
611.753496,432,5479.685384
303.013829,432,5480.693531
450.119282,432,5481.510706
308.870758,432,5482.358819
299.230077,432,5483.198233
356.62668,432,5484.037015
271.392837,432,5484.866692
366.789919,432,5485.760786
420.762245,432,5486.589331
404.095992,432,5487.404091
424.363485,432,5488.183846
156.177103,432,5488.943419
631.385067,432,5489.761192
-159.585029,432,5490.562443
-208.464661,432,5491.37476
152.852911,432,5492.146142
-34.502641,432,5492.95507
546.57087,432,5493.776516
387.238915,432,5494.534018
370.426406,432,5495.410046
390.038548,432,5496.201432
275.015586,432,5496.993263
66.424651,432,5497.826373
389.71286,432,5498.595352
424.433322,432,5499.431297
491.556695,432,5500.340131
320.761755,432,5501.161218
255.261766,432,5502.006768
479.982182,432,5502.854823
24.3862,432,5503.685113
-152.734273,432,5504.513483
139.551476,432,5505.301222
100.511127,432,5506.09696
358.185138,432,5506.849928
650.615263,432,5507.706144
408.371524,432,5508.555985
-200.820353,432,5509.321777
-28.40424,432,5510.124883
345.208845,432,5510.938084
97.884654,432,5511.757943
454.469736,432,5512.577232
508.837131,432,5513.379117
384.286597,432,5514.181124
396.703121,432,5515.02796
418.332734,432,5515.927603
605.151779,432,5516.790158
258.110359,432,5517.675227
480.212138,432,5518.520948
480.448199,432,5519.360443
357.310724,432,5520.169419
276.510203,432,5520.949817
680.761144,432,5521.795882
209.786201,432,5522.676141
394.492481,432,5523.562814
427.991751,432,5524.441719
507.35437,432,5525.32344
479.437763,432,5526.224149
330.313602,432,5527.064844
156.372727,432,5527.84971
93.127749,432,5528.640959
638.223772,432,5529.433928
523.032003,432,5530.215556
400.794195,432,5531.0117
594.707754,432,5531.828795
195.409644,432,5532.626343
237.527918,432,5533.418288
381.351532,432,5534.192516
307.575021,432,5535.062147
145.457624,432,5535.868181
382.521333,432,5536.684603
258.822865,432,5537.639776
279.576417,432,5538.455853
177.574146,432,5539.375992
405.245199,432,5540.244178
470.532735,432,5541.092069
312.239145,432,5541.998055
282.719937,432,5542.845799
384.029564,432,5543.686491
