#{"t_start": 1743473459.073307, "env_id": "None"}
r,l,t
11.421767,114,11.385916
11.098335,114,11.539251
10.980831,114,11.690654
10.491289,114,11.842674
9.92182,114,11.996471
10.836424,114,24.394107
5.406632,114,24.550118
4.087628,114,24.703443
8.977483,114,24.85605
11.69754,114,25.009936
16.885722,114,36.981342
19.589963,114,37.131323
12.119248,114,37.282327
19.449175,114,37.433026
16.774576,114,37.582764
21.447573,114,49.390051
21.086731,114,49.5391
19.618621,114,49.689719
19.495323,114,49.840393
20.229814,114,49.99126
32.43681,114,61.629008
28.82824,114,61.779645
31.977884,114,61.93031
29.592661,114,62.080299
25.73844,114,62.229699
32.931514,114,73.84287
32.800568,114,73.994756
38.625088,114,74.145303
36.313532,114,74.296234
36.868184,114,74.448171
40.8538,114,86.081846
40.288083,114,86.233996
39.534146,114,86.385528
44.110605,114,86.537222
40.333527,114,86.692636
43.783519,114,98.519377
46.437229,114,98.67009
38.474745,114,98.82157
38.835708,114,98.976066
42.722685,114,99.127911
45.510472,114,110.733164
47.454989,114,110.884667
43.388471,114,111.038326
44.263864,114,111.190124
49.620769,114,111.341128
49.48345,114,123.00244
51.136037,114,123.164405
52.641973,114,123.321241
52.711503,114,123.477742
49.517942,114,123.636608
54.508239,114,135.390569
58.850288,114,135.54106
55.298476,114,135.694026
51.840525,114,135.847994
57.18315,114,135.99964
66.901326,114,147.59789
68.840069,114,147.749406
67.800769,114,147.900603
68.91723,114,148.05149
69.118157,114,148.202142
54.389557,114,159.725755
51.620719,114,159.87642
52.343994,114,160.025926
45.405752,114,160.175802
48.550848,114,160.326739
36.926222,114,171.9255
36.213918,114,172.079177
37.522203,114,172.230501
40.693674,114,172.383036
33.369497,114,172.536317
20.020936,114,184.128274
20.739995,114,184.28148
20.051506,114,184.433621
23.453845,114,184.586652
16.494802,114,184.737937
12.754447,114,196.296204
16.058204,114,196.447318
14.064385,114,196.599187
14.248916,114,196.779784
2.35706,114,196.94477
8.022313,114,209.070803
11.099545,114,209.222418
14.088674,114,209.376029
11.575422,114,209.529059
10.27491,114,209.681917
10.575529,114,221.327982
8.192957,114,221.479342
6.382435,114,221.630511
5.484043,114,221.781605
8.650126,114,221.940444
10.974124,114,233.490134
11.727425,114,233.642395
7.452496,114,233.794516
7.155854,114,233.944968
8.300829,114,234.095848
9.353604,114,246.900708
8.68419,114,247.05421
6.57771,114,247.207017
12.891748,114,247.360374
5.06625,114,247.51198
6.319415,114,259.103174
10.872621,114,259.25361
12.027595,114,259.407173
10.213738,114,259.558899
10.609358,114,259.710052
6.638767,114,271.316125
6.573418,114,271.467401
9.975981,114,271.618568
11.608467,114,271.770833
12.034397,114,271.923483
14.011658,114,283.532334
7.365921,114,283.683969
8.354074,114,283.835675
14.153195,114,283.989283
11.44602,114,284.143652
8.818587,114,295.678098
15.977912,114,295.830091
9.199101,114,295.981248
13.206135,114,296.133256
13.576424,114,296.285362
12.477047,114,307.961961
13.108323,114,308.111878
11.845056,114,308.26122
11.585933,114,308.411849
12.918777,114,308.570011
8.959269,114,320.184986
8.587016,114,320.337363
8.79086,114,320.505514
9.965295,114,320.674543
12.165443,114,320.845516
12.112026,114,334.13022
12.764469,114,334.358649
10.534115,114,334.624156
13.222106,114,334.832574
13.927018,114,335.011751
14.510413,114,348.811207
10.612863,114,348.984694
10.925666,114,349.151159
10.251317,114,349.325634
6.318233,114,349.493804
