#{"t_start": 1732653578.087543, "env_id": "None"}
r,l,t
-426.228277,84,0.158441
-5.072758,1,0.159372
-5.072758,1,0.16019
-5.072758,1,0.161003
-5.072758,1,0.161948
-6.931585,1,0.17407
-1.905748,1,0.174476
-8.373224,1,0.174848
-1.186808,1,0.175211
-2.149268,1,0.175764
-4.087643,1,0.176162
-9.517426,1,0.176554
-7.736439,1,0.176942
-2.263755,1,0.177481
-5.323229,1,0.177868
-8.772557,1,0.178252
-1.722634,1,0.178616
-4.961921,1,0.179123
-3.873932,1,0.179501
-2.886029,1,0.179865
-0.090636,1,0.18023
-8.552649,1,0.18074
-5.423349,1,0.181108
-8.571287,1,0.181481
-9.97277,1,0.18185
-4.431767,1,0.182381
-3.410796,1,0.182755
-0.116753,1,0.183123
-6.609407,1,0.183495
-5.776467,1,0.184008
-8.599434,1,0.184385
-2.541792,1,0.184754
-0.665295,1,0.185119
-9.143161,1,0.185642
-1.15096,1,0.186015
-2.218797,1,0.186386
-3.356459,1,0.186755
-9.784505,1,0.187271
-3.133964,1,0.187641
-8.06771,1,0.188005
-7.971994,1,0.188374
-4.601823,1,0.188899
-5.900026,1,0.189272
-9.36598,1,0.189638
-5.961596,1,0.190004
-2.480003,1,0.190519
-5.69461,1,0.190889
-6.81315,1,0.191255
-4.845844,1,0.191606
-3.109618,1,0.192136
-6.843949,1,0.192507
-1.218043,1,0.192873
-0.869797,1,0.193236
-5.190153,1,0.193763
-5.708935,1,0.194108
-5.072758,1,0.195359
-5.072758,1,0.196254
-5.072758,1,0.197116
-5.072758,1,0.200809
-5.072758,1,0.201905
-1.186256,1,0.215885
-1.00442,1,0.229564
-9.495565,1,0.242587
-9.499272,1,0.25479
-1.367988,1,0.265781
-1.228492,1,0.276243
-2.908657,1,0.288324
-1.621619,1,0.297809
-4.289165,1,0.306667
-4.97164,1,0.314913
-0.474486,1,0.328278
-7.990315,1,0.341557
-8.977861,1,0.353724
-6.796771,1,0.364288
-3.740328,1,0.374433
-1.866923,1,0.384533
-9.543577,1,0.394497
-0.227856,1,0.406024
-2.654518,1,0.418193
-7.965651,1,0.430311
-2.917825,1,0.442909
-1.965895,1,0.455272
-2.58225,1,0.467122
-3.323369,1,0.47842
-2.351722,1,0.4903
-9.932915,1,0.501626
-8.403953,1,0.512078
-6.696819,1,0.521903
-0.385333,1,0.530949
-6.509635,1,0.540243
-0.728128,1,0.549467
-2.15605,1,0.557691
-8.237782,1,0.566028
-0.83432,1,0.574281
-0.256142,1,0.582693
-4.630221,1,0.59136
-0.498178,1,0.599624
-5.005431,1,0.607869
-7.863384,1,0.619097
-3.510661,1,0.629383
-0.57089,1,0.63871
-7.681709,1,0.650463
-3.730321,1,0.660748
-0.791401,1,0.670015
-8.452574,1,0.680005
-1.046197,1,0.689537
-2.036551,1,0.700445
-8.815785,1,0.710035
-7.683755,1,0.718824
-4.740333,1,0.726967
-3.903574,1,0.727654
-3.903574,1,0.72827
-3.903574,1,0.728878
-3.903574,1,0.729494
-3.903574,1,0.730083
-0.428955,1,0.752887
-1.169544,1,0.761163
-4.445926,1,0.769557
-3.349599,1,0.777826
-1.750288,1,0.786486
-6.043055,1,0.794745
-6.892526,1,0.802964
-2.171336,1,0.812675
-3.562409,1,0.823507
-8.271648,1,0.836801
-0.993018,1,0.846961
-2.281062,1,0.857338
-8.06239,1,0.867272
-3.490844,1,0.877646
-2.039152,1,0.888329
-3.803122,1,0.898736
-6.823391,1,0.908231
-0.916938,1,0.917813
-0.05732,1,0.926075
-2.877305,1,0.934409
-0.205993,1,0.94324
-4.40414,1,0.951658
-1.167729,1,0.959952
-7.310481,1,0.968442
-5.770894,1,0.977136
-4.036607,1,0.985641
-0.315612,1,0.993896
-2.00925,1,1.002146
-8.68331,1,1.010785
-0.240549,1,1.021589
-3.529559,1,1.032459
-3.163973,1,1.043173
-1.811501,1,1.053068
-0.101832,1,1.062494
-0.149448,1,1.072483
-0.416506,1,1.082793
-1.149561,1,1.093176
-0.976439,1,1.103995
-0.827575,1,1.113669
-0.636764,1,1.123528
-0.654037,1,1.132192
-1.045061,1,1.140903
-0.327234,1,1.149362
-1.694187,1,1.157604
-4.256083,1,1.16612
-0.446276,1,1.174377
-2.782629,1,1.182528
-0.276249,1,1.190798
-0.964379,1,1.199099
-0.734593,1,1.20713
-0.956798,1,1.207804
-0.956798,1,1.208456
-0.956798,1,1.209069
-0.956798,1,1.209661
-0.956798,1,1.210255
-0.753906,1,1.232596
-1.337043,1,1.240774
-0.14719,1,1.251507
-0.140841,1,1.260991
-0.145171,1,1.271009
-2.966397,1,1.280799
-1.419825,1,1.290908
-0.760051,1,1.30113
-1.316348,1,1.310246
-2.145996,1,1.32121
-1.902192,1,1.330832
-0.704755,1,1.340322
-0.251889,1,1.35007
-0.410716,1,1.358463
-0.611762,1,1.36699
-0.233723,1,1.375163
-0.852914,1,1.383543
-1.743534,1,1.391684
-2.005033,1,1.400127
-1.290439,1,1.408305
-1.378427,1,1.416585
-0.332879,1,1.424796
-0.16398,1,1.433146
-1.867453,1,1.442166
-0.081882,1,1.450735
-0.724498,1,1.45887
-1.916551,1,1.467318
-0.516964,1,1.475506
-0.833975,1,1.484088
-0.177985,1,1.494158
-3.238702,1,1.503361
-0.258824,1,1.513682
-1.187979,1,1.523079
-0.524331,1,1.53277
-0.073272,1,1.543052
-0.744612,1,1.552597
-0.383134,1,1.56303
-0.308717,1,1.572404
-0.69945,1,1.582852
-0.465674,1,1.592155
-0.106148,1,1.60075
-5.246911,1,1.608987
-0.315751,1,1.617518
-0.343953,1,1.625707
-0.465448,1,1.63384
-1.023706,1,1.641934
-0.37632,1,1.650589
-0.82642,1,1.658966
-0.174649,1,1.667319
-2.015192,1,1.675569
-0.594974,1,1.676244
-0.594974,1,1.676849
-0.594974,1,1.677452
-0.594974,1,1.678045
-0.594974,1,1.678677
-3.596431,1,1.702932
-0.10266,1,1.712832
-1.599525,1,1.722999
-0.12172,1,1.732324
-1.222361,1,1.741496
-0.292128,1,1.751727
-54.63287,90,2.210173
-0.605763,1,2.210842
-0.605763,1,2.211454
-0.605763,1,2.212075
-0.605763,1,2.2127
-3.856249,1,2.221772
-2.759242,1,2.229993
-0.107767,1,2.238402
-2.159585,1,2.246567
-0.323842,1,2.25467
-0.087351,1,2.26287
-0.148251,1,2.271246
-0.099091,1,2.279532
-0.324075,1,2.287833
-2.768259,1,2.296018
-0.649073,1,2.304422
-0.038647,1,2.312682
-0.404497,1,2.320878
-1.118902,1,2.329081
-0.530249,1,2.337496
-1.757358,1,2.34565
-1.062104,1,2.353781
-0.994035,1,2.362
-4.838843,1,2.37042
-0.186731,1,2.379246
-0.241171,1,2.387709
-1.417803,1,2.395914
-1.816962,1,2.40427
-0.529195,1,2.412507
-0.178243,1,2.422516
-1.366929,1,2.432293
-0.851939,1,2.442845
-0.20155,1,2.45256
-0.054473,1,2.462663
-0.342121,1,2.472762
-0.308587,1,2.48296
-0.166727,1,2.492547
-0.444553,1,2.501734
-1.168231,1,2.512257
-0.533275,1,2.521484
-1.723932,1,2.530044
