#{"t_start": 1744153580.8157141, "env_id": "None"}
r,l,t
12.427434,114,930.588305
9.601133,114,930.777339
11.486759,114,930.963957
6.860801,114,931.132671
8.659056,114,931.30074
64.753978,114,952.641216
67.392696,114,952.831715
70.210328,114,953.019311
65.467469,114,953.191233
64.484025,114,953.35993
72.428118,114,974.680746
71.688721,114,974.869828
77.927095,114,975.051713
79.203175,114,975.222126
83.636023,114,975.396061
87.682927,114,996.185817
89.545496,114,996.376973
91.047682,114,996.579353
95.300368,114,996.747736
96.742519,114,996.916813
96.339303,114,1017.694821
101.004442,114,1017.885845
102.263189,114,1018.067374
107.113953,114,1018.234702
107.142545,114,1018.401821
108.46254,114,1039.641452
110.806711,114,1039.836523
113.381553,114,1040.023684
112.914277,114,1040.193301
113.713925,114,1040.363065
111.888156,114,1061.324248
113.681642,114,1061.567095
112.484199,114,1061.734786
113.943872,114,1061.905144
113.830573,114,1062.07338
113.535652,114,1082.792018
113.987902,114,1082.979887
113.994218,114,1083.148364
113.998035,114,1083.318474
113.999443,114,1083.49047
113.542388,114,1104.929317
113.999988,114,1105.100044
113.750898,114,1105.26869
113.779775,114,1105.445607
114.0,114,1105.638144
114.0,114,1126.38156
114.0,114,1126.581137
114.0,114,1126.752367
114.0,114,1126.922754
114.0,114,1127.090076
114.0,114,1147.989341
114.0,114,1148.156013
114.0,114,1148.32506
114.0,114,1148.525306
114.0,114,1148.694722
114.0,114,1169.634102
113.993421,114,1169.82512
114.0,114,1170.003953
114.0,114,1170.173372
114.0,114,1170.34778
114.0,114,1191.230803
114.0,114,1191.421239
114.0,114,1191.616913
114.0,114,1191.783877
114.0,114,1191.95143
114.0,114,1212.927609
114.0,114,1213.095565
114.0,114,1213.26222
114.0,114,1213.435267
114.0,114,1213.628266
114.0,114,1234.820172
114.0,114,1234.989569
114.0,114,1235.155212
114.0,114,1235.323108
114.0,114,1235.490211
114.0,114,1256.038477
114.0,114,1256.233095
114.0,114,1256.425095
114.0,114,1256.619757
114.0,114,1256.7921
114.0,114,1278.124626
114.0,114,1278.316875
114.0,114,1278.520934
114.0,114,1278.697808
114.0,114,1278.870846
114.0,114,1299.854514
114.0,114,1300.029181
114.0,114,1300.20147
114.0,114,1300.374225
114.0,114,1300.562004
114.0,114,1321.547722
114.0,114,1321.735553
114.0,114,1321.92306
114.0,114,1322.097139
114.0,114,1322.271058
114.0,114,1343.34183
114.0,114,1343.54231
114.0,114,1343.710266
114.0,114,1343.881841
114.0,114,1344.053668
114.0,114,1364.818385
114.0,114,1364.998893
114.0,114,1365.1749
114.0,114,1365.352866
114.0,114,1365.532789
114.0,114,1386.577101
114.0,114,1386.773231
114.0,114,1386.952651
114.0,114,1387.125285
114.0,114,1387.298126
114.0,114,1408.456203
114.0,114,1408.671035
114.0,114,1408.861126
114.0,114,1409.03335
114.0,114,1409.204043
114.0,114,1430.534913
114.0,114,1430.723906
114.0,114,1430.908586
114.0,114,1431.080959
114.0,114,1431.25352
114.0,114,1452.652052
114.0,114,1452.841876
114.0,114,1453.016183
114.0,114,1453.188687
114.0,114,1453.362058
114.0,114,1474.772206
114.0,114,1474.948987
114.0,114,1475.12109
114.0,114,1475.292733
114.0,114,1475.466479
114.0,114,1496.633806
114.0,114,1496.825034
114.0,114,1496.996645
114.0,114,1497.169745
114.0,114,1497.340289
114.0,114,1518.344069
114.0,114,1518.562646
114.0,114,1518.739096
114.0,114,1518.912968
114.0,114,1519.088136
114.0,114,1540.439445
114.0,114,1540.65486
114.0,114,1540.837641
114.0,114,1541.008207
114.0,114,1541.180286
113.999993,114,1562.205489
112.666663,114,1562.389147
112.666845,114,1562.603127
113.028101,114,1562.770357
112.666663,114,1562.942647
114.0,114,1584.117584
114.0,114,1584.306256
113.999992,114,1584.503988
114.0,114,1584.678724
114.0,114,1584.851594
114.0,114,1605.748783
114.0,114,1605.926037
114.0,114,1606.10115
114.0,114,1606.277944
114.0,114,1606.454875
113.996114,114,1627.555516
112.662838,114,1627.754539
112.662896,114,1627.936109
112.662952,114,1628.117696
112.663011,114,1628.297174
114.0,114,1649.544029
112.666793,114,1649.728667
113.334495,114,1649.90057
113.096947,114,1650.072064
113.453988,114,1650.243051
114.0,114,1671.486789
114.0,114,1671.68814
114.0,114,1671.865907
114.0,114,1672.038715
114.0,114,1672.21251
114.0,114,1693.467757
114.0,114,1693.674451
114.0,114,1693.855465
114.0,114,1694.029333
114.0,114,1694.202906
114.0,114,1715.074947
114.0,114,1715.265335
114.0,114,1715.440435
114.0,114,1715.637403
114.0,114,1715.807968
114.0,114,1737.223499
114.0,114,1737.402665
114.0,114,1737.598048
114.0,114,1737.769336
114.0,114,1737.939452
114.0,114,1759.095513
114.0,114,1759.282347
114.0,114,1759.475361
114.0,114,1759.655692
114.0,114,1759.829023
114.0,114,1780.794976
114.0,114,1780.968044
114.0,114,1781.139426
114.0,114,1781.313063
114.0,114,1781.483975
114.0,114,1802.431282
114.0,114,1802.63927
114.0,114,1802.818675
114.0,114,1802.989856
114.0,114,1803.16174
114.0,114,1824.133537
114.0,114,1824.312812
114.0,114,1824.49997
114.0,114,1824.683861
114.0,114,1824.857712
114.0,114,1845.859981
114.0,114,1846.056872
114.0,114,1846.245489
