#{"t_start": 1744648852.1004047, "env_id": "None"}
r,l,t
102.650704,114,21.625595
102.32549,114,21.842202
101.772636,114,22.02219
102.678745,114,22.207752
102.290515,114,22.39232
100.826149,114,43.950904
101.241937,114,44.117493
102.015791,114,44.29053
103.884467,114,44.457141
104.96666,114,44.624898
95.205503,114,66.200974
97.415407,114,66.367378
100.542454,114,66.526053
98.26062,114,66.689464
100.313357,114,66.850887
108.569783,114,88.362723
95.945933,114,88.53332
102.655464,114,88.695875
101.95288,114,88.867561
102.934847,114,89.027687
109.277494,114,110.523871
110.876289,114,110.693633
112.244185,114,110.858514
113.222769,114,111.021531
113.749317,114,111.1824
110.611329,114,132.945045
110.97867,114,133.113871
112.2269,114,133.27758
112.765016,114,133.446031
113.681194,114,133.609757
113.136706,114,155.078093
113.750006,114,155.240859
112.999723,114,155.400991
113.75,114,155.560499
113.999856,114,155.718894
114.0,114,176.898818
113.75,114,177.080529
113.75,114,177.26004
113.951463,114,177.436925
114.0,114,177.614892
