#{"t_start": 1744648302.6664932, "env_id": "None"}
r,l,t
-84.049409,114,490.318416
-86.176418,114,490.436355
-83.597357,114,490.554924
-83.233277,114,490.676022
-85.325373,114,490.794
-26.408212,114,497.481156
-19.667403,114,497.59673
-24.826303,114,497.715011
-36.080552,114,497.831822
-30.238523,114,497.948732
-37.792963,114,504.797133
-47.248667,114,504.91144
-47.396493,114,505.026352
-51.701022,114,505.140999
-36.757346,114,505.257831
-42.355135,114,511.914731
-47.304304,114,512.030965
-50.88689,114,512.14701
-55.204068,114,512.263492
-51.148667,114,512.379582
-59.85819,114,519.196325
-59.470317,114,519.312574
-65.643136,114,519.428813
-58.250644,114,519.543709
-60.702628,114,519.660522
-76.568784,114,526.726314
-71.079377,114,526.84191
-77.858015,114,526.959521
-80.829419,114,527.076432
-56.379681,114,527.195617
-80.991379,114,533.787662
-85.097644,114,533.902433
-76.206381,114,534.018631
-78.81352,114,534.132578
-80.679061,114,534.248188
-85.533601,114,540.876142
-84.576201,114,540.990606
-80.370683,114,541.105558
-85.649998,114,541.219411
-82.003198,114,541.333286
-84.53548,114,548.25054
-87.185505,114,548.369195
-84.257374,114,548.487358
-83.231595,114,548.60565
-84.051018,114,548.724382
