#{"t_start": 1748628041.9689815, "env_id": "CultivateEnv"}
r,l,t
8.10776,12,2.116398
7.41548,11,2.136445
7.995349,12,2.154079
8.913719,13,2.174046
8.292637,12,2.193784
6.524618,10,4.374081
6.847486,10,4.391865
7.571535,11,4.411183
8.134379,12,4.432258
8.863332,13,4.455487
7.422573,11,6.566551
6.643951,10,6.616781
6.515499,10,6.634271
8.204092,12,6.65436
7.039563,10,6.670917
8.132668,12,8.797561
6.514962,10,8.816748
9.733695,14,8.840151
7.536831,11,8.85783
7.564576,11,8.875452
8.924955,13,11.000001
8.78639,13,11.022015
7.597566,11,11.042512
7.649706,11,11.061552
8.872765,13,11.08283
8.853945,13,13.229683
6.696697,10,13.247627
9.654037,14,13.272757
7.476904,11,13.29086
8.064708,12,13.310611
6.530218,10,15.4828
6.569084,10,15.501693
8.146825,12,15.524148
10.729571,15,15.552455
9.807209,14,15.579874
8.283499,12,17.76202
8.900822,13,17.784222
8.340417,12,17.803127
8.871716,13,17.82583
9.047603,13,17.848228
9.243908,13,19.998692
7.535309,11,20.018549
7.220703,11,20.037387
7.641977,11,20.057471
6.661195,10,20.076495
6.586662,10,22.238491
7.433178,11,22.257031
8.331797,12,22.276628
8.883369,13,22.296987
6.629044,10,22.314006
7.469035,11,24.316707
8.975766,13,24.337533
7.65173,11,24.355692
6.691312,10,24.372262
7.609527,11,24.391283
7.190223,11,26.545588
7.65365,11,26.569749
7.843792,11,26.59264
6.797045,10,26.609016
7.850683,11,26.627375
8.991431,13,28.784514
7.626477,11,28.806721
8.893435,13,28.830381
6.526869,10,28.849669
7.238834,11,28.869503
7.511502,11,31.007784
9.683064,14,31.032646
6.921516,10,31.050824
8.179294,12,31.072777
6.53162,10,31.090488
23.358172,84,33.29067
24.336452,84,33.424643
25.868577,84,33.570126
24.49973,84,33.70029
27.864265,84,33.829293
31.361221,84,35.997063
30.851622,84,36.141477
32.712362,84,36.26853
30.289676,84,36.404801
30.437407,84,36.546423
35.895639,84,38.793543
32.67949,84,38.943178
34.477486,84,39.078904
33.012098,84,39.214491
35.151714,84,39.344576
35.889639,84,41.525113
32.354046,84,41.663635
32.908883,84,41.796686
33.750377,84,41.929011
35.966832,84,42.062391
34.060683,84,44.191072
36.15781,84,44.326034
32.712976,84,44.460124
33.626378,84,44.593752
35.625917,84,44.72529
38.291402,84,47.01819
34.650937,84,47.160241
34.327075,84,47.29547
35.629848,84,47.435447
36.435276,84,47.571117
30.072179,84,49.757386
33.363952,84,49.896824
35.130932,84,50.033823
35.294527,84,50.168887
35.06064,84,50.297356
35.636988,84,52.495561
34.952168,84,52.640141
34.940934,84,52.770207
35.510858,84,52.904848
33.667857,84,53.036237
33.92522,84,55.258513
36.302153,84,55.398027
36.494426,84,55.542812
37.027856,84,55.685806
37.450699,84,55.820556
35.990289,84,58.046126
36.302973,84,58.181198
36.297869,84,58.309765
35.502739,84,58.441702
36.507602,84,58.577319
35.239718,84,60.71701
35.646422,84,60.863415
31.375087,84,61.00662
35.282473,84,61.144625
34.806669,84,61.279847
35.440367,84,63.51287
36.175524,84,63.660076
36.297149,84,63.794349
33.607204,84,63.9275
34.757527,84,64.067986
32.755565,84,66.193394
