,mean_episode_rewards,std_episode_rewards,episodes,steps
0,-1294.0389724500542,1200.0876826370697,0,288.0
1,-1176.083627335573,1127.993089916087,1,288.0
2,-1247.575833699166,1167.9556862758313,2,288.0
3,-1132.4894141582668,1047.705399808884,3,288.0
4,-1089.2861964472804,1138.8767238806026,4,288.0
5,-1156.696980622378,1071.200070490703,5,288.0
6,-1128.313253508111,1144.47741774743,6,288.0
7,-1143.9926222220388,1121.5473665639297,7,288.0
8,-1111.6876926629698,1148.6666121937833,8,288.0
9,-1120.3119157553756,1070.733770581682,9,288.0
10,-1161.8322107721613,1148.2480879941218,10,288.0
11,-1160.4397422531806,1099.6176630801224,11,288.0
12,-1184.5250595472428,1098.1550697178177,12,288.0
13,-1134.9086235206717,1113.537165857142,13,288.0
14,-1153.5802248588943,1116.3507350563439,14,288.0
15,-1160.6181485410696,1063.9585420109554,15,288.0
16,-1204.2372230023361,1154.9401295407856,16,288.0
17,-1207.8407160449954,1114.2197189048704,17,288.0
18,-1092.395777144711,1088.907776753741,18,288.0
19,-1200.4419188434606,1106.5243885291154,19,288.0
20,-1056.8951395467002,1181.5115573319044,20,288.0
21,-1069.6282992005683,1149.7049351657422,21,288.0
22,-1001.3833663281475,1114.3407749597839,22,288.0
23,-1076.8157771387878,1160.7394966449954,23,288.0
24,-1002.9161009919727,1018.6386684508351,24,288.0
25,-1135.6029054361397,1177.2209458746834,25,288.0
26,-1170.6589841161367,1141.8464225557966,26,288.0
27,-1000.3371707236626,997.9908538118771,27,288.0
28,-1134.6460247367913,1144.6336093808654,28,288.0
29,-1115.7828370638729,1193.7911335498613,29,288.0
30,-1118.9949779294593,1138.956178160985,30,288.0
31,-1150.8843205494313,1152.820423223092,31,288.0
32,-1036.0121336384032,1098.0178712373324,32,288.0
33,-1091.7134203062897,1125.1130721902464,33,288.0
34,-1078.1241177563252,1127.657074589236,34,288.0
35,-1052.0052889089723,1142.7911053738521,35,288.0
36,-1084.706943189028,1125.7954573399363,36,288.0
37,-1186.5878504449283,1146.7338276995586,37,288.0
38,-966.2126714542153,1061.5325916124857,38,288.0
39,-1085.0241431657341,1178.027936892985,39,288.0
40,-1023.4812471355874,1134.1639190464607,40,288.0
41,-1086.2596182657544,1119.2419488323226,41,288.0
42,-1052.7198862915502,1171.794572978192,42,288.0
43,-1093.818735234875,1029.2607484236676,43,288.0
44,-1195.7584091000338,1116.3648131723705,44,288.0
45,-1025.2394810472374,1064.7880133007595,45,288.0
46,-971.0298306215939,1073.3967926408232,46,288.0
47,-1077.5708473404306,1042.334482338405,47,288.0
48,-1059.3160589284691,1078.2884733936585,48,288.0
49,-1146.5418683834685,1083.5358024302166,49,288.0
50,-1079.0664938072036,1088.0801694046988,50,288.0
51,-1225.1959945065028,1144.3000819721976,51,288.0
52,-1189.1961036875368,1154.2788316249557,52,288.0
53,-1261.1160286280594,1144.5367060011467,53,288.0
54,-1070.8916221581728,1087.9502525790456,54,288.0
55,-998.0055331926501,1089.9823323315495,55,288.0
56,-1139.7784263129556,1151.2267049489478,56,288.0
57,-1083.1144984559057,1167.9326653463218,57,288.0
58,-1091.1933629296282,1085.3773403260552,58,288.0
59,-1056.0223983749918,1086.378217671903,59,288.0
60,-1054.852519987052,1133.9327236055176,60,288.0
61,-1070.8888335157571,1071.5322141909,61,288.0
62,-1043.470705832073,1077.685018453346,62,288.0
63,-1188.973112239428,1102.5692365090779,63,288.0
64,-1241.8050211699965,1153.6304310501523,64,288.0
65,-1074.5910595793985,1139.7056028006873,65,288.0
66,-1180.2530132831553,1160.7130671631662,66,288.0
67,-1002.9436717832027,1084.6586574082237,67,288.0
68,-1034.5868792126369,1145.3646013838502,68,288.0
69,-1112.838253241498,1115.691964188694,69,288.0
70,-1125.8480669265384,1105.455476011222,70,288.0
71,-926.5989814354369,1047.7858217159273,71,288.0
72,-1111.0478795269,1136.9320689021376,72,288.0
73,-1145.4456390196488,1207.2702162113003,73,288.0
74,-965.0647385889871,1007.8380887284127,74,288.0
75,-1096.7653479889007,1153.9646878833132,75,288.0
76,-994.0054601501793,1033.6013709518202,76,288.0
77,-1086.3039525799998,1134.4951837035408,77,288.0
78,-1028.668118317241,1099.9667830647566,78,288.0
79,-1151.8701225087486,1120.7114679970032,79,288.0
80,-1134.9072344843205,1184.6896775656628,80,288.0
81,-1063.7963761887522,1116.8151723506685,81,288.0
82,-1117.4734790088494,1132.5770623409858,82,288.0
83,-889.4259806164849,1039.6100688316312,83,288.0
84,-1086.6485726578615,1124.3131366693435,84,288.0
85,-1078.2439649305707,1142.6450777646178,85,288.0
86,-1102.6169620153808,1110.501468327393,86,288.0
87,-1005.8622745605727,1149.5538450869537,87,288.0
88,-1125.2126337085372,1160.5457327728793,88,288.0
89,-1093.759312349573,1104.8424380534132,89,288.0
90,-1069.243512574752,1098.8999912742458,90,288.0
91,-1120.000931678861,1104.7183805822272,91,288.0
92,-1086.9156035734993,1168.2155588188714,92,288.0
93,-914.4496198745486,1026.5731007693787,93,288.0
94,-1042.696883949486,1152.9675673514344,94,288.0
95,-1062.8191473425286,1151.155607701719,95,288.0
96,-1117.2092097998784,1196.836411392704,96,288.0
97,-979.6262712571677,1141.7392535155673,97,288.0
98,-1152.8868445021976,1193.832060717306,98,288.0
99,-1054.516910451275,1055.2959191005152,99,288.0
100,-862.8612525158453,1079.351288221971,100,288.0
101,-1106.363738780213,1132.183048210976,101,288.0
102,-1002.8797168473627,1022.0102186267709,102,288.0
103,-959.9681288603214,1043.558434453706,103,288.0
104,-1095.6607923043728,1085.9466883586967,104,288.0
105,-1043.0364343363617,1129.6344695622122,105,288.0
106,-871.3437388521997,1035.7883556055601,106,288.0
107,-1125.8897122821015,1092.1311382906001,107,288.0
108,-1082.9719859357328,1070.965144171517,108,288.0
109,-995.9362853574769,1141.7050838205726,109,288.0
110,-1034.5754113891905,1127.019347900966,110,288.0
111,-1150.5864138135976,1197.2388401690087,111,288.0
112,-1027.0805428265958,1120.6701171901152,112,288.0
113,-1066.7417052393394,1085.3964373257047,113,288.0
114,-993.8725779423548,1060.370226463248,114,288.0
115,-930.8775092725793,1073.0480836873282,115,288.0
116,-959.7916698975454,1093.6918416217777,116,288.0
117,-985.5550058732473,1101.8971188845271,117,288.0
118,-1096.290942308321,1142.1937469917518,118,288.0
119,-1162.38043003832,1082.4917030296854,119,288.0
120,-925.1308279071798,1167.4470820099382,120,288.0
121,-883.6524227711323,1071.7973980407473,121,288.0
122,-1004.3880748827079,1125.925505918646,122,288.0
123,-875.0940230443007,1046.0752576390296,123,288.0
124,-1009.1325706057227,1094.8192595287494,124,288.0
125,-1158.78340770189,1165.933337640046,125,288.0
126,-917.9183834862573,1062.8467740461151,126,288.0
127,-1133.5713252829003,1195.871799170281,127,288.0
128,-1143.661769500425,1164.6510004033444,128,288.0
129,-1013.1834734653162,1109.3753734255372,129,288.0
130,-1110.950744668741,1189.162081138111,130,288.0
131,-1069.9481048213067,1058.286774515712,131,288.0
132,-1054.6575195688706,1192.3688349076538,132,288.0
133,-1004.5017290989219,1080.2227049018577,133,288.0
134,-1000.6695713950317,1125.7507746199535,134,288.0
135,-896.332718105305,1031.3598857901095,135,288.0
136,-1057.0778353182413,1139.3832117318957,136,288.0
137,-1033.0279128664467,1120.6635914743583,137,288.0
138,-983.9465635136801,1128.4016950625567,138,288.0
139,-971.2994652574065,1170.269996293935,139,288.0
140,-1004.6902711080459,1124.526840838727,140,288.0
141,-986.776753679294,1069.2301884093422,141,288.0
142,-1045.8565088251548,1155.672085743598,142,288.0
143,-979.3184380285838,1095.2239915564646,143,288.0
144,-1044.6701655423506,1094.8115703007552,144,288.0
145,-1030.508575922834,1081.7068831554761,145,288.0
146,-1052.5717335833187,1144.7463492306565,146,288.0
147,-997.7725523783522,1100.653647620413,147,288.0
148,-908.4371226219872,1048.0537916490614,148,288.0
149,-943.748430844626,1110.116123093472,149,288.0
150,-891.0414624164405,1222.7983644868746,150,288.0
151,-987.8257689227695,1127.3623170062835,151,288.0
152,-1046.3055020722766,1110.4914325288064,152,288.0
153,-980.564409195683,1175.262457448385,153,288.0
154,-1081.8853964219675,1201.7479311721067,154,288.0
155,-960.4935438607453,1124.2729807719393,155,288.0
156,-941.4763438879737,1082.470784985846,156,288.0
157,-979.249035387419,1048.2604591886704,157,288.0
158,-1140.6063141016978,1167.4486057252382,158,288.0
159,-984.7946380493389,1068.468796731263,159,288.0
160,-842.2147553878783,1016.3749933701097,160,288.0
161,-980.9742222582665,1065.3034155116798,161,288.0
162,-1035.9546249988318,1175.256849231346,162,288.0
163,-1065.8461891165186,1114.7243213485103,163,288.0
164,-937.6059676070779,1108.2167849367552,164,288.0
165,-912.567560192782,1109.8979032223597,165,288.0
166,-933.1894938388286,1107.03716676937,166,288.0
167,-893.3644105957942,1089.4350557312896,167,288.0
168,-877.5577560977064,1045.6788839327255,168,288.0
169,-1002.78379743348,1077.6879860881002,169,288.0
170,-886.9109461721741,1123.7083480816414,170,288.0
171,-1006.660063051138,1128.1002665198607,171,288.0
172,-1067.9688817994256,1197.887737503604,172,288.0
173,-928.9056027259121,1189.5035769707122,173,288.0
174,-1031.0737992519894,1125.980910936477,174,288.0
175,-1048.0573793204376,1096.7375471886096,175,288.0
176,-922.8400276970793,1127.2331123376398,176,288.0
177,-934.1384731457476,1032.5584924059613,177,288.0
178,-900.0139029967636,1014.6201720245393,178,288.0
179,-838.2954592437565,1100.4149994840275,179,288.0
180,-1032.8991957132228,1105.3003594664453,180,288.0
181,-975.0141482787642,1172.438581836343,181,288.0
