,mean_rewards,std_rewards,values_q_net,values_target_net
0,-2.558003,2.226232,0,0
1,-2.6087644,2.379551,0,0
2,-2.6256218,2.3758607,0,0
3,-0.4178215,0.8949536,0,0
4,-1.2704926,1.7345734,0,0
5,-4.367165,3.110326,0,0
6,-5.0176854,3.6112099,0,0
7,-15.111138,9.698159,0,0
8,-13.99307,9.931715,0,0
9,-7.0221844,4.731003,0,0
10,-3.0921814,2.1333208,0,0
11,-0.2654538,1.3416833,0,0
12,-6.908051,5.43742,0,0
13,-1.0356016,1.296635,0,0
14,-2.3812356,2.3391404,0,0
15,-0.9638044,1.392394,0,0
16,-1.4849987,1.6238825,0,0
17,-1.3061107,1.8099121,0,0
18,-143.09497,84.08714,0,0
19,-0.74455845,0.9831908,0,0
20,-18.056839,11.151777,0,0
21,-1.3725554,1.3522211,0,0
22,-2.158147,2.038198,0,0
23,-1.5521144,1.9136599,0,0
24,-6.4264174,4.747205,0,0
25,-0.5048185,0.9527956,0,0
26,-0.85195357,1.3437365,0,0
27,-3.7452,3.3490613,0,0
28,0.15265556,1.1241949,0,0
29,-0.25287387,0.92505646,0,0
30,-2.2580295,1.9903183,0,0
31,-4.546092,3.4292014,0,0
32,-0.937608,1.2729254,0,0
33,-5.770207,4.012716,0,0
34,-3.1639063,2.1425157,0,0
35,-0.49711615,1.2879231,0,0
36,-2.8433936,2.9303334,0,0
37,-0.29300737,0.92706335,0,0
38,-0.8822853,1.2934992,0,0
39,-0.1050821,0.8305268,0,0
40,-0.9221329,1.5038522,0,0
41,-1.87493,2.1113582,0,0
42,-1.8003137,1.8840868,0,0
43,-0.41785905,0.9786757,0,0
44,-0.43808487,1.0206692,0,0
45,-1.1530819,1.6446475,0,0
46,-0.8098777,1.819677,0,0
47,-0.29477105,0.9983535,0,0
48,-13.359833,7.5130944,0,0
49,-10.208216,8.009949,0,0
50,-2.6057127,2.3824067,0,0
51,-1.2418361,1.8162053,0,0
52,-1.0320157,1.6928704,0,0
53,-0.6498402,1.4150424,0,0
54,0.14964466,1.1062772,0,0
55,-0.044832084,0.8514173,0,0
56,-0.37095028,1.1193968,0,0
57,-0.3777678,0.9623138,0,0
58,-0.9428044,1.4546715,0,0
59,-0.9074433,1.3604054,0,0
60,-1.8855764,2.3042333,0,0
61,-0.40745762,1.0411898,0,0
62,-0.2978192,1.0957425,0,0
63,-4.9446845,4.224757,0,0
64,-2.5516465,1.9742615,0,0
65,-0.63726467,1.2962629,0,0
66,-0.7084108,1.2494277,0,0
67,-1.1374654,1.4161857,0,0
68,-0.27362746,0.8834211,0,0
69,-30.645468,20.686543,0,0
70,-0.23098978,1.308571,0,0
71,-0.9221424,1.7430209,0,0
72,-0.6826653,1.2867981,0,0
73,-39.243076,24.56678,0,0
74,-2.2675111,1.987666,0,0
75,-0.667298,1.2369324,0,0
76,-0.068279676,1.0806409,0,0
77,-1.3938751,1.7764655,0,0
78,-15.333669,13.166774,0,0
79,-1.5725987,1.5677072,0,0
80,-1.4241538,1.861059,0,0
81,-0.41618216,1.0464202,0,0
82,-0.93924123,1.2642485,0,0
83,-14.098078,10.721221,0,0
84,-0.20180285,0.9112082,0,0
85,-0.3186759,0.5861727,0,0
86,-1.2346365,1.5591191,0,0
87,-46.104416,34.982815,0,0
88,-0.07374866,0.74704665,0,0
89,-0.69483566,0.9384547,0,0
90,-0.31778517,0.9698083,0,0
91,-0.57584995,1.1318575,0,0
92,-1.9793206,2.0828784,0,0
93,-6.002476,3.9762692,0,0
94,-1.0182139,1.1697686,0,0
95,-2.1520298,1.9836719,0,0
96,-0.5241974,1.0382881,0,0
97,-3.5320714,2.3857903,0,0
98,-0.77626765,1.2601819,0,0
99,-0.7690498,1.1271513,0,0
100,-2.5791755,2.0715427,0,0
101,-3.4310327,4.1304693,0,0
102,-1.2315474,1.6102306,0,0
103,-0.99107337,1.2403555,0,0
104,-0.5668351,0.8245864,0,0
105,-1.3210101,1.3475991,0,0
106,-0.4650905,0.92943543,0,0
107,-1.8292085,1.6870376,0,0
108,-2.9141338,2.5740082,0,0
109,-0.27943078,0.79505646,0,0
110,-0.39393693,0.92922306,0,0
111,-1.2570765,1.529842,0,0
112,-0.9426803,1.2042595,0,0
113,-0.2018173,0.8104374,0,0
114,-4.389339,2.819768,0,0
