train/learning_rate,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/total_timesteps,train/n_updates,time/fps,time/episodes
0.0003,0.11964485794305801,288.0,11,-77.0820533,-0.4710957109928131,2880,2779,249,10
0.0003,0.20505276322364807,288.0,23,-34.91303595000001,-1.0585342645645142,5760,5659,245,20
0.0003,0.36643052101135254,288.0,35,-12.6956504,-0.8773640990257263,8640,8539,244,30
0.0003,0.3629310131072998,288.0,47,-6.880341775000002,-0.9572768211364746,11520,11419,243,40
0.0003,0.8122928142547607,288.0,59,-0.9080441200000009,-0.8823824524879456,14400,14299,243,50
0.0003,1.763713002204895,288.0,70,7.3231402,-2.6840248107910156,17280,17179,243,60
0.0003,0.6984533071517944,288.0,82,14.142917014285715,-2.6493074893951416,20160,20059,244,70
0.0003,0.7240365743637085,288.0,94,25.161368375000002,-3.0265603065490723,23040,22939,243,80
0.0003,0.7030707001686096,288.0,106,33.017220511111105,-3.4159011840820312,25920,25819,243,90
0.0003,0.9480884075164795,288.0,118,37.60452868,-6.983428001403809,28800,28699,243,100
0.0003,0.6581591367721558,288.0,130,54.326329449999996,-6.227681636810303,31680,31579,243,110
0.0003,0.5695544481277466,288.0,141,61.13044764999999,-7.9998955726623535,34560,34459,243,120
0.0003,0.36832213401794434,288.0,153,67.21313759,-8.600272178649902,37440,37339,243,130
0.0003,1.0766953229904175,288.0,165,74.10017286,-10.85373306274414,40320,40219,243,140
0.0003,0.5022859573364258,288.0,177,81.58232746,-12.266704559326172,43200,43099,243,150
0.0003,0.5148231387138367,288.0,189,86.64883406999998,-13.500844955444336,46080,45979,243,160
0.0003,0.5393155813217163,288.0,201,90.99540013,-13.370193481445312,48960,48859,243,170
0.0003,0.48015105724334717,288.0,213,90.38880285,-16.22610092163086,51840,51739,243,180
0.0003,0.5913740396499634,288.0,225,91.03226930000001,-18.320472717285156,54720,54619,242,190
0.0003,0.7719870209693909,288.0,237,93.76085277,-15.420442581176758,57600,57499,242,200
0.0003,0.7119300961494446,288.0,248,94.09490478000002,-17.1304931640625,60480,60379,243,210
0.0003,0.6838300824165344,288.0,260,95.63877267,-19.41464614868164,63360,63259,243,220
0.0003,0.7826426029205322,288.0,272,96.64100768999998,-18.560592651367188,66240,66139,242,230
0.0003,0.9805410504341125,288.0,284,95.18710578,-20.33980941772461,69120,69019,242,240
0.0003,1.8948698043823242,288.0,296,95.74576880999999,-17.487028121948242,72000,71899,242,250
0.0003,0.6557253003120422,288.0,308,95.05155195999998,-18.58487319946289,74880,74779,243,260
0.0003,6.842605113983154,288.0,319,93.77553662999999,-17.924396514892578,77760,77659,243,270
0.0003,1.0999044179916382,288.0,331,94.98898596,-17.83539390563965,80640,80539,243,280
0.0003,0.48423075675964355,288.0,343,95.23650589,-18.774559020996094,83520,83419,243,290
0.0003,1.6478054523468018,288.0,355,94.20120484,-19.064653396606445,86400,86299,243,300
0.0003,0.9405051469802856,288.0,367,95.10978847999999,-18.174358367919922,89280,89179,243,310
0.0003,1.1233575344085693,288.0,379,95.24982029,-18.439273834228516,92160,92059,243,320
0.0003,0.8411712050437927,288.0,390,95.83616327000001,-20.981231689453125,95040,94939,243,330
0.0003,1.3049798011779785,288.0,402,99.73595696000001,-18.169248580932617,97920,97819,243,340
0.0003,0.38081520795822144,288.0,414,100.10774586,-18.82599449157715,100800,100699,242,350
0.0003,1.6329436302185059,288.0,426,101.48905524,-20.544219970703125,103680,103579,242,360
0.0003,0.8561885952949524,288.0,438,103.37028864,-20.21038818359375,106560,106459,242,370
0.0003,1.615898847579956,288.0,450,101.99218583,-19.839435577392578,109440,109339,242,380
0.0003,0.7659670114517212,288.0,462,100.47423434000001,-20.897541046142578,112320,112219,242,390
0.0003,1.4993846416473389,288.0,474,99.93762556999998,-21.597021102905273,115200,115099,242,400
0.0003,0.6128324270248413,288.0,486,100.85274051999998,-21.194690704345703,118080,117979,242,410
0.0003,1.1878560781478882,288.0,498,101.97149048999998,-18.450637817382812,120960,120859,242,420
0.0003,1.581900954246521,288.0,510,101.99627107,-19.755634307861328,123840,123739,242,430
0.0003,0.9463597536087036,288.0,521,100.84653384,-22.31589126586914,126720,126619,242,440
0.0003,0.6506035327911377,288.0,533,99.73091945,-19.4289493560791,129600,129499,242,450
0.0003,2.397688865661621,288.0,545,99.28837377000002,-21.135478973388672,132480,132379,242,460
0.0003,1.1927722692489624,288.0,557,98.2156323,-19.512042999267578,135360,135259,242,470
0.0003,1.0080981254577637,288.0,569,99.51845615,-20.481605529785156,138240,138139,242,480
0.0003,6.239909648895264,288.0,581,101.84838635,-21.715312957763672,141120,141019,242,490
0.0003,1.089444637298584,288.0,593,103.51194364000001,-20.097652435302734,144000,143899,242,500
0.0003,1.1813918352127075,288.0,605,102.34612022999998,-22.723201751708984,146880,146779,242,510
0.0003,0.6125497817993164,288.0,617,101.87344972000001,-20.50457191467285,149760,149659,242,520
0.0003,3.470722198486328,288.0,629,102.01852952999998,-20.593400955200195,152640,152539,242,530
0.0003,0.6855147480964661,288.0,641,104.08135832000002,-21.581544876098633,155520,155419,242,540
0.0003,0.5840400457382202,288.0,653,106.05745243000003,-20.97348403930664,158400,158299,242,550
0.0003,0.9345404505729675,288.0,665,107.28533304000003,-22.625194549560547,161280,161179,242,560
0.0003,1.1481842994689941,288.0,677,107.32052318000002,-20.29389762878418,164160,164059,242,570
0.0003,0.8145176768302917,288.0,688,106.50441644,-21.873842239379883,167040,166939,242,580
0.0003,0.9302014112472534,288.0,700,106.20821099000003,-22.691986083984375,169920,169819,242,590
0.0003,1.3906638622283936,288.0,712,106.01418960999999,-22.980632781982422,172800,172699,242,600
0.0003,0.9392321109771729,288.0,724,106.74845474,-23.08096694946289,175680,175579,242,610
0.0003,2.0936763286590576,288.0,736,105.75553944999997,-23.269359588623047,178560,178459,242,620
0.0003,1.6552600860595703,288.0,748,104.88442056,-21.349658966064453,181440,181339,242,630
0.0003,2.5735373497009277,288.0,760,105.17537406000001,-22.963172912597656,184320,184219,242,640
0.0003,1.007723093032837,288.0,772,105.2710114,-21.32315444946289,187200,187099,242,650
