episode,timestep,reward,std
85,36864,-597.8162939016481,128.39911917531379
170,73728,-256.166756805234,128.45265658135682
255,110592,-208.99704036141483,127.20789444069098
341,147456,-192.68378077184894,139.74313094024495
426,184320,-117.26136247242104,113.81844287254144
511,221184,-97.65877851707522,171.75251455728326
597,258048,14.543518944764745,109.91274309073599
682,294912,55.5170701623869,93.53805490000518
767,331776,102.00825521122533,138.3544854532156
853,368640,51.92688396784399,86.9420341996943
938,405504,23.655543052056945,150.97320410175845
1023,442368,36.06960645709588,188.51929971271517
1109,479232,71.11426179466552,171.24364881570992
1194,516096,88.12609016030852,118.3990219004467
1279,552960,105.29612924576149,79.71584169948325
1365,589824,72.73903155566013,84.49581804351921
1450,626688,184.3305233995553,41.20635786432765
